Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Mark Andrews,BAL,8,10,125,15.6,28,2,1,0,0,0,0,1,18.5,18.5,89.5%,2021,TE,16
2,Dalton Schultz,HOU,8,9,82,10.3,16,0,1,0,0,0,0,1,14.2,14.2,54.4%,2021,TE,16
3,Gerald Everett,FA,4,5,68,17.0,26,2,1,0,0,0,0,1,12.8,12.8,1.4%,2021,TE,16
4,John Bates,WAS,2,3,45,22.5,32,1,1,0,0,0,0,1,10.5,10.5,1.1%,2021,TE,16
5,Kyle Pitts,ATL,6,6,102,17.0,35,1,0,0,0,0,0,1,10.2,10.2,73.0%,2021,TE,16
6,Jimmy Graham,FA,2,2,30,15.0,15,0,1,0,0,0,0,1,9.0,9.0,0.1%,2021,TE,16
7,Hayden Hurst,LAC,2,2,21,10.5,12,0,1,0,0,0,0,1,8.1,8.1,2.7%,2021,TE,16
8,Evan Engram,JAC,4,5,17,4.3,9,0,1,0,0,0,0,1,7.7,7.7,57.4%,2021,TE,16
9,Dawson Knox,BUF,2,3,11,5.5,9,0,1,0,0,0,0,1,7.1,7.1,11.4%,2021,TE,16
10,Cameron Brate,FA,2,4,11,5.5,7,0,1,0,0,0,0,1,7.1,7.1,2.0%,2021,TE,16
11,Foster Moreau,NO,4,4,67,16.8,28,2,0,0,0,0,0,1,6.7,6.7,2.4%,2021,TE,16
12,Jared Cook,FA,3,5,44,14.7,18,0,0,0,0,0,0,1,6.4,6.4,0.0%,2021,TE,16
13,Harrison Bryant,LV,1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,0.0%,2021,TE,16
14,Brevin Jordan,HOU,4,4,56,14.0,27,1,0,0,0,0,0,1,5.6,5.6,0.7%,2021,TE,16
15,Zach Ertz,WAS,8,13,54,6.8,11,0,0,0,0,0,0,1,5.4,5.4,57.5%,2021,TE,16
16,Cole Kmet,CHI,4,5,49,12.3,16,0,0,0,0,0,0,1,4.9,4.9,42.7%,2021,TE,16
17,James O'Shaughnessy,FA,4,4,49,12.3,22,1,0,0,0,0,0,1,4.9,4.9,0.0%,2021,TE,16
18,Tyler Conklin,NYJ,4,5,44,11.0,19,0,0,0,0,0,0,1,4.4,4.4,19.2%,2021,TE,16
19,Mo Alie-Cox,IND,2,4,42,21.0,37,1,0,0,0,0,0,1,4.2,4.2,0.6%,2021,TE,16
20,Tyler Higbee,LAR,5,6,41,8.2,12,0,0,0,0,0,0,1,4.1,4.1,9.2%,2021,TE,16
21,C.J. Uzomah,PHI,5,7,36,7.2,16,0,0,0,0,0,0,1,3.6,3.6,0.0%,2021,TE,16
22,Stephen Anderson,FA,2,2,34,17.0,27,1,0,0,0,0,0,1,3.4,3.4,0.0%,2021,TE,16
23,Zach Gentry,FA,4,4,31,7.8,12,0,0,0,0,0,0,1,3.1,3.1,0.0%,2021,TE,16
24,Durham Smythe,FA,3,3,31,10.3,13,0,0,0,0,0,0,1,3.1,3.1,0.1%,2021,TE,16
25,Noah Fant,SEA,3,4,30,10.0,20,1,0,0,0,0,0,1,3.0,3.0,21.1%,2021,TE,16
26,Tyler Kroft,FA,3,5,29,9.7,22,1,0,0,0,0,0,1,2.9,2.9,0.0%,2021,TE,16
27,Dallas Goedert,PHI,2,4,28,14.0,16,0,0,0,0,0,0,1,2.8,2.8,57.2%,2021,TE,16
28,Austin Hooper,NE,3,5,26,8.7,11,0,0,0,0,0,0,1,2.6,2.6,1.9%,2021,TE,16
29,Rob Gronkowski,FA,1,2,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,2.0%,2021,TE,16
30,Mike Gesicki,CIN,3,4,22,7.3,12,0,0,0,0,0,0,1,2.2,2.2,29.2%,2021,TE,16
31,Tommy Tremble,CAR,2,2,22,11.0,14,0,0,0,0,0,0,1,2.2,2.2,1.4%,2021,TE,16
32,George Kittle,SF,2,3,21,10.5,16,0,0,0,0,0,0,1,2.1,2.1,91.9%,2021,TE,16
33,Jacob Hollister,FA,2,2,20,10.0,11,0,0,0,0,0,0,1,2.0,2.0,1.4%,2021,TE,16
34,Anthony Firkser,KC,1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%,2021,TE,16
35,Noah Gray,KC,2,2,12,6.0,7,0,0,0,0,0,0,1,1.2,1.2,22.5%,2021,TE,16
36,Tre' McKitty,CLE,1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.0%,2021,TE,16
37,Blake Bell,FA,1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%,2021,TE,16
38,Geoff Swaim,CLE,3,3,10,3.3,6,0,0,0,0,0,0,1,1.0,1.0,0.0%,2021,TE,16
39,Pharaoh Brown,SEA,2,3,10,5.0,6,0,0,0,0,0,0,1,1.0,1.0,0.1%,2021,TE,16
40,Drew Sample,CIN,2,2,9,4.5,5,0,0,0,0,0,0,1,0.9,0.9,0.9%,2021,TE,16
41,Hunter Henry,NE,1,6,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,53.6%,2021,TE,16
42,Ethan Wolf,FA,2,2,8,4.0,4,0,0,0,0,0,0,1,0.8,0.8,0.0%,2021,TE,16
43,Kevin Rader,FA,1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%,2021,TE,16
44,Chris Myarick,FA,1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%,2021,TE,16
45,Kylen Granson,IND,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,1.2%,2021,TE,16
