Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Derrick Henry,BAL,27,178,6.6,31,1,3,2,4,7,3.5,0,0,1,36.5,36.5,97.5%,2020,RB,12
2,Antonio Gibson,NE,20,115,5.8,37,2,3,5,7,21,4.2,0,0,1,31.6,31.6,22.5%,2020,RB,12
3,Latavius Murray,FA,19,124,6.5,36,1,2,1,1,2,2.0,0,0,1,24.6,24.6,0.0%,2020,RB,12
4,Nick Chubb,CLE,19,144,7.6,29,2,1,3,3,32,10.7,0,0,1,23.6,23.6,55.1%,2020,RB,12
5,James Robinson,FA,22,128,5.8,27,1,1,5,6,31,6.2,0,0,1,21.9,21.9,0.0%,2020,RB,12
6,Kenyan Drake,FA,22,78,3.5,14,0,2,3,4,15,5.0,0,0,1,21.3,21.3,1.1%,2020,RB,12
7,David Montgomery,DET,11,103,9.4,57,1,0,5,6,40,8.0,1,0,1,20.3,20.3,75.4%,2020,RB,12
8,Adrian Peterson,FA,15,55,3.7,19,0,2,0,0,0,0,0,0,1,17.5,17.5,2.0%,2020,RB,12
9,Ronald Jones II,FA,9,66,7.3,34,1,0,1,2,37,37.0,1,0,1,16.3,16.3,0.0%,2020,RB,12
10,Wayne Gallman Jr.,FA,24,94,3.9,18,0,1,3,5,-3,-1.0,0,0,1,15.1,15.1,0.0%,2020,RB,12
11,Cam Akers,MIN,9,84,9.3,61,1,1,0,0,0,0,0,0,1,14.4,14.4,14.2%,2020,RB,12
12,Duke Johnson Jr.,FA,9,37,4.1,8,0,0,3,4,43,14.3,1,0,1,14.0,14.0,0.0%,2020,RB,12
13,James White,FA,5,18,3.6,7,0,2,1,1,-1,-1.0,0,0,1,13.7,13.7,0.1%,2020,RB,12
14,Ito Smith,FA,12,65,5.4,24,1,1,4,5,10,2.5,0,0,1,13.5,13.5,1.0%,2020,RB,12
15,Jamaal Williams,FA,17,73,4.3,17,0,1,0,0,0,0,0,0,1,13.3,13.3,2.5%,2020,RB,12
16,Austin Ekeler,WAS,14,44,3.1,15,0,0,11,16,85,7.7,0,0,1,12.9,12.9,51.4%,2020,RB,12
17,Chris Carson,FA,8,41,5.1,16,0,1,2,2,18,9.0,0,0,1,11.9,11.9,0.3%,2020,RB,12
18,Nyheim Hines,FA,10,29,2.9,10,0,0,8,10,66,8.3,0,0,1,9.5,9.5,0.1%,2020,RB,12
19,Joshua Kelley,TEN,7,35,5.0,33,1,1,0,0,0,0,0,0,1,9.5,9.5,0.0%,2020,RB,12
20,Benny Snell Jr.,FA,16,60,3.8,13,0,0,3,4,33,11.0,0,0,1,9.3,9.3,0.0%,2020,RB,12
21,Aaron Jones Sr.,MIN,17,90,5.3,16,0,0,1,2,0,0.0,0,0,1,9.0,9.0,91.4%,2020,RB,12
22,Frank Gore,FA,18,74,4.1,17,0,0,3,3,12,4.0,0,0,1,8.6,8.6,8.4%,2020,RB,12
23,Raheem Mostert,FA,16,43,2.7,10,0,1,2,2,0,0.0,0,1,1,8.3,8.3,42.9%,2020,RB,12
24,Devin Singletary,NYG,11,82,7.5,24,2,0,3,3,20,6.7,0,1,1,8.2,8.2,43.6%,2020,RB,12
25,Mike Davis,FA,15,55,3.7,10,0,0,3,6,24,8.0,0,0,1,7.9,7.9,1.0%,2020,RB,12
26,Kerryon Johnson,FA,11,46,4.2,8,0,0,4,4,52,13.0,0,1,1,7.8,7.8,1.3%,2020,RB,12
27,Gus Edwards,LAC,9,10,1.1,6,0,1,0,0,0,0,0,0,1,7.0,7.0,45.3%,2020,RB,12
28,Zack Moss,CIN,9,59,6.6,31,1,0,2,2,9,4.5,0,0,1,6.8,6.8,33.5%,2020,RB,12
29,Dalvin Cook,FA,18,61,3.4,14,0,0,4,4,21,5.3,0,1,1,6.2,6.2,0.9%,2020,RB,12
30,Kareem Hunt,KC,10,62,6.2,27,1,0,0,2,0,0,0,0,1,6.2,6.2,48.5%,2020,RB,12
31,DeAndre Washington,FA,13,49,3.8,16,0,0,2,5,11,5.5,0,0,1,6.0,6.0,11.0%,2020,RB,12
32,Jordan Wilkins,FA,6,22,3.7,11,0,0,3,4,35,11.7,0,0,1,5.7,5.7,0.0%,2020,RB,12
33,Peyton Barber,FA,11,57,5.2,15,0,0,0,0,0,0,0,0,1,5.7,5.7,1.0%,2020,RB,12
34,Brian Hill,FA,13,55,4.2,22,1,0,0,1,0,0,0,0,1,5.5,5.5,0.0%,2020,RB,12
35,C.J. Prosise,FA,5,12,2.4,7,0,0,1,1,2,2.0,1,1,1,5.4,5.4,0.0%,2020,RB,12
36,Alvin Kamara,NO,11,54,4.9,15,0,0,1,2,-2,-2.0,0,0,1,5.2,5.2,87.9%,2020,RB,12
37,Royce Freeman,FA,8,50,6.3,23,1,0,0,0,0,0,0,0,1,5.0,5.0,0.0%,2020,RB,12
38,Giovani Bernard,FA,8,32,4.0,15,0,0,2,3,17,8.5,0,0,1,4.9,4.9,0.0%,2020,RB,12
39,Damien Harris,FA,14,47,3.4,18,0,0,0,0,0,0,0,0,1,4.7,4.7,9.0%,2020,RB,12
40,Boston Scott,FA,2,7,3.5,5,0,0,5,6,40,8.0,0,0,1,4.7,4.7,0.0%,2020,RB,12
41,Chase Edmonds,TB,6,29,4.8,9,0,0,4,5,14,3.5,0,0,1,4.3,4.3,0.1%,2020,RB,12
42,Miles Sanders,CAR,6,15,2.5,8,0,0,2,3,7,3.5,0,0,1,4.2,4.2,5.1%,2020,RB,12
43,Justice Hill,BAL,9,35,3.9,19,0,0,2,2,5,2.5,0,0,1,4.0,4.0,24.4%,2020,RB,12
44,Clyde Edwards-Helaire,NO,11,37,3.4,10,0,0,1,1,2,2.0,0,0,1,3.9,3.9,7.2%,2020,RB,12
45,Matt Breida,FA,8,36,4.5,12,0,0,2,2,17,8.5,0,1,1,3.3,3.3,0.0%,2020,RB,12
46,Jerick McKinnon,FA,3,21,7.0,19,0,0,2,3,11,5.5,0,0,1,3.2,3.2,0.0%,2020,RB,12
47,Kyle Juszczyk,SF,2,8,4.0,6,0,0,2,2,24,12.0,0,0,1,3.2,3.2,1.2%,2020,RB,12
48,Le'Veon Bell,FA,5,22,4.4,10,0,0,2,2,10,5.0,0,0,1,3.2,3.2,0.2%,2020,RB,12
49,Melvin Gordon III,FA,12,31,2.6,11,0,0,0,0,0,0,0,0,1,3.1,3.1,0.1%,2020,RB,12
50,Carlos Hyde,FA,15,22,1.5,8,0,0,2,3,7,3.5,0,0,1,2.9,2.9,0.0%,2020,RB,12
51,D'Onta Foreman,CLE,4,28,7.0,12,0,0,0,0,0,0,0,0,1,2.8,2.8,3.4%,2020,RB,12
52,J.D. McKissic,FA,1,6,6.0,6,0,0,2,2,21,10.5,0,0,1,2.7,2.7,1.0%,2020,RB,12
53,Anthony McFarland Jr.,FA,3,9,3.0,3,0,0,1,1,17,17.0,0,0,1,2.6,2.6,1.1%,2020,RB,12
54,Josh Jacobs,GB,7,27,3.9,16,0,0,3,3,17,5.7,0,1,1,2.4,2.4,96.3%,2020,RB,12
55,Tony Pollard,TEN,4,12,3.0,5,0,0,2,2,10,5.0,0,0,1,2.2,2.2,80.4%,2020,RB,12
56,Phillip Lindsay,FA,9,20,2.2,13,0,0,0,0,0,0,0,0,1,2.0,2.0,0.0%,2020,RB,12
57,Leonard Fournette,FA,3,10,3.3,6,0,0,3,3,10,3.3,0,0,1,2.0,2.0,2.1%,2020,RB,12
58,Jeff Wilson Jr.,MIA,12,40,3.3,10,0,0,0,0,0,0,0,1,1,2.0,2.0,0.6%,2020,RB,12
59,Jeremy McNichols,WAS,8,20,2.5,6,0,0,0,1,0,0,0,0,1,2.0,2.0,3.0%,2020,RB,12
60,Ezekiel Elliott,FA,10,32,3.2,8,0,0,1,3,7,7.0,0,1,1,1.9,1.9,20.4%,2020,RB,12
61,Darrell Henderson Jr.,FA,10,19,1.9,5,0,0,0,1,0,0,0,0,1,1.9,1.9,5.0%,2020,RB,12
62,Rodney Smith,FA,7,18,2.6,13,0,0,0,1,0,0,0,0,1,1.8,1.8,0.0%,2020,RB,12
63,Trenton Cannon,FA,3,17,5.7,13,0,0,1,1,1,1.0,0,0,1,1.8,1.8,0.0%,2020,RB,12
64,Dion Lewis,FA,2,10,5.0,7,0,0,1,3,7,7.0,0,0,1,1.7,1.7,2.0%,2020,RB,12
