Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Derrick Henry,BAL,24,199,8.3,87,3,1,3,3,10,3.3,1,0,1,32.9,32.9,97.5%,2024,RB,4
2,Kenneth Walker III,SEA,12,80,6.7,28,3,3,4,5,36,9.0,0,0,1,29.6,29.6,81.7%,2024,RB,4
3,D'Andre Swift,CHI,16,93,5.8,36,1,1,7,7,72,10.3,0,0,1,22.5,22.5,83.1%,2024,RB,4
4,Jordan Mason,SF,24,123,5.1,25,2,1,2,3,37,18.5,0,0,1,22.0,22.0,27.7%,2024,RB,4
5,Chase Brown,CIN,15,80,5.3,20,1,2,2,3,12,6.0,0,0,1,21.2,21.2,85.5%,2024,RB,4
6,Jahmyr Gibbs,DET,14,78,5.6,20,1,2,0,0,0,0,0,0,1,19.8,19.8,97.5%,2024,RB,4
7,Jeremy McNichols,WAS,8,68,8.5,27,1,2,1,1,6,6.0,0,0,1,19.4,19.4,3.0%,2024,RB,4
8,Chuba Hubbard,CAR,18,104,5.8,38,1,1,4,4,17,4.3,0,0,1,18.1,18.1,73.0%,2024,RB,4
9,Alvin Kamara,NO,19,77,4.1,15,0,1,7,9,42,6.0,0,0,1,17.9,17.9,87.9%,2024,RB,4
10,Brian Robinson Jr.,WAS,21,101,4.8,18,0,1,3,3,12,4.0,0,0,1,17.3,17.3,84.9%,2024,RB,4
11,James Conner,ARI,18,104,5.8,20,1,1,1,1,9,9.0,0,0,1,17.3,17.3,82.6%,2024,RB,4
12,Tony Pollard,TEN,22,88,4.0,41,1,1,2,2,20,10.0,0,0,1,16.8,16.8,80.4%,2024,RB,4
13,Jonathan Taylor,IND,21,88,4.2,21,1,1,3,4,20,6.7,0,0,1,16.8,16.8,92.9%,2024,RB,4
14,Kyren Williams,LAR,19,94,4.9,14,0,1,4,4,10,2.5,0,0,1,16.4,16.4,94.2%,2024,RB,4
15,Justice Hill,BAL,4,18,4.5,11,0,0,6,6,78,13.0,1,0,1,15.6,15.6,24.4%,2024,RB,4
16,David Montgomery,DET,12,40,3.3,13,0,1,1,1,40,40.0,0,0,1,14.0,14.0,75.4%,2024,RB,4
17,Aaron Jones Sr.,MIN,22,93,4.2,17,0,0,4,5,46,11.5,0,0,1,13.9,13.9,91.4%,2024,RB,4
18,Zack Moss,CIN,15,51,3.4,13,0,0,4,4,27,6.8,1,0,1,13.8,13.8,33.5%,2024,RB,4
19,Rico Dowdle,DAL,11,46,4.2,9,0,0,1,1,15,15.0,1,0,1,12.1,12.1,73.9%,2024,RB,4
20,Saquon Barkley,PHI,10,84,8.4,59,1,0,2,4,32,16.0,0,0,1,11.6,11.6,97.8%,2024,RB,4
21,Bucky Irving,TB,10,49,4.9,15,0,1,1,2,6,6.0,0,0,1,11.5,11.5,87.5%,2024,RB,4
22,Dare Ogunbowale,HOU,2,7,3.5,6,0,0,4,4,47,11.8,1,0,1,11.4,11.4,1.0%,2024,RB,4
23,Tyjae Spears,TEN,15,39,2.6,9,0,1,2,2,0,0.0,0,0,1,9.9,9.9,60.2%,2024,RB,4
24,Tank Bigsby,JAC,7,90,12.9,58,2,0,0,0,0,0,0,0,1,9.0,9.0,49.4%,2024,RB,4
25,Roschon Johnson,CHI,7,26,3.7,8,0,1,0,0,0,0,0,0,1,8.6,8.6,16.7%,2024,RB,4
26,Jerome Ford,CLE,10,58,5.8,35,1,0,7,7,27,3.9,0,0,1,8.5,8.5,64.4%,2024,RB,4
27,Kareem Hunt,KC,14,69,4.9,10,0,0,2,3,16,8.0,0,0,1,8.5,8.5,48.5%,2024,RB,4
28,Rachaad White,TB,10,49,4.9,17,0,0,2,3,35,17.5,0,0,1,8.4,8.4,85.8%,2024,RB,4
29,Tyler Allgeier,ATL,8,60,7.5,15,0,0,2,2,20,10.0,0,0,1,8.0,8.0,36.7%,2024,RB,4
30,Javonte Williams,DEN,16,77,4.8,16,0,0,2,3,3,1.5,0,0,1,8.0,8.0,69.2%,2024,RB,4
31,Antonio Gibson,NE,6,12,2.0,5,0,0,3,4,67,22.3,0,0,1,7.9,7.9,22.5%,2024,RB,4
32,Josh Jacobs,GB,9,51,5.7,13,0,0,4,6,27,6.8,0,0,1,7.8,7.8,96.3%,2024,RB,4
33,Bijan Robinson,ATL,7,28,4.0,9,0,0,4,4,46,11.5,0,0,1,7.4,7.4,94.6%,2024,RB,4
34,Samaje Perine,KC,5,14,2.8,4,0,1,0,0,0,0,0,0,1,7.4,7.4,4.2%,2024,RB,4
35,Najee Harris,PIT,13,19,1.5,5,0,0,3,6,54,18.0,0,0,1,7.3,7.3,85.5%,2024,RB,4
36,Ty Johnson,BUF,1,3,3.0,3,0,1,0,0,0,0,0,0,1,6.3,6.3,5.6%,2024,RB,4
37,J.K. Dobbins,LAC,14,32,2.3,12,0,0,3,4,30,10.0,0,0,1,6.2,6.2,74.2%,2024,RB,4
38,Cordarrelle Patterson,PIT,6,43,7.2,12,0,0,2,2,19,9.5,0,0,1,6.2,6.2,1.6%,2024,RB,4
39,Travis Etienne Jr.,JAC,11,50,4.5,13,0,0,1,2,10,10.0,0,0,1,6.0,6.0,81.7%,2024,RB,4
40,Patrick Ricard,BAL,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0.8%,2024,RB,4
41,Alexander Mattison,LV,5,60,12.0,24,1,0,0,1,0,0,0,0,1,6.0,6.0,44.8%,2024,RB,4
42,Zach Charbonnet,SEA,2,15,7.5,12,0,0,5,5,39,7.8,0,0,1,5.4,5.4,76.5%,2024,RB,4
43,Cam Akers,MIN,13,53,4.1,15,0,0,0,0,0,0,0,0,1,5.3,5.3,14.2%,2024,RB,4
44,Trey Benson,ARI,9,50,5.6,13,0,0,0,0,0,0,0,0,1,5.0,5.0,31.0%,2024,RB,4
45,James Cook,BUF,9,39,4.3,8,0,0,1,1,9,9.0,0,0,1,4.8,4.8,93.1%,2024,RB,4
46,Jaleel McLaughlin,DEN,9,46,5.1,10,0,0,1,1,0,0.0,0,0,1,4.6,4.6,25.7%,2024,RB,4
47,Miles Sanders,CAR,6,32,5.3,14,0,0,3,4,14,4.7,0,0,1,4.6,4.6,5.1%,2024,RB,4
48,Braelon Allen,NYJ,8,34,4.3,9,0,0,1,1,12,12.0,0,0,1,4.6,4.6,34.9%,2024,RB,4
49,Rhamondre Stevenson,NE,13,43,3.3,13,0,0,4,5,19,4.8,0,1,1,4.2,4.2,80.6%,2024,RB,4
50,Devin Singletary,NYG,14,24,1.7,5,0,0,1,1,14,14.0,0,0,1,3.8,3.8,43.6%,2024,RB,4
51,Jaylen Wright,MIA,9,32,3.6,20,1,0,0,1,0,0,0,0,1,3.2,3.2,18.9%,2024,RB,4
52,Zamir White,LV,17,50,2.9,17,0,0,0,1,0,0,0,1,1,3.0,3.0,30.0%,2024,RB,4
53,De'Von Achane,MIA,10,15,1.5,5,0,0,3,3,14,4.7,0,0,1,2.9,2.9,92.9%,2024,RB,4
54,Emanuel Wilson,GB,8,27,3.4,8,0,0,0,1,0,0,0,0,1,2.7,2.7,4.8%,2024,RB,4
55,Ronnie Rivers,LAR,6,26,4.3,11,0,0,0,0,0,0,0,0,1,2.6,2.6,0.6%,2024,RB,4
56,Ezekiel Elliott,FA,5,19,3.8,8,0,0,1,1,5,5.0,0,0,1,2.4,2.4,20.4%,2024,RB,4
57,Emari Demercado,ARI,4,24,6.0,16,0,0,1,1,0,0.0,0,0,1,2.4,2.4,1.5%,2024,RB,4
58,Hunter Luepke,DAL,2,8,4.0,6,0,0,2,2,14,7.0,0,0,1,2.2,2.2,0.1%,2024,RB,4
59,Tyrone Tracy Jr.,NYG,4,2,0.5,1,0,0,1,1,19,19.0,0,0,1,2.1,2.1,74.5%,2024,RB,4
60,Gus Edwards,LAC,6,19,3.2,5,0,0,0,0,0,0,0,0,1,1.9,1.9,45.3%,2024,RB,4
61,Jamaal Williams,FA,3,11,3.7,4,0,0,2,2,8,4.0,0,0,1,1.9,1.9,2.5%,2024,RB,4
62,Breece Hall,NYJ,10,4,0.4,3,0,0,2,5,14,7.0,0,0,1,1.8,1.8,91.6%,2024,RB,4
63,J.J. Taylor,HOU,6,18,3.0,7,0,0,0,1,0,0,0,0,1,1.8,1.8,1.4%,2024,RB,4
64,Sean Tucker,TB,1,3,3.0,3,0,0,1,1,14,14.0,0,0,1,1.7,1.7,5.4%,2024,RB,4
65,JaMycal Hasty,NE,3,15,5.0,9,0,0,0,1,0,0,0,0,1,1.5,1.5,0.7%,2024,RB,4
66,Ty Chandler,MIN,3,5,1.7,3,0,0,1,1,8,8.0,0,0,1,1.3,1.3,13.5%,2024,RB,4
67,Kyle Juszczyk,SF,0,0,0,0,0,0,1,1,12,12.0,0,0,1,1.2,1.2,1.2%,2024,RB,4
68,Ray Davis,BUF,7,11,1.6,7,0,0,0,0,0,0,0,0,1,1.1,1.1,28.7%,2024,RB,4
69,Tyreik McAllister,LV,2,11,5.5,10,0,0,0,0,0,0,0,0,1,1.1,1.1,1.3%,2024,RB,4
70,Kenneth Gainwell,PHI,2,9,4.5,9,0,0,0,1,0,0,0,0,1,0.9,0.9,11.7%,2024,RB,4
71,Trey Sermon,IND,5,8,1.6,6,0,0,0,0,0,0,0,0,1,0.8,0.8,3.7%,2024,RB,4
72,D'Onta Foreman,CLE,4,2,0.5,1,0,0,1,1,5,5.0,0,0,1,0.7,0.7,3.4%,2024,RB,4
73,Aaron Shampklin,PIT,1,5,5.0,5,0,0,0,0,0,0,0,0,1,0.5,0.5,1.0%,2024,RB,4
74,Michael Burton,DEN,0,0,0,0,0,0,1,1,3,3.0,0,0,1,0.3,0.3,0.1%,2024,RB,4
75,Eric Gray,NYG,1,1,1.0,1,0,0,0,0,0,0,0,0,1,0.1,0.1,1.6%,2024,RB,4
76,Patrick Taylor Jr.,SF,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,16.6%,2024,RB,4
77,DeeJay Dallas,ARI,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.3%,2024,RB,4
78,Salvon Ahmed,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
79,Reggie Gilliam,BUF,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,4
80,Jonathan Ward,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
81,Andrew Beck,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
82,Jakob Johnson,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,4
83,Joshua Kelley,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
84,Darrynton Evans,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
85,AJ Dillon,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%,2024,RB,4
86,Clyde Edwards-Helaire,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2%,2024,RB,4
87,D'Ernest Johnson,JAC,2,0,0.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2024,RB,4
88,Craig Reynolds,DET,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.5%,2024,RB,4
89,Demetric Felton Jr.,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
90,Raheem Blackshear,CAR,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,7.7%,2024,RB,4
91,Jaret Patterson,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
92,Ellis Merriweather,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
93,Owen Wright,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
94,Chris Brooks,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%,2024,RB,4
95,Jordan Mims,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%,2024,RB,4
96,Zavier Scott,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
97,Isaiah Davis,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9%,2024,RB,4
98,Robert Burns,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
99,Carlos Washington Jr.,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
100,Rasheen Ali,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%,2024,RB,4
101,Frank Gore Jr.,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%,2024,RB,4
102,Kazmeir Allen,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,4
103,Dylan Laube,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6%,2024,RB,4
104,Keaton Mitchell,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0%,2024,RB,4
105,Xazavian Valladay,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,RB,4
106,Kenny McIntosh,SEA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2024,RB,4
107,Evan Hull,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5%,2024,RB,4
108,Scott Matlock,LAC,0,0,0,0,0,0,1,1,7,7.0,0,0,1,0.0,0.0,0.2%,2024,RB,4
