Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,DeAndre Hopkins,KC,4,6,128,32.0,61,2,3,0,0,0,0,1,30.8,30.8,72.8%,2023,WR,8
2,CeeDee Lamb,DAL,12,14,158,13.2,26,4,2,1,12,0,0,1,29.0,29.0,87.2%,2023,WR,8
3,A.J. Brown,PHI,8,8,130,16.3,25,3,2,0,0,0,0,1,25.0,25.0,96.7%,2023,WR,8
4,Rashid Shaheed,NO,3,3,153,51.0,58,3,1,0,0,0,0,1,21.3,21.3,31.4%,2023,WR,8
5,Jaylen Waddle,MIA,7,12,121,17.3,31,2,1,0,0,0,0,1,18.1,18.1,79.3%,2023,WR,8
6,Tyreek Hill,MIA,8,13,112,14.0,42,2,1,0,0,0,0,1,17.2,17.2,92.8%,2023,WR,8
7,Jahan Dotson,PHI,8,10,108,13.5,23,2,1,0,0,0,0,1,16.8,16.8,11.0%,2023,WR,8
8,DeVonta Smith,PHI,7,7,99,14.1,38,1,1,0,0,0,0,1,15.9,15.9,89.2%,2023,WR,8
9,Jamison Crowder,WAS,7,7,95,13.6,26,1,1,0,0,0,0,1,15.5,15.5,0.7%,2023,WR,8
10,Ja'Marr Chase,CIN,10,12,100,10.0,20,1,1,2,-8,0,0,1,15.2,15.2,94.0%,2023,WR,8
11,Gabe Davis,JAC,9,12,87,9.7,16,0,1,0,0,0,0,1,14.7,14.7,18.0%,2023,WR,8
12,Jordan Addison,MIN,7,8,82,11.7,20,2,1,1,2,0,0,1,14.4,14.4,85.1%,2023,WR,8
13,Tyler Lockett,FA,8,9,81,10.1,17,0,1,0,0,0,0,1,14.1,14.1,44.2%,2023,WR,8
14,Chris Godwin,TB,5,7,54,10.8,31,1,1,1,14,0,0,1,12.8,12.8,45.3%,2023,WR,8
15,Terry McLaurin,WAS,5,12,63,12.6,26,1,1,0,0,0,0,1,12.3,12.3,91.3%,2023,WR,8
16,Brandin Cooks,DAL,3,4,49,16.3,25,1,1,1,3,0,0,1,11.2,11.2,18.2%,2023,WR,8
17,Jerry Jeudy,CLE,2,6,50,25.0,39,1,1,0,0,0,0,1,11.0,11.0,72.7%,2023,WR,8
18,Brandon Aiyuk,SF,5,9,109,21.8,31,3,0,0,0,0,0,1,10.9,10.9,43.5%,2023,WR,8
19,Amon-Ra St. Brown,DET,6,9,108,18.0,44,2,0,0,0,0,0,1,10.8,10.8,97.2%,2023,WR,8
20,Tyler Boyd,TEN,3,3,40,13.3,22,1,1,1,6,0,0,1,10.6,10.6,4.6%,2023,WR,8
21,Garrett Wilson,NYJ,7,13,100,14.3,29,1,0,1,6,0,0,1,10.6,10.6,91.1%,2023,WR,8
22,Michael Pittman Jr.,IND,8,13,40,5.0,10,0,1,0,0,0,0,1,10.0,10.0,70.7%,2023,WR,8
23,K.J. Osborn,WAS,8,10,99,12.4,32,2,0,0,0,0,0,1,9.9,9.9,1.3%,2023,WR,8
24,Mike Evans,TB,3,6,39,13.0,24,1,1,0,0,0,0,1,9.9,9.9,94.8%,2023,WR,8
25,Kendrick Bourne,NE,3,4,36,12.0,24,1,1,0,0,0,0,1,9.6,9.6,4.0%,2023,WR,8
26,Jaxon Smith-Njigba,SEA,3,4,36,12.0,19,0,1,0,0,0,0,1,9.6,9.6,85.4%,2023,WR,8
27,Nick Westbrook-Ikhine,TEN,1,2,33,33.0,33,1,1,0,0,0,0,1,9.3,9.3,23.7%,2023,WR,8
28,Marquise Brown,KC,6,9,33,5.5,9,0,1,0,0,0,0,1,9.3,9.3,40.3%,2023,WR,8
29,Khalil Shakir,BUF,6,6,92,15.3,30,2,0,0,0,0,0,1,9.2,9.2,74.4%,2023,WR,8
30,Amari Cooper,BUF,6,11,89,14.8,24,3,0,0,0,0,0,1,8.9,8.9,75.3%,2023,WR,8
31,Courtland Sutton,DEN,2,3,29,14.5,23,1,1,0,0,0,0,1,8.9,8.9,84.6%,2023,WR,8
32,Jake Bobo,SEA,2,2,23,11.5,15,0,0,1,3,1,0,1,8.6,8.6,1.2%,2023,WR,8
33,Diontae Johnson,BAL,8,14,85,10.6,16,0,0,0,0,0,0,1,8.5,8.5,39.6%,2023,WR,8
34,Jayden Reed,GB,4,6,83,20.8,34,2,0,0,0,0,0,1,8.3,8.3,82.1%,2023,WR,8
35,Calvin Ridley,TEN,6,10,83,13.8,27,2,0,0,0,0,0,1,8.3,8.3,77.8%,2023,WR,8
36,George Pickens,PIT,1,5,22,22.0,22,1,1,0,0,0,0,1,8.2,8.2,88.7%,2023,WR,8
37,Ben Skowronek,PIT,1,1,20,20.0,20,1,1,0,0,0,0,1,8.0,8.0,0.0%,2023,WR,8
38,Romeo Doubs,GB,4,9,18,4.5,10,0,1,0,0,0,0,1,7.8,7.8,47.5%,2023,WR,8
39,KhaDarel Hodge,ATL,3,3,75,25.0,52,1,0,0,0,0,0,1,7.5,7.5,0.1%,2023,WR,8
40,Scotty Miller,FA,2,2,14,7.0,8,0,1,0,0,0,0,1,7.4,7.4,0.1%,2023,WR,8
41,Adam Thielen,CAR,8,11,72,9.0,31,1,0,0,0,0,0,1,7.2,7.2,61.9%,2023,WR,8
42,Josh Downs,IND,7,9,72,10.3,17,0,0,0,0,0,0,1,7.2,7.2,62.9%,2023,WR,8
43,Stefon Diggs,HOU,9,12,70,7.8,17,0,0,0,0,0,0,1,7.0,7.0,46.3%,2023,WR,8
44,Tee Higgins,CIN,5,6,69,13.8,33,1,0,0,0,0,0,1,6.9,6.9,87.7%,2023,WR,8
45,Keenan Allen,CHI,8,10,69,8.6,26,1,0,0,0,0,0,1,6.9,6.9,76.2%,2023,WR,8
46,Simi Fehoko,LAC,1,2,9,9.0,9,0,1,0,0,0,0,1,6.9,6.9,1.0%,2023,WR,8
47,Julio Jones,FA,1,2,8,8.0,8,0,1,0,0,0,0,1,6.8,6.8,0.8%,2023,WR,8
48,Michael Thomas,FA,4,7,68,17.0,31,1,0,0,0,0,0,1,6.8,6.8,0.7%,2023,WR,8
49,DK Metcalf,SEA,5,14,67,13.4,43,1,0,0,0,0,0,1,6.7,6.7,88.3%,2023,WR,8
50,JuJu Smith-Schuster,KC,1,1,3,3.0,3,0,1,0,0,0,0,1,6.3,6.3,3.9%,2023,WR,8
51,Andrei Iosivas,CIN,1,1,2,2.0,2,0,1,0,0,0,0,1,6.2,6.2,11.4%,2023,WR,8
52,Jonathan Mingo,DAL,4,5,62,15.5,40,1,0,0,0,0,0,1,6.2,6.2,2.7%,2023,WR,8
53,Cedrick Wilson Jr.,NO,1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,0.7%,2023,WR,8
54,Michael Wilson,ARI,4,6,58,14.5,29,1,0,0,0,0,0,1,5.8,5.8,16.9%,2023,WR,8
55,Noah Brown,WAS,3,5,57,19.0,31,2,0,0,0,0,0,1,5.7,5.7,5.8%,2023,WR,8
56,Rashee Rice,KC,4,5,56,14.0,39,1,0,0,0,0,0,1,5.6,5.6,42.8%,2023,WR,8
57,DJ Moore,CHI,4,6,55,13.8,18,0,0,0,0,0,0,1,5.5,5.5,86.7%,2023,WR,8
58,Drake London,ATL,5,7,55,11.0,21,1,0,0,0,0,0,1,5.5,5.5,91.6%,2023,WR,8
59,Rashod Bateman,BAL,2,2,34,17.0,29,1,0,1,18,0,0,1,5.2,5.2,35.3%,2023,WR,8
60,Quentin Johnston,LAC,5,6,50,10.0,18,0,0,0,0,0,0,1,5.0,5.0,50.5%,2023,WR,8
61,Tutu Atwell,LAR,2,4,21,10.5,20,1,0,2,8,0,0,1,4.9,4.9,5.2%,2023,WR,8
62,Christian Kirk,JAC,4,5,46,11.5,29,1,0,0,0,0,0,1,4.6,4.6,34.9%,2023,WR,8
63,Chris Olave,NO,5,9,46,9.2,15,0,0,0,0,0,0,1,4.6,4.6,68.4%,2023,WR,8
64,Allen Lazard,NYJ,3,6,45,15.0,29,1,0,0,0,0,0,1,4.5,4.5,6.7%,2023,WR,8
65,Darnell Mooney,ATL,1,4,41,41.0,41,1,0,1,3,0,0,1,4.4,4.4,67.9%,2023,WR,8
