Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Lamar Jackson,BAL,17,22,77.3,281,12.8,5,0,2,9,52,0,1,1,34.4,34.4,97.0%,2024,QB,7
2,Baker Mayfield,TB,31,45,68.9,370,8.2,3,2,3,5,22,0,0,1,29.0,29.0,86.5%,2024,QB,7
3,Russell Wilson,PIT,16,29,55.2,264,9.1,2,0,1,3,3,1,0,1,24.9,24.9,48.0%,2024,QB,7
4,Jalen Hurts,PHI,10,14,71.4,114,8.1,1,0,4,7,22,2,0,1,22.8,22.8,91.6%,2024,QB,7
5,Kyler Murray,ARI,14,26,53.8,145,5.6,1,1,0,6,64,1,0,1,21.2,21.2,84.0%,2024,QB,7
6,Josh Allen,BUF,21,33,63.6,323,9.8,2,0,1,3,1,0,0,1,21.0,21.0,97.2%,2024,QB,7
7,Drake Maye,NE,26,37,70.3,276,7.5,2,0,2,3,18,0,0,1,20.8,20.8,32.1%,2024,QB,7
8,Brock Purdy,SF,17,31,54.8,212,6.8,0,3,1,8,27,2,0,1,20.2,20.2,79.2%,2024,QB,7
9,Marcus Mariota,WAS,18,23,78.3,205,8.9,2,0,1,11,34,0,0,1,19.6,19.6,2.7%,2024,QB,7
10,Jared Goff,DET,22,25,88.0,280,11.2,2,0,4,2,-4,0,0,1,18.8,18.8,83.6%,2024,QB,7
11,Jordan Love,GB,24,33,72.7,220,6.7,3,2,3,0,0,0,0,1,18.8,18.8,81.9%,2024,QB,7
12,Geno Smith,SEA,18,28,64.3,207,7.4,2,0,1,4,15,0,0,1,17.8,17.8,49.4%,2024,QB,7
13,Sam Darnold,MIN,22,27,81.5,259,9.6,1,1,4,4,39,0,0,1,17.3,17.3,77.4%,2024,QB,7
14,Aaron Rodgers,NYJ,24,39,61.5,276,7.1,1,2,1,0,0,0,0,1,15.0,15.0,47.5%,2024,QB,7
15,Trevor Lawrence,JAC,15,20,75.0,193,9.7,1,0,0,2,13,0,0,1,15.0,15.0,30.9%,2024,QB,7
16,Joe Burrow,CIN,15,25,60.0,181,7.2,2,0,3,3,-3,0,0,1,14.9,14.9,92.1%,2024,QB,7
17,Justin Herbert,LAC,27,39,69.2,349,8.9,0,0,3,2,8,0,0,1,14.8,14.8,77.4%,2024,QB,7
18,Patrick Mahomes II,KC,16,27,59.3,154,5.7,0,2,2,5,39,1,0,1,14.1,14.1,92.9%,2024,QB,7
19,Bo Nix,DEN,16,26,61.5,164,6.3,0,0,0,10,75,0,0,1,14.1,14.1,73.0%,2024,QB,7
20,Mason Rudolph,TEN,25,40,62.5,215,5.4,1,1,3,5,13,0,1,1,10.9,10.9,3.0%,2024,QB,7
21,Tyler Huntley,MIA,7,13,53.8,87,6.7,1,0,2,5,20,0,0,1,9.5,9.5,1.8%,2024,QB,7
22,Kirk Cousins,ATL,24,35,68.6,232,6.6,1,2,3,1,-1,0,1,1,9.2,9.2,43.6%,2024,QB,7
23,Anthony Richardson,IND,10,24,41.7,129,5.4,0,0,0,14,56,0,1,1,8.8,8.8,58.2%,2024,QB,7
24,Jameis Winston,CLE,5,11,45.5,67,6.1,1,0,1,0,0,0,0,1,8.7,8.7,19.6%,2024,QB,7
25,Spencer Rattler,NO,25,35,71.4,172,4.9,0,0,6,5,34,0,2,1,6.3,6.3,7.6%,2024,QB,7
26,Daniel Jones,MIN,14,21,66.7,99,4.7,0,0,7,5,20,0,0,1,6.0,6.0,13.0%,2024,QB,7
27,Dorian Thompson-Robinson,CLE,11,24,45.8,82,3.4,0,2,1,3,44,0,0,1,5.7,5.7,1.1%,2024,QB,7
28,Jake Haener,NO,3,4,75.0,38,9.5,1,0,0,0,0,0,0,1,5.5,5.5,0.6%,2024,QB,7
29,C.J. Stroud,HOU,10,21,47.6,86,4.1,0,0,4,5,19,0,0,1,5.3,5.3,79.4%,2024,QB,7
30,Jayden Daniels,WAS,2,2,100.0,6,3.0,0,0,0,3,50,0,0,1,5.2,5.2,94.0%,2024,QB,7
31,Deshaun Watson,CLE,15,17,88.2,128,7.5,0,0,2,2,0,0,0,1,5.1,5.1,14.6%,2024,QB,7
32,Matthew Stafford,LAR,14,23,60.9,154,6.7,0,1,1,2,-2,0,0,1,5.0,5.0,54.5%,2024,QB,7
33,Tim Boyle,NYG,8,13,61.5,74,5.7,0,0,0,1,4,0,0,1,3.4,3.4,0.0%,2024,QB,7
34,Aidan O'Connell,LV,6,10,60.0,52,5.2,0,0,0,0,0,0,0,1,2.1,2.1,8.0%,2024,QB,7
35,Andy Dalton,CAR,11,16,68.8,93,5.8,0,2,2,2,3,0,0,1,2.0,2.0,2.5%,2024,QB,7
36,Drew Lock,NYG,3,8,37.5,6,0.8,0,0,1,1,13,0,0,1,1.5,1.5,4.4%,2024,QB,7
37,Gardner Minshew II,FA,15,34,44.1,154,4.5,0,3,2,1,2,0,1,1,1.4,1.4,6.2%,2024,QB,7
38,Michael Penix Jr.,ATL,1,1,100.0,14,14.0,0,0,0,0,0,0,0,1,0.6,0.6,27.1%,2024,QB,7
39,Clayton Tune,ARI,0,0,0,0,0,0,0,0,3,2,0,0,1,0.2,0.2,1.0%,2024,QB,7
40,Zach Wilson,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%,2024,QB,7
41,Kenny Pickett,PHI,0,1,0.0,0,0.0,0,0,1,0,0,0,0,1,0.0,0.0,4.2%,2024,QB,7
42,Davis Mills,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2024,QB,7
43,Justin Fields,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2%,2024,QB,7
44,J.J. McCarthy,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1%,2024,QB,7
45,Will Levis,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1%,2024,QB,7
46,Adrian Martinez,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,7
47,Sam Howell,SEA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,5.8%,2024,QB,7
48,Malik Cunningham,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,QB,7
49,Emory Jones,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,7
50,Mac Jones,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6%,2024,QB,7
51,Sean Clifford,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2024,QB,7
52,Desmond Ridder,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0%,2024,QB,7
53,Feleipe Franks,CAR,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,QB,7
54,Trey Lance,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%,2024,QB,7
55,Ben DiNucci,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,7
56,Sam Ehlinger,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,7
