Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Davante Adams,FA,10,17,146,14.6,38,3,2,0,0,0,0,1,26.6,26.6,91.0%,2022,WR,9
2,Tyreek Hill,MIA,7,8,143,20.4,39,4,1,0,0,0,0,1,20.3,20.3,92.8%,2022,WR,9
3,Cooper Kupp,LAR,8,9,127,15.9,69,2,1,3,1,0,0,1,18.8,18.8,90.9%,2022,WR,9
4,Justin Jefferson,MIN,7,13,115,16.4,47,1,1,1,10,0,0,1,18.5,18.5,98.3%,2022,WR,9
5,Allen Lazard,NYJ,4,10,87,21.8,47,2,1,0,0,0,0,1,14.7,14.7,6.7%,2022,WR,9
6,Jaylen Waddle,MIA,5,7,85,17.0,26,1,1,0,0,0,0,1,14.5,14.5,79.3%,2022,WR,9
7,Curtis Samuel,BUF,3,4,65,21.7,49,1,1,1,16,0,0,1,14.1,14.1,17.8%,2022,WR,9
8,Mecole Hardman Jr.,KC,6,9,79,13.2,33,1,1,0,0,0,0,1,13.9,13.9,0.2%,2022,WR,9
9,Christian Kirk,JAC,8,9,76,9.5,23,1,1,0,0,0,0,1,13.6,13.6,34.9%,2022,WR,9
10,Tyler Lockett,FA,5,5,67,13.4,30,1,1,0,0,0,0,1,12.7,12.7,44.2%,2022,WR,9
11,A.J. Brown,PHI,4,6,59,14.8,31,1,1,0,0,0,0,1,11.9,11.9,96.7%,2022,WR,9
12,Terrace Marshall Jr.,LV,3,6,53,17.7,21,1,1,0,0,0,0,1,11.3,11.3,0.0%,2022,WR,9
13,Joshua Palmer,LAC,8,10,106,13.3,25,3,0,0,0,0,0,1,10.6,10.6,18.9%,2022,WR,9
14,Chris Moore,WAS,4,5,43,10.8,25,1,1,1,2,0,0,1,10.5,10.5,0.0%,2022,WR,9
15,Darnell Mooney,ATL,7,8,43,6.1,16,0,1,1,2,0,0,1,10.5,10.5,67.9%,2022,WR,9
16,Garrett Wilson,NYJ,8,9,92,11.5,24,1,0,1,7,0,0,1,9.9,9.9,91.1%,2022,WR,9
17,DK Metcalf,SEA,5,6,37,7.4,9,0,1,0,0,0,0,1,9.7,9.7,88.3%,2022,WR,9
