Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
48,Devin Singletary,NYG,7,32,4.6,14,0,0,1,1,2,2.0,0,0,1,3.4,3.4,43.6%,2020,RB,14
49,Jaylen Samuels,FA,4,15,3.8,6,0,0,3,4,18,6.0,0,0,1,3.3,3.3,0.0%,2020,RB,14
50,Todd Gurley II,FA,6,19,3.2,8,0,0,2,3,12,6.0,0,0,1,3.1,3.1,0.7%,2020,RB,14
51,Phillip Lindsay,FA,11,24,2.2,9,0,0,2,2,7,3.5,0,0,1,3.1,3.1,0.0%,2020,RB,14
52,Adrian Peterson,FA,4,7,1.8,3,0,0,1,1,23,23.0,0,0,1,3.0,3.0,2.0%,2020,RB,14
53,Josh Adams,FA,6,27,4.5,12,0,0,2,2,3,1.5,0,0,1,3.0,3.0,0.0%,2020,RB,14
54,Devine Ozigbo,FA,0,0,0,0,0,0,4,4,30,7.5,0,0,1,3.0,3.0,1.0%,2020,RB,14
55,Rodney Smith,FA,2,10,5.0,6,0,0,2,2,14,7.0,0,0,1,2.4,2.4,0.0%,2020,RB,14
56,Patrick Laird,FA,4,19,4.8,9,0,0,1,1,4,4.0,0,0,1,2.3,2.3,0.0%,2020,RB,14
57,C.J. Ham,MIN,1,0,0.0,0,0,0,3,3,22,7.3,0,0,1,2.2,2.2,0.6%,2020,RB,14
58,Sony Michel,FA,7,22,3.1,8,0,0,0,1,0,0,0,0,1,2.2,2.2,0.0%,2020,RB,14
59,Ameer Abdullah,LV,3,11,3.7,4,0,0,2,2,10,5.0,0,0,1,2.1,2.1,25.1%,2020,RB,14
60,Kalen Ballage,FA,7,14,2.0,5,0,0,1,2,6,6.0,0,0,1,2.0,2.0,0.0%,2020,RB,14
61,Justin Jackson,FA,3,9,3.0,5,0,0,3,3,10,3.3,0,0,1,1.9,1.9,0.0%,2020,RB,14
62,Devontae Booker,FA,4,8,2.0,6,0,0,3,3,11,3.7,0,0,1,1.9,1.9,0.0%,2020,RB,14
63,James White,FA,3,16,5.3,9,0,0,1,2,2,2.0,0,0,1,1.8,1.8,0.1%,2020,RB,14
64,James Conner,ARI,10,18,1.8,5,0,0,0,0,0,0,0,0,1,1.8,1.8,82.6%,2020,RB,14
65,Boston Scott,FA,3,6,2.0,3,0,0,1,1,11,11.0,0,0,1,1.7,1.7,0.0%,2020,RB,14
66,Ty Johnson,BUF,8,16,2.0,5,0,0,0,0,0,0,0,0,1,1.6,1.6,5.6%,2020,RB,14
67,Brian Hill,FA,1,3,3.0,3,0,0,1,1,12,12.0,0,0,1,1.5,1.5,0.0%,2020,RB,14
68,Benny Snell Jr.,FA,3,14,4.7,7,0,0,0,0,0,0,0,0,1,1.4,1.4,0.0%,2020,RB,14
