Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Josh Allen,BUF,21,25,84.0,320,12.8,4,0,2,4,17,1,0,1,36.5,36.5,97.2%,2023,QB,4
2,Anthony Richardson,IND,11,25,44.0,200,8.0,2,0,2,10,56,1,1,1,29.6,29.6,58.2%,2023,QB,4
3,Justin Fields,PIT,28,35,80.0,335,9.6,4,1,4,4,25,0,1,1,28.9,28.9,20.2%,2023,QB,4
4,Lamar Jackson,BAL,15,19,78.9,186,9.8,2,0,3,9,27,2,1,1,28.1,28.1,97.0%,2023,QB,4
5,Justin Herbert,LAC,13,24,54.2,167,7.0,1,1,2,12,27,2,0,1,24.4,24.4,77.4%,2023,QB,4
6,Jalen Hurts,PHI,25,37,67.6,319,8.6,2,0,3,9,34,0,0,1,24.2,24.2,91.6%,2023,QB,4
7,Baker Mayfield,TB,25,32,78.1,246,7.7,3,1,1,8,31,0,0,1,23.9,23.9,86.5%,2023,QB,4
8,Joshua Dobbs,SF,28,41,68.3,265,6.5,2,0,1,12,48,0,0,1,23.4,23.4,2.4%,2023,QB,4
9,Russell Wilson,PIT,21,28,75.0,223,8.0,3,0,1,4,13,0,0,1,22.2,22.2,48.0%,2023,QB,4
10,C.J. Stroud,HOU,16,30,53.3,306,10.2,2,0,0,4,16,0,0,1,21.8,21.8,79.4%,2023,QB,4
11,Brock Purdy,SF,20,21,95.2,283,13.5,1,0,1,2,0,1,0,1,21.3,21.3,79.2%,2023,QB,4
12,Sam Howell,SEA,29,41,70.7,290,7.1,1,0,5,6,40,0,0,1,19.6,19.6,5.8%,2023,QB,4
13,Jordan Love,GB,23,36,63.9,246,6.8,1,2,5,2,-2,1,0,1,19.6,19.6,81.9%,2023,QB,4
14,Zach Wilson,DEN,28,39,71.8,245,6.3,2,0,2,2,14,0,1,1,19.2,19.2,0.9%,2023,QB,4
15,Matthew Stafford,LAR,27,40,67.5,319,8.0,1,1,2,2,14,0,0,1,17.2,17.2,54.5%,2023,QB,4
16,Trevor Lawrence,JAC,23,30,76.7,207,6.9,1,0,2,8,42,0,0,1,16.5,16.5,30.9%,2023,QB,4
17,Patrick Mahomes II,KC,18,30,60.0,203,6.8,1,2,1,7,51,0,0,1,15.2,15.2,92.9%,2023,QB,4
18,Tua Tagovailoa,MIA,25,35,71.4,282,8.1,1,1,4,2,7,0,0,1,15.0,15.0,62.5%,2023,QB,4
19,Dak Prescott,DAL,28,34,82.4,261,7.7,1,0,3,1,-1,0,0,1,14.3,14.3,37.8%,2023,QB,4
20,Ryan Tannehill,FA,18,25,72.0,240,9.6,1,1,3,6,11,0,0,1,13.7,13.7,1.3%,2023,QB,4
21,Jared Goff,DET,19,28,67.9,210,7.5,1,1,2,2,10,0,0,1,12.4,12.4,83.6%,2023,QB,4
22,Kirk Cousins,ATL,12,19,63.2,139,7.3,2,2,2,1,0,0,0,1,11.6,11.6,43.6%,2023,QB,4
23,Aidan O'Connell,LV,24,39,61.5,238,6.1,0,1,7,3,3,1,2,1,10.8,10.8,8.0%,2023,QB,4
24,Daniel Jones,MIN,27,34,79.4,203,6.0,0,2,10,10,66,0,1,1,10.7,10.7,13.0%,2023,QB,4
25,Geno Smith,SEA,13,20,65.0,110,5.5,1,0,2,0,0,0,0,1,8.2,8.2,49.4%,2023,QB,4
26,Desmond Ridder,LV,19,31,61.3,191,6.2,1,2,4,1,6,0,1,1,8.2,8.2,2.0%,2023,QB,4
27,Bryce Young,CAR,25,32,78.1,204,6.4,0,0,5,2,10,0,1,1,7.2,7.2,28.7%,2023,QB,4
28,Joe Burrow,CIN,20,30,66.7,165,5.5,0,0,3,3,1,0,1,1,4.7,4.7,92.1%,2023,QB,4
29,Kenny Pickett,PHI,15,23,65.2,114,5.0,0,1,3,2,9,0,0,1,4.5,4.5,4.2%,2023,QB,4
30,Dorian Thompson-Robinson,CLE,19,36,52.8,121,3.4,0,3,4,4,24,0,0,1,4.2,4.2,1.1%,2023,QB,4
31,Drew Lock,NYG,2,6,33.3,63,10.5,0,0,0,1,11,0,0,1,3.6,3.6,4.4%,2023,QB,4
32,Derek Carr,NO,23,37,62.2,127,3.4,0,0,2,2,1,0,1,1,3.2,3.2,20.5%,2023,QB,4
33,Mac Jones,JAC,12,21,57.1,150,7.1,0,2,1,3,7,0,1,1,2.7,2.7,5.6%,2023,QB,4
34,Bailey Zappe,CLE,4,9,44.4,57,6.3,0,0,1,0,0,0,0,1,2.3,2.3,0.6%,2023,QB,4
35,Tyler Huntley,MIA,0,0,0,0,0,0,0,0,2,8,0,0,1,0.8,0.8,1.8%,2023,QB,4
36,Mitchell Trubisky,BUF,3,5,60.0,18,3.6,0,0,0,0,0,0,0,1,0.7,0.7,0.7%,2023,QB,4
37,Cooper Rush,DAL,2,2,100.0,20,10.0,0,0,0,3,-2,0,0,1,0.6,0.6,6.1%,2023,QB,4
38,Tyrod Taylor,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,5.4%,2023,QB,4
39,Taysom Hill,NO,1,1,100.0,13,13.0,0,0,1,4,10,0,0,1,0.0,0.0,27.7%,2023,QB,4
40,Sam Darnold,MIN,0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,77.4%,2023,QB,4
