Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Sam LaPorta,DET,5,6,56,11.2,19,0,3,0,0,0,0,1,23.6,23.6,93.3%,2023,TE,15
2,David Njoku,CLE,10,14,104,10.4,34,2,1,0,0,0,0,1,16.4,16.4,74.6%,2023,TE,15
3,Isaiah Likely,BAL,5,6,70,14.0,26,1,1,0,0,0,0,1,13.0,13.0,34.2%,2023,TE,15
4,Hunter Henry,NE,7,9,66,9.4,16,0,1,0,0,0,0,1,12.6,12.6,53.6%,2023,TE,15
5,Tucker Kraft,GB,4,6,57,14.3,36,1,1,0,0,0,0,1,11.7,11.7,63.4%,2023,TE,15
6,Elijah Higgins,ARI,4,4,44,11.0,17,0,1,0,0,0,0,1,10.4,10.4,1.0%,2023,TE,15
7,Trey McBride,ARI,10,11,102,10.2,38,1,0,0,0,0,0,1,10.2,10.2,91.9%,2023,TE,15
8,Michael Mayer,LV,4,5,39,9.8,13,0,1,0,0,0,0,1,9.9,9.9,13.6%,2023,TE,15
9,Juwan Johnson,NO,2,2,38,19.0,23,1,1,0,0,0,0,1,9.8,9.8,19.4%,2023,TE,15
10,Cole Kmet,CHI,5,7,23,4.6,8,0,1,0,0,0,0,1,8.3,8.3,42.7%,2023,TE,15
11,Mo Alie-Cox,IND,2,3,21,10.5,18,0,1,0,0,0,0,1,8.1,8.1,0.6%,2023,TE,15
12,Jimmy Graham,FA,2,2,9,4.5,8,0,1,0,0,0,0,1,6.9,6.9,0.1%,2023,TE,15
13,T.J. Hockenson,MIN,6,7,63,10.5,16,0,0,0,0,0,0,1,6.3,6.3,83.0%,2023,TE,15
14,Ko Kieft,TB,1,1,2,2.0,2,0,1,0,0,0,0,1,6.2,6.2,0.0%,2023,TE,15
15,Jonnu Smith,MIA,2,2,61,30.5,56,1,0,0,0,0,0,1,6.1,6.1,77.6%,2023,TE,15
16,Dalton Schultz,HOU,4,5,58,14.5,19,0,0,0,0,0,0,1,5.8,5.8,54.4%,2023,TE,15
17,George Kittle,SF,2,4,54,27.0,35,1,0,0,0,0,0,1,5.4,5.4,91.9%,2023,TE,15
18,Tanner Hudson,CIN,5,5,49,9.8,14,0,0,0,0,0,0,1,4.9,4.9,1.1%,2023,TE,15
19,Cade Otton,TB,2,2,44,22.0,22,2,0,0,0,0,0,1,4.4,4.4,57.8%,2023,TE,15
20,Jake Ferguson,DAL,6,8,44,7.3,13,0,0,0,0,0,0,1,4.4,4.4,67.5%,2023,TE,15
21,Gerald Everett,FA,5,8,41,8.2,13,0,0,0,0,0,0,1,4.1,4.1,1.4%,2023,TE,15
22,Darren Waller,FA,4,6,40,10.0,29,1,0,0,0,0,0,1,4.0,4.0,1.1%,2023,TE,15
23,Kyle Pitts,ATL,3,4,37,12.3,24,1,0,0,0,0,0,1,3.7,3.7,73.0%,2023,TE,15
24,Noah Gray,KC,2,2,37,18.5,32,1,0,0,0,0,0,1,3.7,3.7,22.5%,2023,TE,15
25,Tyler Higbee,LAR,4,5,36,9.0,14,0,0,0,0,0,0,1,3.6,3.6,9.2%,2023,TE,15
26,Chig Okonkwo,TEN,3,3,36,12.0,22,1,0,0,0,0,0,1,3.6,3.6,34.6%,2023,TE,15
27,Durham Smythe,FA,4,4,32,8.0,11,0,0,0,0,0,0,1,3.2,3.2,0.1%,2023,TE,15
28,Tommy Tremble,CAR,2,2,32,16.0,19,0,0,0,0,0,0,1,3.2,3.2,1.4%,2023,TE,15
29,Dallas Goedert,PHI,4,9,30,7.5,18,0,0,1,1,0,0,1,3.1,3.1,57.2%,2023,TE,15
30,Luke Farrell,JAC,1,1,28,28.0,28,1,0,0,0,0,0,1,2.8,2.8,0.0%,2023,TE,15
31,Evan Engram,JAC,4,6,28,7.0,11,0,0,0,0,0,0,1,2.8,2.8,57.4%,2023,TE,15
32,Travis Kelce,KC,5,7,28,5.6,11,0,0,0,0,0,0,1,2.8,2.8,94.1%,2023,TE,15
33,Geoff Swaim,CLE,1,1,26,26.0,26,1,0,0,0,0,0,1,2.6,2.6,0.0%,2023,TE,15
34,Adam Trautman,DEN,1,3,24,24.0,24,1,0,0,0,0,0,1,2.4,2.4,1.1%,2023,TE,15
35,Mitchell Wilcox,FA,2,2,20,10.0,10,0,0,0,0,0,0,1,2.0,2.0,0.0%,2023,TE,15
36,Irv Smith Jr.,HOU,2,3,18,9.0,14,0,0,0,0,0,0,1,1.8,1.8,0.0%,2023,TE,15
37,Tyler Conklin,NYJ,4,7,18,4.5,10,0,0,0,0,0,0,1,1.8,1.8,19.2%,2023,TE,15
38,Lucas Krull,DEN,1,3,18,18.0,18,0,0,0,0,0,0,1,1.8,1.8,1.0%,2023,TE,15
39,Noah Fant,SEA,3,5,16,5.3,6,0,0,0,0,0,0,1,1.6,1.6,21.1%,2023,TE,15
40,Pat Freiermuth,PIT,3,4,16,5.3,6,0,0,0,0,0,0,1,1.6,1.6,63.9%,2023,TE,15
41,Jeremy Ruckert,NYJ,2,2,16,8.0,9,0,0,0,0,0,0,1,1.6,1.6,0.6%,2023,TE,15
42,Charlie Kolar,BAL,1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.1%,2023,TE,15
43,Stone Smartt,LAC,3,3,15,5.0,6,0,0,0,0,0,0,1,1.5,1.5,2.6%,2023,TE,15
44,Stephen Sullivan,CAR,1,1,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.0%,2023,TE,15
45,Brevin Jordan,HOU,1,1,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.7%,2023,TE,15
46,Davis Allen,LAR,1,1,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,1.4%,2023,TE,15
47,Josh Oliver,MIN,2,2,14,7.0,12,0,0,0,0,0,0,1,1.4,1.4,1.4%,2023,TE,15
48,Foster Moreau,NO,3,5,13,4.3,8,0,0,0,0,0,0,1,1.3,1.3,2.4%,2023,TE,15
49,Daniel Bellinger,NYG,2,2,13,6.5,8,0,0,0,0,0,0,1,1.3,1.3,1.5%,2023,TE,15
50,Tucker Fisk,LAC,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,1.0%,2023,TE,15
51,Will Dissly,LAC,2,2,9,4.5,5,0,0,0,0,0,0,1,0.9,0.9,22.8%,2023,TE,15
52,Jordan Akins,CLE,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,1.2%,2023,TE,15
53,Logan Thomas,FA,1,3,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%,2023,TE,15
54,Mike Gesicki,CIN,1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,29.2%,2023,TE,15
55,Colby Parkinson,LAR,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,9.6%,2023,TE,15
56,Kylen Granson,IND,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,1.2%,2023,TE,15
57,Taysom Hill,NO,1,1,4,4.0,4,0,0,1,1,0,0,1,0.5,0.5,27.7%,2023,TE,15
58,Peyton Hendershot,KC,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.1%,2023,TE,15
59,Pharaoh Brown,SEA,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,0.1%,2023,TE,15
60,Johnny Mundt,MIN,1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.6%,2023,TE,15
61,Quintin Morris,BUF,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2023,TE,15
62,Kenny Yeboah,NYJ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,TE,15
63,Brycen Hopkins,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,TE,15
64,Josiah Deguara,JAC,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,TE,15
65,Harrison Bryant,LV,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,TE,15
66,Jesper Horsted,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,TE,15
67,Drew Sample,CIN,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.9%,2023,TE,15
68,Trevon Wesco,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,TE,15
69,Dawson Knox,BUF,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,11.4%,2023,TE,15
70,Charlie Woerner,ATL,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2023,TE,15
