Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Justin Jefferson,MIN,128,184,"1,809",14.1,64,28,8,4,24,1,0,17,240.6,14.2,98.3%,2022,WR,Full
2,Davante Adams,FA,100,180,"1,516",15.2,60,24,14,3,-1,0,0,17,235.5,13.9,91.0%,2022,WR,Full
3,Tyreek Hill,MIA,119,170,"1,710",14.4,64,25,7,7,32,1,0,17,222.2,13.1,92.8%,2022,WR,Full
4,A.J. Brown,PHI,88,145,"1,496",17.0,78,23,11,0,0,0,2,17,211.6,12.4,96.7%,2022,WR,Full
5,Stefon Diggs,HOU,110,156,"1,455",13.2,53,17,11,1,-3,0,0,17,211.2,12.4,46.3%,2022,WR,Full
6,CeeDee Lamb,DAL,107,156,"1,359",12.7,39,24,9,10,47,0,0,17,194.6,11.4,87.2%,2022,WR,Full
7,Jaylen Waddle,MIA,75,117,"1,356",18.1,84,21,8,3,26,0,1,17,184.2,10.8,79.3%,2022,WR,Full
8,Amari Cooper,BUF,78,132,"1,160",14.9,55,18,9,0,0,0,0,17,169.0,9.9,75.3%,2022,WR,Full
9,Amon-Ra St. Brown,DET,106,146,"1,161",11.0,49,11,6,9,95,0,0,16,161.6,10.1,97.2%,2022,WR,Full
10,DeVonta Smith,PHI,95,136,"1,196",12.6,45,18,7,0,0,0,1,17,159.6,9.4,89.2%,2022,WR,Full
11,Christian Kirk,JAC,84,133,"1,108",13.2,49,18,8,5,11,0,1,17,157.9,9.3,34.9%,2022,WR,Full
12,Ja'Marr Chase,CIN,87,134,"1,046",12.0,60,13,9,5,8,0,2,13,155.4,12.0,94.0%,2022,WR,Full
13,Tyler Lockett,FA,84,117,"1,033",12.3,40,14,9,0,0,0,2,16,153.3,9.6,44.2%,2022,WR,Full
14,Terry McLaurin,WAS,77,120,"1,191",15.5,52,16,5,7,29,0,0,17,152.0,8.9,91.3%,2022,WR,Full
15,Brandon Aiyuk,SF,78,114,"1,015",13.0,54,17,8,2,23,0,1,17,149.8,8.8,43.5%,2022,WR,Full
16,Mike Evans,TB,77,127,"1,124",14.6,63,19,6,0,0,0,0,15,148.4,9.9,94.8%,2022,WR,Full
17,Tee Higgins,CIN,75,110,"1,042",13.9,59,14,7,0,0,0,0,15,148.2,9.9,87.7%,2022,WR,Full
18,Jerry Jeudy,CLE,67,100,972,14.5,67,14,6,4,40,0,0,15,137.2,9.1,72.7%,2022,WR,Full
19,DK Metcalf,SEA,90,141,"1,048",11.6,54,11,6,0,0,0,2,17,136.8,8.0,88.3%,2022,WR,Full
20,DJ Moore,CHI,63,118,888,14.1,62,17,7,10,53,0,0,17,136.1,8.0,86.7%,2022,WR,Full
21,Garrett Wilson,NYJ,83,147,"1,103",13.3,60,13,4,4,4,0,1,17,132.7,7.8,91.1%,2022,WR,Full
22,Cooper Kupp,LAR,75,98,812,10.8,75,11,6,9,52,1,1,9,126.4,14.0,90.9%,2022,WR,Full
23,Chris Olave,NO,72,119,"1,042",14.5,53,13,4,0,0,0,2,15,126.2,8.4,68.4%,2022,WR,Full
24,Gabe Davis,JAC,48,93,836,17.4,98,11,7,0,0,0,1,15,123.6,8.2,18.0%,2022,WR,Full
25,Christian Watson,GB,41,65,611,14.9,63,8,7,7,80,2,0,14,123.1,8.8,51.0%,2022,WR,Full
26,Chris Godwin,TB,104,142,"1,023",9.8,44,10,3,3,5,0,2,15,118.8,7.9,45.3%,2022,WR,Full
27,Michael Pittman Jr.,IND,99,141,925,9.3,28,8,4,3,30,0,1,16,117.5,7.3,70.7%,2022,WR,Full
28,Tyler Boyd,TEN,59,83,776,13.2,60,10,6,0,0,0,0,17,116.5,6.9,4.6%,2022,WR,Full
29,Zay Jones,ARI,82,121,823,10.0,59,7,5,4,18,0,0,16,116.1,7.3,3.6%,2022,WR,Full
30,Allen Lazard,NYJ,60,100,788,13.1,47,13,6,2,0,0,0,15,114.8,7.7,6.7%,2022,WR,Full
31,George Pickens,PIT,52,84,801,15.4,42,17,4,3,24,1,0,17,114.5,6.7,88.7%,2022,WR,Full
32,Mike Williams,PIT,63,93,895,14.2,55,11,4,0,0,0,0,13,113.5,8.7,18.1%,2022,WR,Full
33,Jakobi Meyers,LV,67,96,804,12.0,48,14,6,2,-11,0,2,14,113.3,8.1,72.7%,2022,WR,Full
34,Deebo Samuel Sr.,WAS,56,94,632,11.3,57,7,2,42,232,3,2,13,112.4,8.6,84.5%,2022,WR,Full
35,Curtis Samuel,BUF,64,92,656,10.3,49,10,4,38,187,1,1,17,112.3,6.6,17.8%,2022,WR,Full
36,Adam Thielen,CAR,70,107,716,10.2,36,7,6,1,4,0,0,17,110.0,6.5,61.9%,2022,WR,Full
37,JuJu Smith-Schuster,KC,78,101,933,12.0,53,9,3,0,0,0,2,16,107.3,6.7,3.9%,2022,WR,Full
