Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Deshaun Watson,CLE,28,37,75.7,335,9.1,4,0,2,4,26,0,0,1,32.0,32.0,14.6%,2020,QB,6
2,Matt Ryan,FA,30,40,75.0,371,9.3,4,0,2,4,8,0,0,1,31.6,31.6,0.1%,2020,QB,6
3,Ryan Tannehill,FA,30,41,73.2,366,8.9,4,1,2,0,0,0,1,1,29.6,29.6,1.3%,2020,QB,6
4,Carson Wentz,KC,21,40,52.5,213,5.3,2,0,6,5,49,1,1,1,29.4,29.4,1.1%,2020,QB,6
5,Kyler Murray,ARI,9,24,37.5,188,7.8,2,0,1,10,74,1,0,1,28.9,28.9,84.0%,2020,QB,6
6,Lamar Jackson,BAL,16,27,59.3,186,6.9,1,0,3,9,108,1,0,1,28.2,28.2,97.0%,2020,QB,6
7,Kirk Cousins,ATL,24,36,66.7,343,9.5,3,3,1,0,0,0,0,1,26.7,26.7,43.6%,2020,QB,6
8,Philip Rivers,FA,29,44,65.9,371,8.4,3,1,1,1,-1,0,0,1,25.7,25.7,20.6%,2020,QB,6
9,Jimmy Garoppolo,LAR,23,33,69.7,268,8.1,3,0,0,4,8,0,0,1,23.5,23.5,2.8%,2020,QB,6
10,Patrick Mahomes II,KC,21,26,80.8,225,8.7,2,0,1,10,36,0,0,1,20.6,20.6,92.9%,2020,QB,6
11,Cam Newton,FA,17,25,68.0,157,6.3,0,2,4,10,76,1,0,1,19.5,19.5,7.0%,2020,QB,6
12,Gardner Minshew II,FA,25,44,56.8,243,5.5,1,1,1,3,14,1,1,1,18.1,18.1,6.2%,2020,QB,6
13,Ryan Fitzpatrick,FA,18,27,66.7,191,7.1,3,2,2,1,4,0,0,1,18.0,18.0,0.0%,2020,QB,6
14,Joe Burrow,CIN,25,39,64.1,313,8.0,0,1,2,3,2,1,0,1,17.7,17.7,92.1%,2020,QB,6
15,Nick Foles,FA,23,39,59.0,198,5.1,1,1,0,5,4,1,0,1,17.3,17.3,1.3%,2020,QB,6
16,Kyle Allen,PIT,31,42,73.8,280,6.7,2,1,3,2,8,0,1,1,17.0,17.0,1.3%,2020,QB,6
17,Josh Allen,BUF,14,27,51.9,122,4.5,2,1,0,8,42,0,0,1,16.1,16.1,97.2%,2020,QB,6
18,Jared Goff,DET,19,38,50.0,198,5.2,2,1,0,1,10,0,0,1,15.9,15.9,83.6%,2020,QB,6
19,Daniel Jones,MIN,12,19,63.2,112,5.9,1,1,1,7,74,0,0,1,14.9,14.9,13.0%,2020,QB,6
20,Tom Brady,FA,17,27,63.0,166,6.1,2,0,0,0,0,0,0,1,14.6,14.6,5.3%,2020,QB,6
21,Matthew Stafford,LAR,19,31,61.3,223,7.2,1,1,0,5,14,0,0,1,13.3,13.3,54.5%,2020,QB,6
22,Andy Dalton,CAR,34,54,63.0,266,4.9,1,2,3,2,4,0,0,1,13.0,13.0,2.5%,2020,QB,6
23,Teddy Bridgewater,DET,16,29,55.2,216,7.4,0,2,4,8,48,0,0,1,11.4,11.4,0.8%,2020,QB,6
24,Ben Roethlisberger,FA,14,22,63.6,162,7.4,1,0,2,3,5,0,0,1,11.0,11.0,9.5%,2020,QB,6
25,Baker Mayfield,TB,10,18,55.6,119,6.6,1,2,4,1,5,0,0,1,7.3,7.3,86.5%,2020,QB,6
26,Joe Flacco,IND,21,44,47.7,186,4.2,0,1,3,1,0,0,0,1,6.4,6.4,8.4%,2020,QB,6
27,Aaron Rodgers,NYJ,16,35,45.7,160,4.6,0,2,4,2,14,0,0,1,5.8,5.8,47.5%,2020,QB,6
28,Drew Lock,NYG,10,24,41.7,189,7.9,0,2,2,5,-1,0,0,1,5.5,5.5,4.4%,2020,QB,6
29,Jalen Hurts,PHI,0,0,0,0,0,0,0,0,2,23,0,0,1,2.6,2.6,91.6%,2020,QB,6
30,Case Keenum,HOU,5,10,50.0,46,4.6,0,0,0,0,0,0,0,1,1.8,1.8,0.0%,2020,QB,6
31,Tua Tagovailoa,MIA,2,2,100.0,9,4.5,0,0,0,0,0,0,0,1,0.4,0.4,62.5%,2020,QB,6
32,Blaine Gabbert,FA,0,1,0.0,0,0.0,0,0,0,3,2,0,0,1,0.2,0.2,1.3%,2020,QB,6
33,Ben DiNucci,NO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,QB,6
34,Tim Boyle,NYG,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0%,2020,QB,6
35,John Lovett,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,QB,6
36,Mason Rudolph,TEN,1,1,100.0,6,6.0,0,0,0,3,-3,0,0,1,-0.1,-0.1,3.0%,2020,QB,6
