Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Jalen Hurts,PHI,29,39,74.4,380,9.7,3,0,2,5,12,1,0,1,34.4,34.4,91.6%,2022,QB,13
2,Joe Burrow,CIN,25,31,80.6,286,9.2,2,0,1,11,46,1,0,1,30.0,30.0,92.1%,2022,QB,13
3,Geno Smith,SEA,28,39,71.8,367,9.4,3,1,4,2,3,0,1,1,24.0,24.0,49.4%,2022,QB,13
4,Jared Goff,DET,31,41,75.6,340,8.3,2,0,2,0,0,0,0,1,21.6,21.6,83.6%,2022,QB,13
5,Justin Fields,PIT,20,25,80.0,254,10.2,0,2,0,6,71,1,0,1,21.3,21.3,20.2%,2022,QB,13
6,Patrick Mahomes II,KC,16,27,59.3,223,8.3,1,0,2,2,9,1,0,1,19.8,19.8,92.9%,2022,QB,13
7,Mike White,BUF,31,57,54.4,369,6.5,0,2,1,3,7,1,0,1,19.5,19.5,1.0%,2022,QB,13
8,Justin Herbert,LAC,28,47,59.6,335,7.1,1,0,5,5,7,0,0,1,18.1,18.1,77.4%,2022,QB,13
9,Tom Brady,FA,36,54,66.7,281,5.2,2,1,1,1,-1,0,0,1,18.1,18.1,5.3%,2022,QB,13
10,Dak Prescott,DAL,20,30,66.7,170,5.7,3,1,1,0,0,0,0,1,17.8,17.8,37.8%,2022,QB,13
11,Taylor Heinicke,LAC,27,41,65.9,275,6.7,2,0,5,2,6,0,1,1,17.6,17.6,1.1%,2022,QB,13
12,Daniel Jones,MIN,25,31,80.6,200,6.5,1,0,4,12,71,0,1,1,17.1,17.1,13.0%,2022,QB,13
13,Derek Carr,NO,16,30,53.3,250,8.3,2,1,0,0,0,0,0,1,17.0,17.0,20.5%,2022,QB,13
14,Josh Allen,BUF,22,33,66.7,223,6.8,2,0,2,8,20,0,1,1,16.9,16.9,97.2%,2022,QB,13
15,Tyler Huntley,MIA,27,32,84.4,187,5.8,0,1,2,10,41,1,0,1,16.6,16.6,1.8%,2022,QB,13
16,Trevor Lawrence,JAC,17,31,54.8,179,5.8,1,0,2,4,32,0,0,1,16.4,16.4,30.9%,2022,QB,13
17,Tua Tagovailoa,MIA,18,33,54.5,295,8.9,2,2,3,0,0,0,1,1,15.8,15.8,62.5%,2022,QB,13
18,Brock Purdy,SF,25,37,67.6,210,5.7,2,1,3,4,-1,0,0,1,15.3,15.3,79.2%,2022,QB,13
19,Aaron Rodgers,NYJ,18,31,58.1,182,5.9,1,0,0,3,4,0,0,1,13.7,13.7,47.5%,2022,QB,13
20,Kenny Pickett,PHI,16,28,57.1,197,7.0,1,0,0,7,14,0,0,1,13.3,13.3,4.2%,2022,QB,13
21,Andy Dalton,CAR,20,28,71.4,229,8.2,1,0,2,1,1,0,0,1,13.3,13.3,2.5%,2022,QB,13
22,Ryan Tannehill,FA,14,22,63.6,141,6.4,1,0,6,3,34,0,0,1,13.0,13.0,1.3%,2022,QB,13
23,Mac Jones,JAC,22,36,61.1,195,5.4,1,0,1,3,7,0,0,1,12.5,12.5,5.6%,2022,QB,13
24,Matt Ryan,FA,21,37,56.8,233,6.3,2,3,3,3,-2,0,1,1,12.1,12.1,0.1%,2022,QB,13
25,Kirk Cousins,ATL,21,35,60.0,173,4.9,1,0,2,3,9,0,0,1,11.8,11.8,43.6%,2022,QB,13
26,Marcus Mariota,WAS,13,24,54.2,167,7.0,1,1,1,3,17,0,0,1,11.4,11.4,2.7%,2022,QB,13
27,Russell Wilson,PIT,17,22,77.3,189,8.6,0,0,2,2,21,0,0,1,9.7,9.7,48.0%,2022,QB,13
28,Kyle Allen,PIT,20,39,51.3,201,5.2,1,2,0,2,1,0,1,1,8.1,8.1,1.3%,2022,QB,13
29,John Wolford,JAC,14,26,53.8,178,6.8,0,2,4,5,29,0,0,1,8.0,8.0,0.0%,2022,QB,13
30,Deshaun Watson,CLE,12,22,54.5,131,6.0,0,1,1,7,21,0,0,1,6.3,6.3,14.6%,2022,QB,13
31,Jimmy Garoppolo,LAR,2,4,50.0,56,14.0,0,0,1,0,0,0,0,1,2.2,2.2,2.8%,2022,QB,13
32,Malik Willis,GB,2,4,50.0,16,4.0,0,0,0,1,8,0,0,1,1.4,1.4,2.9%,2022,QB,13
33,Lamar Jackson,BAL,3,4,75.0,11,2.8,0,0,2,1,9,0,0,1,1.3,1.3,97.0%,2022,QB,13
34,Bryce Perkins,FA,0,0,0,0,0,0,0,0,1,5,0,0,1,0.5,0.5,0.0%,2022,QB,13
35,Gardner Minshew II,FA,1,2,50.0,11,5.5,0,0,0,0,0,0,0,1,0.4,0.4,6.2%,2022,QB,13
36,C.J. Beathard,JAC,2,3,66.7,6,2.0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%,2022,QB,13
37,Feleipe Franks,CAR,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,QB,13
38,Taysom Hill,NO,1,1,100.0,21,21.0,0,0,0,3,10,0,0,1,0.0,0.0,27.7%,2022,QB,13
39,Nate Sudfeld,FA,0,0,0,0,0,0,0,0,2,-1,0,0,1,-0.1,-0.1,0.0%,2022,QB,13
40,Skylar Thompson,PIT,0,1,0.0,0,0.0,0,1,0,0,0,0,0,1,-1.0,-1.0,2.0%,2022,QB,13
