Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Travis Kelce,KC,10,13,191,19.1,69,3,2,0,0,0,0,1,31.1,31.1,94.1%,2021,TE,15
2,Mark Andrews,BAL,10,13,136,13.6,43,2,2,0,0,0,0,1,25.6,25.6,89.5%,2021,TE,15
3,Hunter Henry,NE,6,8,77,12.8,25,1,2,0,0,0,0,1,19.7,19.7,53.6%,2021,TE,15
4,Dallas Goedert,PHI,7,9,135,19.3,45,3,0,0,0,0,0,1,13.5,13.5,57.2%,2021,TE,15
5,Dalton Schultz,HOU,8,8,67,8.4,15,0,1,0,0,0,0,1,12.7,12.7,54.4%,2021,TE,15
6,George Kittle,SF,6,6,93,15.5,28,2,0,0,0,0,0,1,9.3,9.3,91.9%,2021,TE,15
7,Jesper Horsted,FA,1,1,19,19.0,19,0,1,0,0,0,0,1,7.9,7.9,0.0%,2021,TE,15
8,Kyle Pitts,ATL,4,7,77,19.3,49,1,0,0,0,0,0,1,7.7,7.7,73.0%,2021,TE,15
9,Zach Ertz,WAS,6,11,74,12.3,20,1,0,0,0,0,0,1,7.4,7.4,57.5%,2021,TE,15
10,Harrison Bryant,LV,2,2,11,5.5,6,0,1,0,0,0,0,1,7.1,7.1,0.0%,2021,TE,15
11,Cole Kmet,CHI,6,9,71,11.8,23,1,0,0,0,0,0,1,7.1,7.1,42.7%,2021,TE,15
12,Foster Moreau,NO,7,9,65,9.3,14,0,0,0,0,0,0,1,6.5,6.5,2.4%,2021,TE,15
13,James O'Shaughnessy,FA,4,4,60,15.0,30,1,0,0,0,0,0,1,6.0,6.0,0.0%,2021,TE,15
14,Gerald Everett,FA,4,4,60,15.0,34,1,0,0,0,0,0,1,6.0,6.0,1.4%,2021,TE,15
15,Albert Okwuegbunam Jr.,IND,3,4,58,19.3,24,2,0,0,0,0,0,1,5.8,5.8,0.0%,2021,TE,15
16,Noah Fant,SEA,5,6,57,11.4,28,1,0,0,0,0,0,1,5.7,5.7,21.1%,2021,TE,15
17,Mike Gesicki,CIN,5,8,43,8.6,20,1,0,0,0,0,0,1,4.3,4.3,29.2%,2021,TE,15
18,Marcedes Lewis,CHI,3,3,40,13.3,23,1,0,0,0,0,0,1,4.0,4.0,0.1%,2021,TE,15
19,Ryan Griffin,FA,2,2,39,19.5,23,1,0,0,0,0,0,1,3.9,3.9,0.0%,2021,TE,15
20,Dawson Knox,BUF,4,5,38,9.5,15,0,0,0,0,0,0,1,3.8,3.8,11.4%,2021,TE,15
21,Pat Freiermuth,PIT,4,4,37,9.3,14,0,0,0,0,0,0,1,3.7,3.7,63.9%,2021,TE,15
22,Tyler Kroft,FA,2,2,35,17.5,24,1,0,0,0,0,0,1,3.5,3.5,0.0%,2021,TE,15
23,Evan Engram,JAC,4,5,33,8.3,15,0,0,0,0,0,0,1,3.3,3.3,57.4%,2021,TE,15
24,Jared Cook,FA,3,7,32,10.7,15,0,0,0,0,0,0,1,3.2,3.2,0.0%,2021,TE,15
25,David Njoku,CLE,3,5,29,9.7,13,0,0,0,0,0,0,1,2.9,2.9,74.6%,2021,TE,15
26,Rob Gronkowski,FA,2,11,29,14.5,19,0,0,0,0,0,0,1,2.9,2.9,2.0%,2021,TE,15
27,John Bates,WAS,1,1,29,29.0,29,1,0,0,0,0,0,1,2.9,2.9,1.1%,2021,TE,15
28,Ricky Seals-Jones,FA,4,7,29,7.3,12,0,0,0,0,0,0,1,2.9,2.9,0.0%,2021,TE,15
29,Jordan Akins,CLE,2,3,24,12.0,18,0,0,0,0,0,0,1,2.4,2.4,1.2%,2021,TE,15
30,Cameron Brate,FA,2,4,22,11.0,16,0,0,0,0,0,0,1,2.2,2.2,2.0%,2021,TE,15
31,Tyler Davis,GB,1,1,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,0.0%,2021,TE,15
32,Jeremy Sprinkle,FA,2,2,21,10.5,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,2021,TE,15
33,Trevon Wesco,FA,1,1,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.0%,2021,TE,15
34,C.J. Uzomah,PHI,3,4,18,6.0,8,0,0,0,0,0,0,1,1.8,1.8,0.0%,2021,TE,15
35,Zach Gentry,FA,1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.0%,2021,TE,15
36,Shane Zylstra,DET,1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,1.1%,2021,TE,15
37,Josiah Deguara,JAC,3,5,16,5.3,9,0,0,0,0,0,0,1,1.6,1.6,0.0%,2021,TE,15
38,Jimmy Graham,FA,1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.1%,2021,TE,15
39,Stephen Anderson,FA,1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.0%,2021,TE,15
40,Chris Manhertz,NYG,1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%,2021,TE,15
41,Kyle Rudolph,FA,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,1.0%,2021,TE,15
42,Brycen Hopkins,FA,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%,2021,TE,15
43,Tommy Tremble,CAR,1,4,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,1.4%,2021,TE,15
44,Jack Stoll,MIA,1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%,2021,TE,15
45,Tyler Conklin,NYJ,1,3,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,19.2%,2021,TE,15
46,Hayden Hurst,LAC,2,2,6,3.0,4,0,0,0,0,0,0,1,0.6,0.6,2.7%,2021,TE,15
47,Geoff Swaim,CLE,1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,2021,TE,15
48,Ian Thomas,CAR,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,2021,TE,15
49,Jonnu Smith,MIA,1,3,3,3.0,3,0,0,1,2,0,0,1,0.5,0.5,77.6%,2021,TE,15
50,Pharaoh Brown,SEA,2,2,5,2.5,3,0,0,0,0,0,0,1,0.5,0.5,0.1%,2021,TE,15
51,Tre' McKitty,CLE,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,0.0%,2021,TE,15
