Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Mike Williams,PIT,7,9,122,17.4,43,3,2,0,0,0,0,1,26.2,26.2,18.1%,2021,WR,3
2,Cooper Kupp,LAR,9,12,96,10.7,22,2,2,0,0,0,0,1,21.6,21.6,90.9%,2021,WR,3
3,Emmanuel Sanders,FA,5,6,94,18.8,41,2,2,0,0,0,0,1,21.4,21.4,0.0%,2021,WR,3
4,Davante Adams,FA,12,18,132,11.0,25,1,1,0,0,0,0,1,19.2,19.2,91.0%,2021,WR,3
5,Ja'Marr Chase,CIN,4,5,65,16.3,34,1,2,0,0,0,0,1,18.5,18.5,94.0%,2021,WR,3
6,DeSean Jackson,FA,3,5,120,40.0,75,2,1,0,0,0,0,1,18.0,18.0,0.6%,2021,WR,3
7,Justin Jefferson,MIN,9,11,118,13.1,28,2,1,0,0,0,0,1,17.8,17.8,98.3%,2021,WR,3
8,DK Metcalf,SEA,6,9,107,17.8,28,2,1,0,0,0,0,1,16.7,16.7,88.3%,2021,WR,3
9,Kendrick Bourne,NE,6,8,96,16.0,31,2,1,0,0,0,0,1,15.6,15.6,4.0%,2021,WR,3
10,Hunter Renfrow,FA,5,6,77,15.4,25,2,1,0,0,0,0,1,13.7,13.7,0.0%,2021,WR,3
11,Chris Godwin,TB,6,7,74,12.3,21,1,0,1,2,1,0,1,13.6,13.6,45.3%,2021,WR,3
12,DJ Moore,CHI,8,12,126,15.8,29,3,0,1,-1,0,0,1,12.5,12.5,86.7%,2021,WR,3
13,Marquez Valdes-Scantling,NO,3,4,59,19.7,47,1,1,0,0,0,0,1,11.9,11.9,17.7%,2021,WR,3
14,Brandin Cooks,DAL,9,11,112,12.4,30,1,0,1,5,0,0,1,11.7,11.7,18.2%,2021,WR,3
15,A.J. Green,FA,5,6,112,22.4,36,2,0,0,0,0,0,1,11.2,11.2,0.9%,2021,WR,3
16,Keenan Allen,CHI,8,12,50,6.3,15,0,1,0,0,0,0,1,11.0,11.0,76.2%,2021,WR,3
17,Adam Thielen,CAR,6,9,50,8.3,21,1,1,0,0,0,0,1,11.0,11.0,61.9%,2021,WR,3
18,DJ Chark Jr.,LAC,3,6,49,16.3,25,1,1,0,0,0,0,1,10.9,10.9,4.2%,2021,WR,3
19,Mike Evans,TB,8,10,106,13.3,20,1,0,0,0,0,0,1,10.6,10.6,94.8%,2021,WR,3
20,Brandon Aiyuk,SF,4,6,37,9.3,16,0,1,1,8,0,0,1,10.5,10.5,43.5%,2021,WR,3
21,Christian Kirk,JAC,7,8,104,14.9,33,2,0,0,0,0,0,1,10.4,10.4,34.9%,2021,WR,3
22,Marquez Callaway,TB,4,5,41,10.3,13,0,1,0,0,0,0,1,10.1,10.1,0.0%,2021,WR,3
23,Tim Patrick,DET,5,5,98,19.6,31,3,0,0,0,0,0,1,9.8,9.8,6.3%,2021,WR,3
24,Cole Beasley,FA,11,13,98,8.9,22,1,0,0,0,0,0,1,9.8,9.8,0.0%,2021,WR,3
25,Chase Claypool,FA,9,15,96,10.7,29,1,0,0,0,0,0,1,9.6,9.6,1.4%,2021,WR,3
26,Tyler Boyd,TEN,4,6,36,9.0,17,0,1,0,0,0,0,1,9.6,9.6,4.6%,2021,WR,3
27,Mecole Hardman Jr.,KC,3,4,33,11.0,15,0,1,1,2,0,0,1,9.5,9.5,0.2%,2021,WR,3
28,Jakobi Meyers,LV,9,14,94,10.4,27,1,0,0,0,0,0,1,9.4,9.4,72.7%,2021,WR,3
29,Nick Westbrook-Ikhine,TEN,4,4,53,13.3,18,0,1,0,0,0,1,1,9.3,9.3,23.7%,2021,WR,3
30,Olamide Zaccheaus,WAS,3,6,32,10.7,14,0,1,0,0,0,0,1,9.2,9.2,8.1%,2021,WR,3
31,Bryan Edwards,FA,3,5,89,29.7,34,3,0,0,0,0,0,1,8.9,8.9,0.0%,2021,WR,3
32,Odell Beckham Jr.,FA,5,9,77,15.4,26,1,0,1,10,0,0,1,8.7,8.7,2.6%,2021,WR,3
33,Henry Ruggs III,FA,4,7,78,19.5,23,2,0,1,7,0,0,1,8.5,8.5,8.4%,2021,WR,3
34,Devin Duvernay,JAC,2,3,22,11.0,19,0,1,0,0,0,0,1,8.2,8.2,0.2%,2021,WR,3
35,Anthony Miller,BAL,4,6,20,5.0,10,0,1,0,0,0,0,1,8.0,8.0,0.0%,2021,WR,3
36,Cedrick Wilson Jr.,NO,2,4,17,8.5,15,0,1,0,0,0,0,1,7.7,7.7,0.7%,2021,WR,3
37,Greg Ward,FA,1,1,15,15.0,15,0,1,0,0,0,0,1,7.5,7.5,0.0%,2021,WR,3
38,Michael Pittman Jr.,IND,6,12,68,11.3,18,0,0,1,5,0,0,1,7.3,7.3,70.7%,2021,WR,3
39,Sammy Watkins,FA,4,7,68,17.0,36,1,0,0,0,0,0,1,6.8,6.8,0.0%,2021,WR,3
40,Kalif Raymond,DET,6,10,68,11.3,22,1,0,0,0,0,0,1,6.8,6.8,2.6%,2021,WR,3
41,Chester Rogers,FA,1,2,6,6.0,6,0,1,0,0,0,0,1,6.6,6.6,0.0%,2021,WR,3
42,CeeDee Lamb,DAL,3,3,66,22.0,44,1,0,1,-1,0,0,1,6.5,6.5,87.2%,2021,WR,3
43,Kenny Golladay,FA,4,5,64,16.0,19,0,0,0,0,0,0,1,6.4,6.4,4.0%,2021,WR,3
44,Tyler Johnson,LAR,3,6,63,21.0,31,2,0,0,0,0,0,1,6.3,6.3,0.9%,2021,WR,3
45,Stefon Diggs,HOU,6,10,62,10.3,13,0,0,0,0,0,0,1,6.2,6.2,46.3%,2021,WR,3
46,Marvin Jones Jr.,FA,6,8,62,10.3,14,0,0,0,0,0,0,1,6.2,6.2,0.0%,2021,WR,3
47,Terry McLaurin,WAS,4,7,62,15.5,37,1,0,0,0,0,0,1,6.2,6.2,91.3%,2021,WR,3
48,Calvin Ridley,TEN,8,11,61,7.6,20,1,0,0,0,0,0,1,6.1,6.1,77.8%,2021,WR,3
49,Jaylen Waddle,MIA,12,13,58,4.8,9,0,0,0,0,0,0,1,5.8,5.8,79.3%,2021,WR,3
50,Jalen Reagor,LAC,5,8,53,10.6,24,1,0,0,0,0,0,1,5.3,5.3,0.0%,2021,WR,3
51,Marquise Brown,KC,3,7,53,17.7,37,1,0,0,0,0,0,1,5.3,5.3,40.3%,2021,WR,3
52,Deebo Samuel Sr.,WAS,5,10,52,10.4,19,0,0,2,0,0,0,1,5.2,5.2,84.5%,2021,WR,3
53,Collin Johnson,CHI,5,7,51,10.2,16,0,0,0,0,0,0,1,5.1,5.1,0.0%,2021,WR,3
54,Laviska Shenault Jr.,FA,4,4,48,12.0,20,1,0,0,0,0,0,1,4.8,4.8,0.1%,2021,WR,3
55,Terrace Marshall Jr.,LV,4,5,48,12.0,23,1,0,0,0,0,0,1,4.8,4.8,0.0%,2021,WR,3
56,Julio Jones,FA,3,4,47,15.7,25,1,0,0,0,0,0,1,4.7,4.7,0.8%,2021,WR,3
57,Tyreek Hill,MIA,5,7,56,11.2,18,0,0,1,11,0,1,1,4.7,4.7,92.8%,2021,WR,3
58,Quez Watkins,ARI,2,2,46,23.0,41,1,0,0,0,0,0,1,4.6,4.6,0.0%,2021,WR,3
59,DeVante Parker,FA,4,7,42,10.5,15,0,0,0,0,0,0,1,4.2,4.2,0.0%,2021,WR,3
60,Van Jefferson,PIT,4,6,42,10.5,21,1,0,0,0,0,0,1,4.2,4.2,1.5%,2021,WR,3
61,Allen Lazard,NYJ,1,1,42,42.0,42,1,0,0,0,0,0,1,4.2,4.2,6.7%,2021,WR,3
62,Corey Davis,FA,5,10,41,8.2,13,0,0,0,0,0,0,1,4.1,4.1,0.0%,2021,WR,3
63,William Fuller V,FA,3,6,20,6.7,10,0,0,0,0,0,0,1,4.0,4.0,0.0%,2021,WR,3
64,Donovan Peoples-Jones,FA,2,2,39,19.5,21,1,0,0,0,0,0,1,3.9,3.9,0.0%,2021,WR,3
65,Robert Woods,HOU,3,6,33,11.0,20,1,0,1,5,0,0,1,3.8,3.8,0.6%,2021,WR,3
66,C.J. Board,FA,1,2,38,38.0,38,1,0,0,0,0,0,1,3.8,3.8,0.0%,2021,WR,3
67,Courtland Sutton,DEN,5,5,37,7.4,14,0,0,0,0,0,0,1,3.7,3.7,84.6%,2021,WR,3
68,Mohamed Sanu Sr.,FA,3,6,36,12.0,16,0,0,0,0,0,0,1,3.6,3.6,0.0%,2021,WR,3
69,Ray-Ray McCloud III,ATL,3,4,33,11.0,24,1,0,0,0,0,0,1,3.3,3.3,16.2%,2021,WR,3
70,Tyler Lockett,FA,4,4,31,7.8,15,0,0,0,0,0,0,1,3.1,3.1,44.2%,2021,WR,3
71,Deonte Harty,BAL,3,3,31,10.3,12,0,0,0,0,0,0,1,3.1,3.1,0.1%,2021,WR,3
72,Zach Pascal,ARI,2,7,31,15.5,27,1,0,0,0,0,0,1,3.1,3.1,0.0%,2021,WR,3
73,Keelan Cole Sr.,FA,2,2,30,15.0,23,1,0,0,0,0,0,1,3.0,3.0,0.0%,2021,WR,3
74,James Proche II,CLE,1,1,29,29.0,29,1,0,0,0,0,0,1,2.9,2.9,0.0%,2021,WR,3
75,KJ Hamler,BUF,1,3,28,28.0,28,1,0,0,0,0,0,1,2.8,2.8,0.0%,2021,WR,3
76,DeVonta Smith,PHI,3,6,28,9.3,19,0,0,0,0,0,0,1,2.8,2.8,89.2%,2021,WR,3
77,Allen Robinson II,DET,2,6,27,13.5,18,0,0,0,0,0,0,1,2.7,2.7,0.8%,2021,WR,3
78,K.J. Osborn,WAS,2,2,26,13.0,15,0,0,0,0,0,0,1,2.6,2.6,1.3%,2021,WR,3
79,Braxton Berrios,MIA,2,3,26,13.0,22,1,0,0,0,0,0,1,2.6,2.6,0.8%,2021,WR,3
80,Amari Cooper,BUF,3,4,26,8.7,13,0,0,0,0,0,0,1,2.6,2.6,75.3%,2021,WR,3
81,JuJu Smith-Schuster,KC,3,4,25,8.3,16,0,0,0,0,0,0,1,2.5,2.5,3.9%,2021,WR,3
82,Alex Erickson,FA,1,1,25,25.0,25,1,0,0,0,0,0,1,2.5,2.5,0.0%,2021,WR,3
83,Rashard Higgins,FA,2,2,24,12.0,17,0,0,0,0,0,0,1,2.4,2.4,0.0%,2021,WR,3
84,Gabe Davis,JAC,1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,18.0%,2021,WR,3
85,Elijah Moore,CLE,3,6,22,7.3,14,0,0,0,0,0,0,1,2.2,2.2,17.4%,2021,WR,3
86,Cam Sims,FA,1,2,15,15.0,15,0,0,1,7,0,0,1,2.2,2.2,0.0%,2021,WR,3
87,Freddie Swain,FA,1,2,10,10.0,10,0,0,1,11,0,0,1,2.1,2.1,0.0%,2021,WR,3
88,DeAndre Hopkins,KC,3,6,21,7.0,8,0,0,0,0,0,0,1,2.1,2.1,72.8%,2021,WR,3
89,James Washington,FA,3,5,20,6.7,8,0,0,0,0,0,0,1,2.0,2.0,0.0%,2021,WR,3
90,Mike Thomas,FA,1,1,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.0%,2021,WR,3
91,Cody White,SEA,2,2,17,8.5,11,0,0,0,0,0,0,1,1.7,1.7,0.0%,2021,WR,3
92,Kenny Stills,FA,1,3,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.0%,2021,WR,3
93,Demarcus Robinson,LAR,2,2,17,8.5,11,0,0,0,0,0,0,1,1.7,1.7,17.8%,2021,WR,3
94,Nelson Agholor,BAL,2,8,17,8.5,13,0,0,0,0,0,0,1,1.7,1.7,1.2%,2021,WR,3
95,Sterling Shepard,TB,2,3,16,8.0,12,0,0,0,0,0,0,1,1.6,1.6,5.1%,2021,WR,3
96,Kadarius Toney,FA,2,3,16,8.0,9,0,0,0,0,0,0,1,1.6,1.6,0.7%,2021,WR,3
97,Zay Jones,ARI,1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,3.6%,2021,WR,3
98,Auden Tate,FA,1,1,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.0%,2021,WR,3
99,Jeff Smith,FA,1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%,2021,WR,3
100,Cameron Batson,FA,1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%,2021,WR,3
101,Byron Pringle,FA,2,6,12,6.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2021,WR,3
102,Scotty Miller,FA,2,3,11,5.5,8,0,0,0,0,0,0,1,1.1,1.1,0.1%,2021,WR,3
103,Parris Campbell,PHI,2,4,9,4.5,5,0,0,0,0,0,0,1,0.9,0.9,0.0%,2021,WR,3
104,KhaDarel Hodge,ATL,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.1%,2021,WR,3
