Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Jordan Addison,MIN,8,9,162,20.3,69,2,1,0,0,0,0,1,22.2,22.2,85.1%,2024,WR,12
2,Courtland Sutton,DEN,8,10,97,12.1,19,0,2,0,0,0,0,1,21.7,21.7,84.6%,2024,WR,12
3,Jaylen Waddle,MIA,8,9,144,18.0,29,3,1,0,0,0,0,1,20.4,20.4,79.3%,2024,WR,12
4,DJ Moore,CHI,7,7,106,15.1,37,2,1,1,13,0,0,1,19.9,19.9,86.7%,2024,WR,12
5,A.J. Brown,PHI,6,7,109,18.2,28,2,1,0,0,0,0,1,16.9,16.9,96.7%,2024,WR,12
6,Terry McLaurin,WAS,5,6,102,20.4,86,1,1,0,0,0,0,1,16.2,16.2,91.3%,2024,WR,12
7,Nico Collins,HOU,5,9,92,18.4,56,1,1,0,0,0,0,1,15.2,15.2,95.3%,2024,WR,12
8,Keenan Allen,CHI,9,15,86,9.6,40,2,1,0,0,0,0,1,14.6,14.6,76.2%,2024,WR,12
9,David Moore,CAR,6,10,81,13.5,21,1,1,0,0,0,0,1,14.1,14.1,1.4%,2024,WR,12
10,Calvin Austin III,PIT,3,3,78,26.0,46,2,1,0,0,0,0,1,13.8,13.8,10.7%,2024,WR,12
11,Jaxon Smith-Njigba,SEA,6,7,77,12.8,46,1,1,0,0,0,0,1,13.7,13.7,85.4%,2024,WR,12
12,Jakobi Meyers,LV,10,15,121,12.1,25,1,0,0,0,0,0,1,12.1,12.1,72.7%,2024,WR,12
13,Cooper Kupp,LAR,8,11,60,7.5,27,1,1,0,0,0,0,1,12.0,12.0,90.9%,2024,WR,12
14,Puka Nacua,LAR,9,13,117,13.0,29,1,0,0,0,0,0,1,11.7,11.7,95.5%,2024,WR,12
15,Nick Westbrook-Ikhine,TEN,2,5,48,24.0,38,1,1,0,0,0,0,1,10.8,10.8,23.7%,2024,WR,12
16,Rashod Bateman,BAL,2,3,43,21.5,40,1,1,0,0,0,0,1,10.3,10.3,35.3%,2024,WR,12
17,Michael Pittman Jr.,IND,6,7,96,16.0,30,3,0,0,0,0,0,1,9.6,9.6,70.7%,2024,WR,12
18,DeAndre Hopkins,KC,5,6,35,7.0,12,0,1,0,0,0,0,1,9.5,9.5,72.8%,2024,WR,12
19,Calvin Ridley,TEN,5,6,93,18.6,63,1,0,0,0,0,0,1,9.3,9.3,77.8%,2024,WR,12
20,Jerry Jeudy,CLE,6,6,85,14.2,26,1,0,0,0,0,0,1,8.5,8.5,72.7%,2024,WR,12
21,Ladd McConkey,LAC,6,6,83,13.8,19,0,0,0,0,0,0,1,8.3,8.3,85.2%,2024,WR,12
22,Tre Tucker,LV,7,8,82,11.7,28,1,0,0,0,0,0,1,8.2,8.2,12.3%,2024,WR,12
23,Jalen Tolbert,DAL,2,4,22,11.0,16,0,1,0,0,0,0,1,8.2,8.2,15.7%,2024,WR,12
24,Devaughn Vele,DEN,6,9,80,13.3,24,2,0,0,0,0,0,1,8.0,8.0,13.4%,2024,WR,12
25,Demarcus Robinson,LAR,2,3,15,7.5,13,0,1,0,0,0,0,1,7.5,7.5,17.8%,2024,WR,12
26,Malik Heath,GB,2,2,15,7.5,12,0,1,0,0,0,0,1,7.5,7.5,0.6%,2024,WR,12
27,Tank Dell,HOU,3,5,72,24.0,39,1,0,0,0,0,0,1,7.2,7.2,66.8%,2024,WR,12
28,Noah Brown,WAS,6,10,71,11.8,19,0,0,0,0,0,0,1,7.1,7.1,5.8%,2024,WR,12
29,KaVontae Turpin,DAL,1,1,8,8.0,8,0,0,0,0,0,0,1,6.8,6.8,6.7%,2024,WR,12
30,CeeDee Lamb,DAL,10,12,67,6.7,13,0,0,1,1,0,0,1,6.8,6.8,87.2%,2024,WR,12
31,Mike Evans,TB,5,6,68,13.6,26,1,0,0,0,0,0,1,6.8,6.8,94.8%,2024,WR,12
32,Jameson Williams,DET,5,7,64,12.8,21,1,0,1,4,0,0,1,6.8,6.8,80.0%,2024,WR,12
33,Jalen Nailor,MIN,1,2,5,5.0,5,0,1,0,0,0,0,1,6.5,6.5,6.6%,2024,WR,12
34,Malik Nabers,NYG,6,9,64,10.7,21,1,0,0,0,0,0,1,6.4,6.4,90.2%,2024,WR,12
35,DeMario Douglas,NE,5,7,62,12.4,27,2,0,1,1,0,0,1,6.3,6.3,28.9%,2024,WR,12
36,Zay Flowers,BAL,5,8,62,12.4,25,2,0,0,0,0,0,1,6.2,6.2,90.3%,2024,WR,12
37,Amon-Ra St. Brown,DET,6,7,62,10.3,15,0,0,0,0,0,0,1,6.2,6.2,97.2%,2024,WR,12
38,DK Metcalf,SEA,4,5,59,14.8,29,1,0,0,0,0,0,1,5.9,5.9,88.3%,2024,WR,12
39,Adam Thielen,CAR,3,4,57,19.0,36,1,0,0,0,0,0,1,5.7,5.7,61.9%,2024,WR,12
40,Xavier Legette,CAR,4,6,56,14.0,34,1,0,0,0,0,0,1,5.6,5.6,34.2%,2024,WR,12
41,Tyler Boyd,TEN,6,6,55,9.2,19,0,0,0,0,0,0,1,5.5,5.5,4.6%,2024,WR,12
42,Tim Patrick,DET,4,4,55,13.8,27,1,0,0,0,0,0,1,5.5,5.5,6.3%,2024,WR,12
43,Romeo Doubs,GB,3,6,54,18.0,29,1,0,0,0,0,0,1,5.4,5.4,47.5%,2024,WR,12
44,Michael Wilson,ARI,2,4,54,27.0,30,2,0,0,0,0,0,1,5.4,5.4,16.9%,2024,WR,12
45,Xavier Worthy,KC,4,6,46,11.5,19,0,0,1,5,0,0,1,5.1,5.1,78.2%,2024,WR,12
46,Tyreek Hill,MIA,5,6,48,9.6,20,1,0,0,0,0,0,1,4.8,4.8,92.8%,2024,WR,12
