Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Travis Kelce,KC,105,145,"1,416",13.5,45,23,11,0,0,0,1,15,207.8,13.9,94.1%,2020,TE,Full
2,Darren Waller,FA,107,145,"1,196",11.2,38,16,9,0,0,0,2,16,171.6,10.7,1.1%,2020,TE,Full
3,Robert Tonyan,FA,52,59,586,11.3,45,9,11,0,0,0,0,16,124.6,7.8,0.0%,2020,TE,Full
4,Mark Andrews,BAL,58,88,701,12.1,39,10,7,0,0,0,0,14,112.1,8.0,89.5%,2020,TE,Full
5,T.J. Hockenson,MIN,67,101,723,10.8,51,6,6,1,0,0,1,16,108.3,6.8,83.0%,2020,TE,Full
6,Mike Gesicki,CIN,53,85,703,13.3,70,10,6,0,0,0,0,15,106.3,7.1,29.2%,2020,TE,Full
7,Logan Thomas,FA,72,110,670,9.3,30,5,6,3,5,0,0,16,104.6,6.5,0.0%,2020,TE,Full
8,Rob Gronkowski,FA,45,77,623,13.8,48,10,7,0,0,0,0,16,104.3,6.5,2.0%,2020,TE,Full
9,Jonnu Smith,MIA,41,65,448,10.9,63,4,8,2,4,1,0,15,99.2,6.6,77.6%,2020,TE,Full
10,Jimmy Graham,FA,50,76,456,9.1,30,4,8,0,0,0,0,16,93.6,5.9,0.1%,2020,TE,Full
11,Hayden Hurst,LAC,56,88,571,10.2,42,5,6,0,0,0,0,16,93.1,5.8,2.7%,2020,TE,Full
12,Jared Cook,FA,37,60,504,13.6,46,6,7,0,0,0,1,15,90.4,6.0,0.0%,2020,TE,Full
13,Noah Fant,SEA,62,93,673,10.9,37,8,3,0,0,0,0,15,87.3,5.8,21.1%,2020,TE,Full
14,Eric Ebron,FA,56,91,558,10.0,27,6,5,0,0,0,1,15,85.8,5.7,0.0%,2020,TE,Full
15,Hunter Henry,NE,60,93,613,10.2,33,5,4,0,0,0,0,14,85.3,6.1,53.6%,2020,TE,Full
16,Tyler Higbee,LAR,44,60,521,11.8,44,9,5,1,1,0,0,15,84.2,5.6,9.2%,2020,TE,Full
17,Dalton Schultz,HOU,63,89,615,9.8,28,3,4,0,0,0,1,16,83.5,5.2,54.4%,2020,TE,Full
18,Evan Engram,JAC,63,109,654,10.4,53,6,1,6,26,1,1,16,78.0,4.9,57.4%,2020,TE,Full
19,George Kittle,SF,48,63,634,13.2,44,8,2,2,17,0,0,8,77.1,9.6,91.9%,2020,TE,Full
20,Dallas Goedert,PHI,46,65,524,11.4,41,7,3,0,0,0,0,11,70.4,6.4,57.2%,2020,TE,Full
21,Irv Smith Jr.,HOU,30,43,365,12.2,36,6,5,0,0,0,0,13,68.5,5.3,0.0%,2020,TE,Full
22,Austin Hooper,NE,46,70,435,9.5,36,3,4,0,0,0,0,13,67.5,5.2,1.9%,2020,TE,Full
23,Dan Arnold,FA,31,45,438,14.1,59,8,4,0,0,0,1,16,65.8,4.1,0.0%,2020,TE,Full
24,Trey Burton,FA,28,47,250,8.9,20,1,3,2,3,2,0,13,55.3,4.3,0.0%,2020,TE,Full
25,Darren Fells,FA,21,28,312,14.9,44,3,4,0,0,0,0,16,55.2,3.5,0.0%,2020,TE,Full
26,Gerald Everett,FA,41,62,417,10.2,40,3,1,1,2,1,1,16,51.9,3.2,1.4%,2020,TE,Full
27,Mo Alie-Cox,IND,31,39,394,12.7,45,6,2,0,0,0,1,15,49.4,3.3,0.6%,2020,TE,Full
28,Jordan Reed,FA,26,46,231,8.9,26,1,4,0,0,0,0,10,47.1,4.7,19.0%,2020,TE,Full
29,Tyler Eifert,FA,36,60,349,9.7,28,1,2,0,0,0,0,15,46.9,3.1,0.0%,2020,TE,Full
30,Jordan Akins,CLE,37,49,403,10.9,26,7,1,1,4,0,0,13,46.7,3.6,1.2%,2020,TE,Full
31,Richard Rodgers,FA,24,31,345,14.4,33,5,2,0,0,0,0,14,46.5,3.3,0.0%,2020,TE,Full
32,Anthony Firkser,KC,39,53,387,9.9,45,4,1,0,0,0,0,16,44.7,2.8,0.0%,2020,TE,Full
33,Dawson Knox,BUF,24,44,288,12.0,36,3,3,0,0,0,2,12,42.8,3.6,11.4%,2020,TE,Full
34,Chris Herndon IV,FA,31,46,287,9.3,26,3,3,0,0,0,2,16,42.7,2.7,0.0%,2020,TE,Full
35,Zach Ertz,WAS,36,72,335,9.3,42,4,1,0,0,0,0,11,41.5,3.8,57.5%,2020,TE,Full
36,Jack Doyle,FA,23,33,251,10.9,28,2,3,0,0,0,1,14,41.1,2.9,2.0%,2020,TE,Full
37,Jacob Hollister,FA,25,40,209,8.4,20,1,3,0,0,0,0,16,40.9,2.6,1.4%,2020,TE,Full
38,Cameron Brate,FA,28,34,282,10.1,25,2,2,0,0,0,0,16,40.2,2.5,2.0%,2020,TE,Full
39,Drew Sample,CIN,40,53,349,8.7,23,1,1,0,0,0,1,16,38.9,2.4,0.9%,2020,TE,Full
40,Harrison Bryant,LV,24,38,238,9.9,35,1,3,0,0,0,2,15,37.8,2.5,0.0%,2020,TE,Full
41,Kyle Rudolph,FA,28,37,334,11.9,25,5,1,0,0,0,1,12,37.4,3.1,1.0%,2020,TE,Full
42,Will Dissly,LAC,24,29,251,10.5,28,3,2,0,0,0,0,16,37.1,2.3,22.8%,2020,TE,Full
43,Cole Kmet,CHI,28,44,243,8.7,38,1,2,1,-3,0,1,16,34.0,2.1,42.7%,2020,TE,Full
44,Donald Parham Jr.,PIT,10,20,159,15.9,26,4,3,0,0,0,0,13,33.9,2.6,1.9%,2020,TE,Full
45,David Njoku,CLE,19,29,213,11.2,28,4,2,0,0,0,0,13,33.3,2.6,74.6%,2020,TE,Full
46,Adam Shaheen,FA,12,22,150,12.5,43,2,3,0,0,0,0,16,33.0,2.1,0.0%,2020,TE,Full
47,Durham Smythe,FA,26,29,208,8.0,19,0,2,0,0,0,0,15,32.8,2.2,0.1%,2020,TE,Full
48,Ross Dwelley,ATL,19,24,245,12.9,36,3,1,0,0,0,0,16,30.5,1.9,0.0%,2020,TE,Full
49,Tyler Kroft,FA,12,16,119,9.9,38,1,3,0,0,0,0,10,29.9,3.0,0.0%,2020,TE,Full
50,Greg Olsen,FA,24,37,239,10.0,22,3,1,0,0,0,0,11,29.9,2.7,7.0%,2020,TE,Full
51,Marcedes Lewis,CHI,10,17,107,10.7,36,1,3,0,0,0,0,15,28.7,1.9,0.1%,2020,TE,Full
52,Pharaoh Brown,SEA,14,16,163,11.6,29,2,2,0,0,0,0,13,28.3,2.2,0.1%,2020,TE,Full
