Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Nico Collins,HOU,9,9,195,21.7,75,4,1,0,0,0,0,1,25.5,25.5,95.3%,2023,WR,18
2,Justin Jefferson,MIN,12,14,192,16.0,38,5,1,1,-12,0,0,1,24.0,24.0,98.3%,2023,WR,18
3,CeeDee Lamb,DAL,13,13,98,7.5,15,0,2,1,7,0,0,1,22.5,22.5,87.2%,2023,WR,18
4,Amon-Ra St. Brown,DET,7,10,144,20.6,70,2,1,0,0,0,0,1,20.4,20.4,97.2%,2023,WR,18
5,David Bell,CLE,4,4,68,17.0,31,2,2,0,0,0,0,1,18.8,18.8,0.0%,2023,WR,18
6,Jakobi Meyers,LV,3,5,61,20.3,33,1,1,1,5,1,0,1,18.6,18.6,72.7%,2023,WR,18
7,Dontayvion Wicks,GB,6,7,61,10.2,19,0,2,0,0,0,0,1,18.1,18.1,23.2%,2023,WR,18
8,A.T. Perry,DEN,3,3,53,17.7,29,1,2,0,0,0,0,1,17.3,17.3,3.9%,2023,WR,18
9,Calvin Ridley,TEN,6,10,106,17.7,59,1,1,0,0,0,0,1,16.6,16.6,77.8%,2023,WR,18
10,Andrei Iosivas,CIN,5,7,36,7.2,15,0,2,0,0,0,0,1,15.6,15.6,11.4%,2023,WR,18
11,Quez Watkins,ARI,8,11,93,11.6,19,0,1,0,0,0,0,1,15.3,15.3,0.0%,2023,WR,18
12,Tyler Lockett,FA,2,4,71,35.5,37,2,1,0,0,0,0,1,15.1,15.1,44.2%,2023,WR,18
13,Diontae Johnson,BAL,4,5,89,22.3,71,1,1,0,0,0,0,1,14.9,14.9,39.6%,2023,WR,18
14,Tyreek Hill,MIA,7,13,82,11.7,23,1,1,0,0,0,0,1,14.2,14.2,92.8%,2023,WR,18
15,Jerry Jeudy,CLE,3,6,79,26.3,47,2,1,0,0,0,0,1,13.9,13.9,72.7%,2023,WR,18
16,Rashid Shaheed,NO,3,4,65,21.7,39,2,1,0,0,0,0,1,12.5,12.5,31.4%,2023,WR,18
17,Darius Slayton,NYG,5,7,62,12.4,19,0,1,0,0,0,0,1,12.2,12.2,9.9%,2023,WR,18
18,Jordan Addison,MIN,4,8,57,14.3,42,1,1,0,0,0,0,1,11.7,11.7,85.1%,2023,WR,18
19,Chris Olave,NO,3,3,56,18.7,26,1,1,0,0,0,0,1,11.6,11.6,68.4%,2023,WR,18
20,Jayden Reed,GB,4,4,112,28.0,59,2,0,0,0,0,0,1,11.2,11.2,82.1%,2023,WR,18
21,Davante Adams,FA,5,8,46,9.2,17,0,1,0,0,0,0,1,10.6,10.6,91.0%,2023,WR,18
22,DeAndre Hopkins,KC,7,10,46,6.6,16,0,1,0,0,0,0,1,10.6,10.6,72.8%,2023,WR,18
23,Khalil Shakir,BUF,6,6,105,17.5,46,2,0,0,0,0,0,1,10.5,10.5,74.4%,2023,WR,18
24,Brandin Cooks,DAL,6,8,39,6.5,15,0,1,1,3,0,0,1,10.2,10.2,18.2%,2023,WR,18
25,Puka Nacua,LAR,4,6,41,10.3,19,0,1,0,0,0,0,1,10.1,10.1,95.5%,2023,WR,18
26,Michael Wilson,ARI,6,6,95,15.8,28,2,0,0,0,0,0,1,9.5,9.5,16.9%,2023,WR,18
27,Tre Tucker,LV,5,5,79,15.8,47,1,0,1,11,0,0,1,9.0,9.0,12.3%,2023,WR,18
28,Brandon Johnson,PIT,4,5,88,22.0,36,3,0,0,0,0,0,1,8.8,8.8,1.0%,2023,WR,18
