Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Jonathan Taylor,IND,30,253,8.4,56,4,2,1,2,1,1.0,0,0,1,37.4,37.4,92.9%,2020,RB,17
2,Derrick Henry,BAL,34,250,7.4,52,3,2,0,0,0,0,0,1,1,35.0,35.0,97.5%,2020,RB,17
3,J.K. Dobbins,LAC,13,160,12.3,72,3,2,0,0,0,0,0,0,1,28.0,28.0,74.2%,2020,RB,17
4,Alexander Mattison,LV,21,95,4.5,20,1,1,3,3,50,16.7,1,0,1,26.5,26.5,44.8%,2020,RB,17
5,Darwin Thompson,FA,14,45,3.2,10,0,1,7,7,65,9.3,1,0,1,23.0,23.0,0.0%,2020,RB,17
6,Josh Jacobs,GB,15,89,5.9,28,1,2,0,1,0,0,0,0,1,20.9,20.9,96.3%,2020,RB,17
7,Jeff Wilson Jr.,MIA,20,76,3.8,18,0,1,3,7,12,4.0,1,0,1,20.8,20.8,0.6%,2020,RB,17
8,Antonio Williams,FA,12,63,5.3,18,0,2,1,1,20,20.0,0,0,1,20.3,20.3,0.0%,2020,RB,17
9,Sony Michel,FA,16,76,4.8,13,0,0,3,3,60,20.0,1,0,1,19.6,19.6,0.0%,2020,RB,17
10,David Montgomery,DET,22,69,3.1,8,0,1,9,9,63,7.0,0,0,1,19.2,19.2,75.4%,2020,RB,17
11,David Johnson,FA,14,84,6.0,26,1,1,3,5,36,12.0,0,0,1,18.0,18.0,0.0%,2020,RB,17
12,Melvin Gordon III,FA,26,93,3.6,15,0,1,4,6,17,4.3,0,0,1,17.0,17.0,0.1%,2020,RB,17
13,Nick Chubb,CLE,14,108,7.7,47,1,1,0,1,0,0,0,0,1,16.8,16.8,55.1%,2020,RB,17
14,Aaron Jones Sr.,MIN,11,42,3.8,10,0,1,4,5,43,10.8,0,0,1,14.5,14.5,91.4%,2020,RB,17
15,Ronald Jones II,FA,12,78,6.5,16,0,1,0,0,0,0,0,0,1,13.8,13.8,0.0%,2020,RB,17
16,Myles Gaskin,FA,7,20,2.9,7,0,1,4,5,57,14.3,0,0,1,13.7,13.7,0.0%,2020,RB,17
17,Brian Hill,FA,9,94,10.4,62,1,0,3,3,42,14.0,0,0,1,13.6,13.6,0.0%,2020,RB,17
18,D'Andre Swift,CHI,12,54,4.5,13,0,1,3,3,16,5.3,0,0,1,13.0,13.0,83.1%,2020,RB,17
19,Justin Jackson,FA,9,72,8.0,34,1,0,1,2,32,32.0,0,0,1,12.4,12.4,0.0%,2020,RB,17
20,Adrian Peterson,FA,7,63,9.0,38,1,1,0,0,0,0,0,0,1,12.3,12.3,2.0%,2020,RB,17
21,Ezekiel Elliott,FA,14,42,3.0,13,0,1,3,4,19,6.3,0,0,1,12.1,12.1,20.4%,2020,RB,17
22,Josh Adams,FA,11,47,4.3,10,0,1,2,4,12,6.0,0,0,1,11.9,11.9,0.0%,2020,RB,17
23,Austin Ekeler,WAS,7,18,2.6,6,0,0,6,7,33,5.5,1,0,1,11.1,11.1,51.4%,2020,RB,17
24,Salvon Ahmed,IND,6,29,4.8,16,0,1,3,3,19,6.3,0,0,1,10.8,10.8,0.0%,2020,RB,17
25,Ty Montgomery II,FA,18,105,5.8,36,1,0,1,2,2,2.0,0,0,1,10.7,10.7,0.0%,2020,RB,17
26,Rodney Smith,FA,10,40,4.0,8,0,1,1,1,4,4.0,0,0,1,10.4,10.4,0.0%,2020,RB,17
27,Kalen Ballage,FA,13,36,2.8,9,0,1,0,0,0,0,0,0,1,9.6,9.6,0.0%,2020,RB,17
28,James White,FA,0,0,0,0,0,0,4,7,31,7.8,1,0,1,9.1,9.1,0.1%,2020,RB,17
