Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Derek Carr,NO,28,47,59.6,381,8.1,3,1,2,2,5,1,0,1,32.7,32.7,20.5%,2020,QB,13
2,Josh Allen,BUF,32,40,80.0,375,9.4,4,0,1,6,11,0,1,1,30.1,30.1,97.2%,2020,QB,13
3,Ryan Tannehill,FA,29,45,64.4,389,8.6,3,1,3,0,0,0,0,1,28.6,28.6,1.3%,2020,QB,13
4,Baker Mayfield,TB,25,33,75.8,334,10.1,4,0,0,4,5,0,1,1,28.5,28.5,86.5%,2020,QB,13
5,Matthew Stafford,LAR,27,42,64.3,402,9.6,3,1,2,2,0,0,0,1,27.1,27.1,54.5%,2020,QB,13
6,Lamar Jackson,BAL,12,17,70.6,107,6.3,2,1,0,13,94,1,0,1,26.7,26.7,97.0%,2020,QB,13
7,Jared Goff,DET,37,47,78.7,351,7.5,1,0,1,4,1,1,0,1,24.1,24.1,83.6%,2020,QB,13
8,Taysom Hill,NO,27,37,73.0,232,6.3,2,0,2,14,83,0,1,1,23.6,23.6,27.7%,2020,QB,13
9,Cam Newton,FA,12,19,63.2,69,3.6,1,0,1,14,48,2,0,1,23.6,23.6,7.0%,2020,QB,13
10,Aaron Rodgers,NYJ,25,34,73.5,295,8.7,3,0,2,4,-3,0,0,1,23.5,23.5,47.5%,2020,QB,13
11,Nick Mullens,MIN,26,39,66.7,316,8.1,3,2,0,0,0,0,0,1,22.6,22.6,0.6%,2020,QB,13
12,Kirk Cousins,ATL,28,43,65.1,305,7.1,3,1,4,3,12,0,1,1,22.4,22.4,43.6%,2020,QB,13
13,Sam Darnold,MIN,14,23,60.9,186,8.1,2,1,3,3,26,1,2,1,21.0,21.0,77.4%,2020,QB,13
14,Deshaun Watson,CLE,26,38,68.4,341,9.0,0,1,5,7,38,1,1,1,20.4,20.4,14.6%,2020,QB,13
15,Patrick Mahomes II,KC,25,40,62.5,318,8.0,1,0,1,4,26,0,0,1,19.3,19.3,92.9%,2020,QB,13
16,Philip Rivers,FA,27,35,77.1,285,8.1,2,0,3,2,-2,0,0,1,19.2,19.2,20.6%,2020,QB,13
17,Ben Roethlisberger,FA,33,53,62.3,305,5.8,2,1,0,1,0,0,0,1,19.2,19.2,9.5%,2020,QB,13
18,Andy Dalton,CAR,31,48,64.6,285,5.9,2,1,1,1,2,0,0,1,18.6,18.6,2.5%,2020,QB,13
19,Kyler Murray,ARI,21,39,53.8,173,4.4,3,1,2,5,15,0,1,1,17.4,17.4,84.0%,2020,QB,13
20,Tua Tagovailoa,MIA,26,39,66.7,296,7.6,1,0,0,3,3,0,0,1,16.1,16.1,62.5%,2020,QB,13
21,Russell Wilson,PIT,27,43,62.8,263,6.1,1,1,5,7,45,0,1,1,16.0,16.0,48.0%,2020,QB,13
22,Alex Smith,FA,31,46,67.4,296,6.4,1,0,3,0,0,0,0,1,15.8,15.8,5.0%,2020,QB,13
23,Mike Glennon,FA,28,42,66.7,280,6.7,1,2,2,3,9,0,1,1,14.1,14.1,1.0%,2020,QB,13
24,Mitchell Trubisky,BUF,26,34,76.5,267,7.9,1,0,2,3,6,0,1,1,13.3,13.3,0.7%,2020,QB,13
25,Matt Ryan,FA,19,39,48.7,273,7.0,1,0,3,0,0,0,1,1,12.9,12.9,0.1%,2020,QB,13
26,Drew Lock,NYG,15,28,53.6,151,5.4,2,2,0,2,9,0,0,1,12.9,12.9,4.4%,2020,QB,13
27,Jalen Hurts,PHI,5,12,41.7,109,9.1,1,1,3,5,29,0,0,1,10.3,10.3,91.6%,2020,QB,13
28,Colt McCoy,FA,13,22,59.1,105,4.8,1,1,2,2,2,0,0,1,9.4,9.4,0.0%,2020,QB,13
29,Brandon Allen,SF,11,19,57.9,153,8.1,1,1,5,2,3,0,0,1,9.4,9.4,0.9%,2020,QB,13
30,Justin Herbert,LAC,26,53,49.1,209,3.9,0,2,3,0,0,0,0,1,6.4,6.4,77.4%,2020,QB,13
31,Jarrett Stidham,DEN,2,3,66.7,61,20.3,1,0,0,2,-2,0,0,1,6.2,6.2,1.4%,2020,QB,13
32,Carson Wentz,KC,6,15,40.0,79,5.3,0,0,4,3,18,0,0,1,5.0,5.0,1.1%,2020,QB,13
33,Ryan Finley,FA,6,7,85.7,40,5.7,0,1,1,0,0,0,0,1,0.6,0.6,0.0%,2020,QB,13
34,Jacoby Brissett,NE,0,0,0,0,0,0,0,0,2,1,0,0,1,0.1,0.1,3.9%,2020,QB,13
