Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Ja'Marr Chase,CIN,8,11,130,16.3,41,2,2,0,0,0,0,1,25.0,25.0,94.0%,2022,WR,7
2,Mecole Hardman Jr.,KC,4,4,32,8.0,18,0,1,2,28,2,0,1,24.0,24.0,0.2%,2022,WR,7
3,Tyler Boyd,TEN,8,9,155,19.4,60,3,1,0,0,0,0,1,21.5,21.5,4.6%,2022,WR,7
4,Marquise Goodwin,FA,4,5,67,16.8,23,3,2,0,0,0,0,1,18.7,18.7,0.0%,2022,WR,7
5,JuJu Smith-Schuster,KC,7,8,124,17.7,45,2,1,0,0,0,0,1,18.4,18.4,3.9%,2022,WR,7
6,Mike Williams,PIT,7,9,86,12.3,21,1,1,0,0,0,0,1,14.6,14.6,18.1%,2022,WR,7
7,Damiere Byrd,FA,1,1,75,75.0,75,1,1,0,0,0,0,1,13.5,13.5,0.0%,2022,WR,7
8,Terry McLaurin,WAS,5,8,73,14.6,37,1,1,0,0,0,0,1,13.3,13.3,91.3%,2022,WR,7
9,Parris Campbell,PHI,10,12,70,7.0,11,0,1,0,0,0,0,1,13.0,13.0,0.0%,2022,WR,7
10,DJ Moore,CHI,7,10,69,9.9,21,2,1,1,-3,0,0,1,12.6,12.6,86.7%,2022,WR,7
11,Ray-Ray McCloud III,ATL,4,4,65,16.3,22,2,1,0,0,0,0,1,12.5,12.5,16.2%,2022,WR,7
12,George Pickens,PIT,6,6,61,10.2,30,1,1,0,0,0,0,1,12.1,12.1,88.7%,2022,WR,7
13,Darius Slayton,NYG,3,6,58,19.3,32,1,1,0,0,0,0,1,11.8,11.8,9.9%,2022,WR,7
14,Rashid Shaheed,NO,1,1,53,53.0,53,1,1,0,0,0,0,1,11.3,11.3,31.4%,2022,WR,7
15,Marquez Valdes-Scantling,NO,3,4,111,37.0,57,2,0,0,0,0,0,1,11.1,11.1,17.7%,2022,WR,7
16,Chris Olave,NO,7,14,106,15.1,41,1,0,0,0,0,0,1,10.6,10.6,68.4%,2022,WR,7
17,Phillip Dorsett II,ATL,2,3,45,22.5,25,2,1,0,0,0,0,1,10.5,10.5,0.0%,2022,WR,7
18,Mack Hollins,BUF,2,3,44,22.0,26,1,1,0,0,0,0,1,10.4,10.4,2.5%,2022,WR,7
19,DeAndre Hopkins,KC,10,14,103,10.3,18,0,0,0,0,0,0,1,10.3,10.3,72.8%,2022,WR,7
20,Christian Kirk,JAC,7,10,96,13.7,34,1,0,1,5,0,0,1,10.1,10.1,34.9%,2022,WR,7
21,Mike Evans,TB,9,15,96,10.7,20,1,0,0,0,0,0,1,9.6,9.6,94.8%,2022,WR,7
22,Jerry Jeudy,CLE,7,11,96,13.7,45,1,0,0,0,0,0,1,9.6,9.6,72.7%,2022,WR,7
23,Kalif Raymond,DET,5,6,75,15.0,20,1,0,2,20,0,0,1,9.5,9.5,2.6%,2022,WR,7
24,Davante Adams,FA,8,9,95,11.9,16,0,0,0,0,0,0,1,9.5,9.5,91.0%,2022,WR,7
25,Jakobi Meyers,LV,2,2,34,17.0,30,1,1,0,0,0,0,1,9.4,9.4,72.7%,2022,WR,7
26,Tee Higgins,CIN,5,7,93,18.6,25,3,0,0,0,0,0,1,9.3,9.3,87.7%,2022,WR,7
27,Jaylen Waddle,MIA,4,5,88,22.0,25,3,0,0,0,0,0,1,8.8,8.8,79.3%,2022,WR,7
28,Brandon Aiyuk,SF,7,11,82,11.7,21,1,0,0,0,0,0,1,8.2,8.2,43.5%,2022,WR,7
29,Chris Moore,WAS,2,4,20,10.0,13,0,1,0,0,0,0,1,8.0,8.0,0.0%,2022,WR,7
30,Curtis Samuel,BUF,5,8,53,10.6,26,1,0,5,26,0,0,1,7.9,7.9,17.8%,2022,WR,7
31,Amari Cooper,BUF,3,4,74,24.7,55,1,0,0,0,0,0,1,7.4,7.4,75.3%,2022,WR,7
