Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Kyren Williams,LAR,20,87,4.4,28,1,3,2,2,14,7.0,0,0,1,28.1,28.1,94.2%,2023,RB,17
2,James Conner,ARI,26,128,4.9,22,1,1,1,1,5,5.0,1,0,1,25.3,25.3,82.6%,2023,RB,17
3,Najee Harris,PIT,27,122,4.5,23,1,2,0,0,0,0,0,0,1,24.2,24.2,85.5%,2023,RB,17
4,Jerome Ford,CLE,12,64,5.3,16,0,0,2,3,57,28.5,2,0,1,24.1,24.1,64.4%,2023,RB,17
5,Travis Etienne Jr.,JAC,16,102,6.4,62,1,2,2,2,16,8.0,0,0,1,23.8,23.8,81.7%,2023,RB,17
6,Isiah Pacheco,KC,18,130,7.2,37,2,0,7,7,35,5.0,1,0,1,22.5,22.5,84.8%,2023,RB,17
7,De'Von Achane,MIA,14,107,7.6,45,1,0,4,5,30,7.5,1,0,1,19.7,19.7,92.9%,2023,RB,17
8,Khalil Herbert,CIN,18,124,6.9,38,2,1,2,3,5,2.5,0,0,1,18.9,18.9,11.3%,2023,RB,17
9,Breece Hall,NYJ,13,84,6.5,25,1,0,9,9,42,4.7,1,0,1,18.6,18.6,91.6%,2023,RB,17
10,Justice Hill,BAL,3,48,16.0,41,1,0,5,5,64,12.8,1,0,1,17.2,17.2,24.4%,2023,RB,17
11,Jonathan Taylor,IND,21,96,4.6,15,0,1,1,1,8,8.0,0,0,1,16.4,16.4,92.9%,2023,RB,17
12,Jaylen Warren,PIT,13,75,5.8,23,1,1,4,4,23,5.8,0,0,1,15.8,15.8,68.2%,2023,RB,17
13,Tyler Allgeier,ATL,5,13,2.6,5,0,0,1,1,75,75.0,1,0,1,14.8,14.8,36.7%,2023,RB,17
14,Joe Mixon,HOU,21,65,3.1,14,0,0,4,4,22,5.5,1,0,1,14.7,14.7,93.9%,2023,RB,17
15,Elijah Mitchell,SF,17,80,4.7,15,0,1,0,0,0,0,0,0,1,14.0,14.0,5.5%,2023,RB,17
16,Kenneth Walker III,SEA,10,53,5.3,13,0,1,3,3,22,7.3,0,0,1,13.5,13.5,81.7%,2023,RB,17
17,Aaron Jones Sr.,MIN,20,120,6.0,25,1,0,1,1,10,10.0,0,0,1,13.0,13.0,91.4%,2023,RB,17
18,Michael Carter,ARI,7,61,8.7,21,1,0,1,1,6,6.0,1,0,1,12.7,12.7,14.7%,2023,RB,17
19,David Montgomery,DET,14,65,4.6,22,1,1,0,1,0,0,0,0,1,12.5,12.5,75.4%,2023,RB,17
20,Roschon Johnson,CHI,7,21,3.0,7,0,1,3,3,38,12.7,0,0,1,11.9,11.9,16.7%,2023,RB,17
21,Gus Edwards,LAC,16,68,4.3,12,0,1,0,0,0,0,0,1,1,10.8,10.8,45.3%,2023,RB,17
