Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Khalil Herbert,CIN,20,157,7.9,52,1,2,2,2,12,6.0,0,0,1,28.9,28.9,11.3%,2022,RB,3
2,Jamaal Williams,FA,20,87,4.4,15,0,2,2,2,20,10.0,0,0,1,22.7,22.7,2.5%,2022,RB,3
3,Cordarrelle Patterson,PIT,17,141,8.3,40,1,1,1,1,12,12.0,0,0,1,21.3,21.3,1.6%,2022,RB,3
4,Derrick Henry,BAL,20,85,4.3,24,1,1,5,6,58,11.6,0,0,1,20.3,20.3,97.5%,2022,RB,3
5,Saquon Barkley,PHI,14,81,5.8,36,1,1,4,4,45,11.3,0,0,1,18.6,18.6,97.8%,2022,RB,3
6,James Robinson,FA,17,100,5.9,50,2,1,3,3,16,5.3,0,0,1,17.6,17.6,0.0%,2022,RB,3
7,Nick Chubb,CLE,23,113,4.9,36,1,1,0,1,0,0,0,0,1,17.3,17.3,55.1%,2022,RB,3
8,Dameon Pierce,HOU,20,80,4.0,24,1,1,2,2,21,10.5,0,0,1,16.1,16.1,9.3%,2022,RB,3
9,Rhamondre Stevenson,NE,12,73,6.1,18,0,1,4,5,28,7.0,0,0,1,16.1,16.1,80.6%,2022,RB,3
10,Devin Singletary,NYG,9,13,1.4,6,0,0,9,11,78,8.7,1,0,1,15.1,15.1,43.6%,2022,RB,3
11,Chase Edmonds,TB,6,21,3.5,8,0,2,1,1,6,6.0,0,0,1,14.7,14.7,0.1%,2022,RB,3
12,Dalvin Cook,FA,17,96,5.6,13,0,1,0,0,0,0,0,1,1,13.6,13.6,0.9%,2022,RB,3
13,Ezekiel Elliott,FA,15,73,4.9,27,1,1,1,1,2,2.0,0,0,1,13.5,13.5,20.4%,2022,RB,3
14,Samaje Perine,KC,9,47,5.2,7,0,0,2,2,14,7.0,1,0,1,12.1,12.1,4.2%,2022,RB,3
15,Melvin Gordon III,FA,12,26,2.2,6,0,1,5,6,29,5.8,0,0,1,11.5,11.5,0.1%,2022,RB,3
16,Christian McCaffrey,SF,25,108,4.3,18,0,0,2,4,7,3.5,0,0,1,11.5,11.5,66.6%,2022,RB,3
17,Damien Harris,FA,11,41,3.7,10,0,1,2,3,5,2.5,0,0,1,10.6,10.6,9.0%,2022,RB,3
18,Tony Pollard,TEN,13,105,8.1,46,1,0,0,1,0,0,0,0,1,10.5,10.5,80.4%,2022,RB,3
19,Alexander Mattison,LV,7,28,4.0,9,0,1,1,1,16,16.0,0,0,1,10.4,10.4,44.8%,2022,RB,3
20,Najee Harris,PIT,15,56,3.7,10,0,1,3,3,5,1.7,0,1,1,10.1,10.1,85.5%,2022,RB,3
21,Cam Akers,MIN,12,61,5.1,14,0,1,0,0,0,0,0,1,1,10.1,10.1,14.2%,2022,RB,3
22,Antonio Gibson,NE,12,38,3.2,11,0,1,1,1,2,2.0,0,0,1,10.0,10.0,22.5%,2022,RB,3
23,Clyde Edwards-Helaire,NO,7,0,0.0,4,0,1,5,5,39,7.8,0,0,1,9.9,9.9,7.2%,2022,RB,3
24,Josh Jacobs,GB,13,66,5.1,13,0,0,5,5,31,6.2,0,0,1,9.7,9.7,96.3%,2022,RB,3
25,Breece Hall,NYJ,8,39,4.9,16,0,0,6,11,53,8.8,0,0,1,9.2,9.2,91.6%,2022,RB,3
26,Jonathan Taylor,IND,21,71,3.4,13,0,0,3,5,20,6.7,0,0,1,9.1,9.1,92.9%,2022,RB,3
27,Jeff Wilson Jr.,MIA,12,75,6.3,37,1,0,3,3,31,10.3,0,1,1,8.6,8.6,0.6%,2022,RB,3
28,Mark Ingram II,FA,5,18,3.6,7,0,1,0,0,0,0,0,0,1,7.8,7.8,3.0%,2022,RB,3
29,Travis Etienne Jr.,JAC,13,45,3.5,9,0,0,3,3,30,10.0,0,0,1,7.5,7.5,81.7%,2022,RB,3
30,Leonard Fournette,FA,12,35,2.9,6,0,0,5,6,35,7.0,0,0,1,7.0,7.0,2.1%,2022,RB,3
31,Rashaad Penny,FA,14,66,4.7,14,0,0,1,1,3,3.0,0,0,1,6.9,6.9,0.0%,2022,RB,3
32,Kareem Hunt,KC,12,47,3.9,11,0,0,3,4,14,4.7,0,0,1,6.1,6.1,48.5%,2022,RB,3
33,Justice Hill,BAL,6,60,10.0,34,1,0,0,0,0,0,0,0,1,6.0,6.0,24.4%,2022,RB,3
34,Javonte Williams,DEN,15,58,3.9,16,0,0,3,5,2,0.7,0,0,1,6.0,6.0,69.2%,2022,RB,3
35,James Conner,ARI,13,39,3.0,10,0,0,3,5,18,6.0,0,0,1,5.7,5.7,82.6%,2022,RB,3
36,Alvin Kamara,NO,15,61,4.1,27,1,0,2,7,12,6.0,0,1,1,5.3,5.3,87.9%,2022,RB,3
37,Austin Ekeler,WAS,4,5,1.3,3,0,0,8,8,48,6.0,0,0,1,5.3,5.3,51.4%,2022,RB,3
38,Zack Moss,CIN,4,46,11.5,43,1,0,1,1,6,6.0,0,0,1,5.2,5.2,33.5%,2022,RB,3
39,Michael Carter,ARI,11,39,3.5,9,0,0,1,2,7,7.0,0,0,1,4.6,4.6,14.7%,2022,RB,3
40,D'Andre Swift,CHI,7,31,4.4,9,0,0,3,4,15,5.0,0,0,1,4.6,4.6,83.1%,2022,RB,3
41,Miles Sanders,CAR,15,46,3.1,13,0,0,1,1,-2,-2.0,0,0,1,4.4,4.4,5.1%,2022,RB,3
42,Dontrell Hilliard,FA,2,14,7.0,10,0,0,1,1,30,30.0,0,0,1,4.4,4.4,0.0%,2022,RB,3
43,J.D. McKissic,FA,3,8,2.7,6,0,0,6,9,32,5.3,0,0,1,4.0,4.0,1.0%,2022,RB,3
44,J.K. Dobbins,LAC,7,23,3.3,5,0,0,2,2,17,8.5,0,0,1,4.0,4.0,74.2%,2022,RB,3
45,James Cook,BUF,1,3,3.0,3,0,0,4,5,37,9.3,0,0,1,4.0,4.0,93.1%,2022,RB,3
46,AJ Dillon,GB,12,32,2.7,7,0,0,2,3,6,3.0,0,0,1,3.8,3.8,3.7%,2022,RB,3
47,Joe Mixon,HOU,12,24,2.0,9,0,0,3,7,14,4.7,0,0,1,3.8,3.8,93.9%,2022,RB,3
48,DeeJay Dallas,ARI,3,21,7.0,16,0,0,2,2,17,8.5,0,0,1,3.8,3.8,0.3%,2022,RB,3
49,Kenneth Walker III,SEA,3,19,6.3,21,1,0,3,3,14,4.7,0,0,1,3.3,3.3,81.7%,2022,RB,3
50,Jaylen Warren,PIT,4,30,7.5,10,0,0,1,1,3,3.0,0,0,1,3.3,3.3,68.2%,2022,RB,3
51,Sony Michel,FA,5,22,4.4,8,0,0,1,2,9,9.0,0,0,1,3.1,3.1,0.0%,2022,RB,3
52,Tyler Allgeier,ATL,6,25,4.2,7,0,0,1,1,5,5.0,0,0,1,3.0,3.0,36.7%,2022,RB,3
53,Rex Burkhead,FA,3,9,3.0,4,0,0,4,5,21,5.3,0,0,1,3.0,3.0,10.0%,2022,RB,3
54,Nyheim Hines,FA,3,7,2.3,7,0,0,5,6,23,4.6,0,0,1,3.0,3.0,0.1%,2022,RB,3
55,Aaron Jones Sr.,MIN,12,36,3.0,10,0,0,3,4,11,3.7,0,1,1,2.7,2.7,91.4%,2022,RB,3
56,Chuba Hubbard,CAR,3,25,8.3,14,0,0,0,0,0,0,0,0,1,2.5,2.5,73.0%,2022,RB,3
57,Kyle Juszczyk,SF,0,0,0,0,0,0,1,1,24,24.0,0,0,1,2.4,2.4,1.2%,2022,RB,3
58,Eno Benjamin,FA,5,16,3.2,9,0,0,2,4,7,3.5,0,0,1,2.3,2.3,0.0%,2022,RB,3
59,Trestan Ebner,FA,7,23,3.3,7,0,0,0,1,0,0,0,0,1,2.3,2.3,0.0%,2022,RB,3
60,Reggie Gilliam,BUF,0,0,0,0,0,0,2,3,22,11.0,0,0,1,2.2,2.2,0.0%,2022,RB,3
61,Brandon Bolden,FA,3,17,5.7,12,0,0,2,2,4,2.0,0,0,1,2.1,2.1,0.0%,2022,RB,3
62,Jerick McKinnon,FA,7,20,2.9,6,0,0,0,1,0,0,0,0,1,2.0,2.0,0.0%,2022,RB,3
63,Craig Reynolds,DET,6,13,2.2,5,0,0,1,1,5,5.0,0,0,1,1.8,1.8,3.5%,2022,RB,3
64,Darrell Henderson Jr.,FA,4,17,4.3,7,0,0,0,1,0,0,0,0,1,1.7,1.7,5.0%,2022,RB,3
65,C.J. Ham,MIN,0,0,0,0,0,0,2,3,15,7.5,0,0,1,1.5,1.5,0.6%,2022,RB,3
66,Patrick Ricard,BAL,0,0,0,0,0,0,1,1,12,12.0,0,0,1,1.2,1.2,0.8%,2022,RB,3
67,Raheem Mostert,FA,8,11,1.4,9,0,0,0,2,0,0,0,0,1,1.1,1.1,42.9%,2022,RB,3
68,David Montgomery,DET,3,11,3.7,5,0,0,0,0,0,0,0,0,1,1.1,1.1,75.4%,2022,RB,3
69,Avery Williams,ATL,1,9,9.0,9,0,0,0,0,0,0,0,0,1,0.9,0.9,0.6%,2022,RB,3
70,Isiah Pacheco,KC,3,9,3.0,5,0,0,0,0,0,0,0,0,1,0.9,0.9,84.8%,2022,RB,3
71,Travis Homer,CHI,1,7,7.0,7,0,0,0,0,0,0,0,0,1,0.7,0.7,1.3%,2022,RB,3
72,Jordan Mason,SF,1,7,7.0,7,0,0,0,0,0,0,0,0,1,0.7,0.7,27.7%,2022,RB,3
73,Darrel Williams,FA,1,7,7.0,7,0,0,0,1,0,0,0,0,1,0.7,0.7,0.0%,2022,RB,3
74,Jonathan Williams,FA,1,6,6.0,6,0,0,0,0,0,0,0,0,1,0.6,0.6,0.0%,2022,RB,3
75,Kenneth Gainwell,PHI,3,6,2.0,3,0,0,0,0,0,0,0,0,1,0.6,0.6,11.7%,2022,RB,3
76,Chris Evans,CIN,0,0,0,0,0,0,1,1,4,4.0,0,0,1,0.4,0.4,0.0%,2022,RB,3
77,Joshua Kelley,TEN,1,-3,-3.0,0,0,0,2,2,6,3.0,0,0,1,0.3,0.3,0.0%,2022,RB,3
78,Matt Breida,FA,1,3,3.0,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.0%,2022,RB,3
79,Michael Burton,DEN,1,2,2.0,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%,2022,RB,3
80,JaMycal Hasty,NE,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.7%,2022,RB,3
81,Khari Blasingame,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,RB,3
82,Kene Nwangwu,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,RB,3
83,Jerome Ford,CLE,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,64.4%,2022,RB,3
84,Hassan Haskins,LAC,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.9%,2022,RB,3
