Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
65,Carson Wentz,KC,12,19,63.2,118,6.2,0,0,4,3,0,0,0,3,4.7,1.6,1.1%,2024,QB,Full
66,Taylor Heinicke,LAC,3,5,60.0,28,5.6,0,0,3,2,20,0,0,4,3.2,0.8,1.1%,2024,QB,Full
67,Hendon Hooker,DET,6,9,66.7,62,6.9,0,0,1,5,2,0,0,3,2.7,0.9,4.7%,2024,QB,Full
68,Nick Mullens,MIN,2,2,100.0,38,19.0,0,0,0,3,-2,0,0,4,1.4,0.4,0.6%,2024,QB,Full
69,Feleipe Franks,CAR,0,0,0,0,0,0,0,0,0,0,0,0,15,1.2,0.1,0.0%,2024,QB,Full
70,Mike White,BUF,3,11,27.3,28,2.5,0,0,0,0,0,0,0,1,1.1,1.1,1.0%,2024,QB,Full
71,Kyle Allen,PIT,1,1,100.0,19,19.0,0,0,0,0,0,0,0,1,0.8,0.8,1.3%,2024,QB,Full
72,Josh Johnson,BAL,2,3,66.7,17,5.7,0,0,1,4,1,0,0,6,0.7,0.1,0.1%,2024,QB,Full
73,Jarrett Stidham,DEN,0,0,0,0,0,0,0,0,4,5,0,0,3,0.5,0.2,1.4%,2024,QB,Full
74,Chris Oladokun,KC,0,0,0,0,0,0,0,1,1,5,0,0,1,0.5,0.5,0.0%,2024,QB,Full
75,Sam Howell,SEA,5,14,35.7,24,1.7,0,1,4,1,2,0,0,3,0.2,0.1,5.8%,2024,QB,Full
76,Malik Cunningham,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,QB,Full
77,Zach Wilson,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%,2024,QB,Full
78,Emory Jones,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,QB,Full
79,J.J. McCarthy,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1%,2024,QB,Full
80,Sam Ehlinger,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
81,Ben DiNucci,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
82,Sean Clifford,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2024,QB,Full
83,Adrian Martinez,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
84,Austin Reed,CHI,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,QB,Full
85,Carter Bradley,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
86,Jack Plummer,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
87,Jason Bean,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
88,John Rhys Plumlee,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
89,Jordan Travis,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.6%,2024,QB,Full
90,Michael Pratt,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2024,QB,Full
91,Tanner Mordecai,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%,2024,QB,Full
92,Stetson Bennett,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2024,QB,Full
93,Jaren Hall,SEA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.1%,2024,QB,Full
94,Kedon Slovis,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
95,Devin Leary,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,QB,Full
96,Sam Hartman,WAS,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2024,QB,Full
97,Jake Fromm,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
98,Ben Chappell,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
99,Adam Froman,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
100,Erik Ainge,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
101,Hunter Cantwell,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
102,Teddy Bridgewater,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%,2024,QB,Full
103,Case Keenum,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
104,Taysom Hill,NO,2,4,50.0,21,5.3,0,1,0,39,278,6,1,8,0.0,0.0,27.7%,2024,QB,Full
105,John Wolford,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
106,Shane Buechele,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
107,Jake Luton,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,QB,Full
108,Easton Stick,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
109,Will Grier,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
110,Brett Rypien,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
111,C.J. Beathard,JAC,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,QB,Full
112,Brett Smith,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,Full
113,Trevor Siemian,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,QB,Full
114,Jeff Driskel,WAS,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2024,QB,Full
115,Jake Browning,CIN,0,0,0,0,0,0,0,0,2,-2,0,0,3,-0.2,-0.1,4.2%,2024,QB,Full
116,Kyle Trask,TB,1,1,100.0,5,5.0,0,0,0,5,-4,0,0,4,-0.2,-0.1,1.0%,2024,QB,Full
117,Tyson Bagent,CHI,2,2,100.0,11,5.5,0,0,0,6,-7,0,0,4,-0.3,-0.1,1.0%,2024,QB,Full
118,Clayton Tune,ARI,2,2,100.0,8,4.0,0,0,0,7,-4,0,1,6,-2.1,-0.4,1.0%,2024,QB,Full
