Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Josh Jacobs,GB,28,144,5.1,43,1,2,5,6,31,6.2,0,0,1,29.5,29.5,96.3%,2022,RB,4
2,Austin Ekeler,WAS,13,60,4.6,20,1,2,6,7,49,8.2,1,0,1,28.9,28.9,51.4%,2022,RB,4
3,Rashaad Penny,FA,17,151,8.9,41,3,2,1,1,6,6.0,0,0,1,27.7,27.7,0.0%,2022,RB,4
4,Miles Sanders,CAR,27,134,5.0,35,1,2,2,3,22,11.0,0,0,1,27.6,27.6,5.1%,2022,RB,4
5,Jamaal Williams,FA,19,108,5.7,51,1,2,1,3,1,1.0,0,0,1,22.9,22.9,2.5%,2022,RB,4
6,Clyde Edwards-Helaire,NO,19,92,4.8,20,1,1,1,2,2,2.0,1,0,1,21.4,21.4,7.2%,2022,RB,4
7,Derrick Henry,BAL,22,114,5.2,19,0,1,3,5,33,11.0,0,0,1,20.7,20.7,97.5%,2022,RB,4
8,Dameon Pierce,HOU,14,131,9.4,75,1,1,6,6,8,1.3,0,0,1,19.9,19.9,9.3%,2022,RB,4
9,Nick Chubb,CLE,19,118,6.2,28,1,1,2,3,9,4.5,0,0,1,18.7,18.7,55.1%,2022,RB,4
10,J.K. Dobbins,LAC,13,41,3.2,16,0,1,4,4,22,5.5,1,0,1,18.3,18.3,74.2%,2022,RB,4
11,Christian McCaffrey,SF,8,27,3.4,10,0,0,9,9,81,9.0,1,0,1,16.8,16.8,66.6%,2022,RB,4
12,Saquon Barkley,PHI,31,146,4.7,29,1,0,2,2,16,8.0,0,0,1,16.2,16.2,97.8%,2022,RB,4
13,Damien Harris,FA,18,86,4.8,14,0,1,1,1,-2,-2.0,0,0,1,14.4,14.4,9.0%,2022,RB,4
14,Breece Hall,NYJ,17,66,3.9,16,0,1,2,6,12,6.0,0,0,1,13.8,13.8,91.6%,2022,RB,4
15,Jeff Wilson Jr.,MIA,18,74,4.1,32,1,1,0,0,0,0,0,0,1,13.4,13.4,0.6%,2022,RB,4
16,Joe Mixon,HOU,24,61,2.5,7,0,1,4,4,13,3.3,0,0,1,13.4,13.4,93.9%,2022,RB,4
17,Latavius Murray,FA,11,57,5.2,10,0,1,1,1,8,8.0,0,0,1,12.5,12.5,0.0%,2022,RB,4
18,Caleb Huntley,FA,10,56,5.6,14,0,1,0,0,0,0,0,0,1,11.6,11.6,0.0%,2022,RB,4
19,Aaron Jones Sr.,MIN,16,110,6.9,20,1,0,3,4,5,1.7,0,0,1,11.5,11.5,91.4%,2022,RB,4
20,Leonard Fournette,FA,3,-3,-1.0,3,0,0,7,7,57,8.1,1,0,1,11.4,11.4,2.1%,2022,RB,4
21,Tyler Allgeier,ATL,10,84,8.4,42,1,0,1,1,20,20.0,0,0,1,10.4,10.4,36.7%,2022,RB,4
22,Khalil Herbert,CIN,19,77,4.1,15,0,0,1,1,24,24.0,0,0,1,10.1,10.1,11.3%,2022,RB,4
23,Rex Burkhead,FA,0,0,0,0,0,0,5,5,39,7.8,1,0,1,9.9,9.9,10.0%,2022,RB,4
24,Cordarrelle Patterson,PIT,9,38,4.2,13,0,1,0,0,0,0,0,0,1,9.8,9.8,1.6%,2022,RB,4
25,Rachaad White,TB,3,6,2.0,4,0,1,5,5,50,10.0,0,1,1,9.6,9.6,85.8%,2022,RB,4
26,Rhamondre Stevenson,NE,14,66,4.7,17,0,0,4,5,23,5.8,0,0,1,8.9,8.9,80.6%,2022,RB,4
27,Dalvin Cook,FA,20,76,3.8,14,0,0,2,2,10,5.0,0,0,1,8.6,8.6,0.9%,2022,RB,4
28,AJ Dillon,GB,17,73,4.3,13,0,0,1,2,11,11.0,0,0,1,8.4,8.4,3.7%,2022,RB,4
29,Ezekiel Elliott,FA,19,49,2.6,7,0,0,2,2,32,16.0,0,0,1,8.1,8.1,20.4%,2022,RB,4
30,Raheem Mostert,FA,15,69,4.6,25,1,0,2,3,12,6.0,0,0,1,8.1,8.1,42.9%,2022,RB,4
31,Chase Edmonds,TB,5,6,1.2,4,0,0,2,3,14,7.0,1,0,1,8.0,8.0,0.1%,2022,RB,4
32,Alexander Mattison,LV,3,3,1.0,2,0,0,1,1,15,15.0,1,0,1,7.8,7.8,44.8%,2022,RB,4
33,Kenneth Gainwell,PHI,5,19,3.8,10,0,1,1,2,-2,-2.0,0,0,1,7.7,7.7,11.7%,2022,RB,4
34,James Conner,ARI,15,55,3.7,8,0,0,3,3,22,7.3,0,0,1,7.7,7.7,82.6%,2022,RB,4
35,Devin Singletary,NYG,11,49,4.5,18,0,0,4,5,47,11.8,0,1,1,7.6,7.6,43.6%,2022,RB,4
36,Najee Harris,PIT,18,74,4.1,16,0,0,0,0,0,0,0,0,1,7.4,7.4,85.5%,2022,RB,4
37,Kareem Hunt,KC,10,49,4.9,20,1,0,2,3,19,9.5,0,0,1,6.8,6.8,48.5%,2022,RB,4
