Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Derrick Henry,BAL,20,143,7.2,76,1,3,2,3,13,6.5,0,0,1,33.6,33.6,97.5%,2021,RB,6
2,Jonathan Taylor,IND,14,145,10.4,83,1,2,1,2,13,13.0,0,0,1,27.8,27.8,92.9%,2021,RB,6
3,Leonard Fournette,FA,22,81,3.7,20,1,2,6,6,46,7.7,0,0,1,24.7,24.7,2.1%,2021,RB,6
4,Darrell Henderson Jr.,FA,21,78,3.7,10,0,1,2,3,29,14.5,1,0,1,22.7,22.7,5.0%,2021,RB,6
5,Joe Mixon,HOU,18,94,5.2,18,0,0,5,6,59,11.8,1,0,1,21.3,21.3,93.9%,2021,RB,6
6,Darrel Williams,FA,21,62,3.0,11,0,2,3,4,27,9.0,0,0,1,20.9,20.9,0.0%,2021,RB,6
7,Dalvin Cook,FA,29,140,4.8,23,1,1,2,2,3,1.5,0,0,1,20.3,20.3,0.9%,2021,RB,6
8,Kenyan Drake,FA,4,34,8.5,18,0,1,2,2,39,19.5,1,0,1,19.3,19.3,1.1%,2021,RB,6
9,Najee Harris,PIT,24,81,3.4,10,0,0,6,7,46,7.7,1,0,1,18.7,18.7,85.5%,2021,RB,6
10,Khalil Herbert,CIN,19,97,5.1,25,1,1,2,3,15,7.5,0,0,1,17.2,17.2,11.3%,2021,RB,6
11,Aaron Jones Sr.,MIN,13,76,5.8,28,1,0,4,4,34,8.5,1,0,1,17.0,17.0,91.4%,2021,RB,6
12,Damien Harris,FA,18,101,5.6,21,2,1,1,1,7,7.0,0,0,1,16.8,16.8,9.0%,2021,RB,6
13,James Robinson,FA,17,73,4.3,24,1,1,3,4,28,9.3,0,0,1,16.1,16.1,0.0%,2021,RB,6
14,Alex Collins,FA,20,101,5.1,21,1,1,1,1,-3,-3.0,0,0,1,15.8,15.8,19.0%,2021,RB,6
15,Josh Jacobs,GB,16,53,3.3,6,0,1,1,1,29,29.0,0,0,1,14.2,14.2,96.3%,2021,RB,6
16,Chris Evans,CIN,4,18,4.5,6,0,0,3,3,49,16.3,1,0,1,12.7,12.7,0.0%,2021,RB,6
17,D'Andre Swift,CHI,13,24,1.8,9,0,1,5,7,43,8.6,0,0,1,12.7,12.7,83.1%,2021,RB,6
18,Chuba Hubbard,CAR,16,61,3.8,9,0,1,1,3,4,4.0,0,0,1,12.5,12.5,73.0%,2021,RB,6
19,Rhamondre Stevenson,NE,5,23,4.6,11,0,1,3,3,39,13.0,0,0,1,12.2,12.2,80.6%,2021,RB,6
