Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,George Kittle,SF,78,94,"1,106",14.2,43,21,8,0,0,0,0,15,158.6,10.6,91.9%,2024,TE,Full
2,Brock Bowers,LV,112,153,"1,194",10.7,57,15,5,5,13,0,0,17,150.7,8.9,91.6%,2024,TE,Full
3,Trey McBride,ARI,111,147,"1,146",10.3,37,10,2,1,2,1,0,16,138.8,8.7,91.9%,2024,TE,Full
4,Jonnu Smith,MIA,88,111,884,10.0,57,4,8,2,-1,0,1,17,134.3,7.9,77.6%,2024,TE,Full
5,Mark Andrews,BAL,55,69,673,12.2,67,6,11,4,5,0,0,17,133.8,7.9,89.5%,2024,TE,Full
6,Sam LaPorta,DET,60,83,726,12.1,52,11,7,0,0,0,0,16,114.6,7.2,93.3%,2024,TE,Full
7,Tucker Kraft,GB,50,70,707,14.1,67,11,7,3,6,0,1,17,113.3,6.7,63.4%,2024,TE,Full
8,Zach Ertz,WAS,66,91,654,9.9,37,7,7,0,0,0,0,17,111.4,6.6,57.5%,2024,TE,Full
9,Pat Freiermuth,PIT,65,78,653,10.0,30,7,7,0,0,0,2,17,103.3,6.1,63.9%,2024,TE,Full
10,Travis Kelce,KC,97,133,823,8.5,38,9,3,1,1,0,1,16,98.4,6.2,94.1%,2024,TE,Full
11,David Njoku,CLE,64,97,505,7.9,29,4,5,0,0,0,0,11,84.5,7.7,74.6%,2024,TE,Full
12,Kyle Pitts,ATL,47,74,602,12.8,52,7,4,0,0,0,0,17,84.2,5.0,73.0%,2024,TE,Full
13,Isaiah Likely,BAL,42,58,477,11.4,49,4,6,0,0,0,1,16,81.7,5.1,34.2%,2024,TE,Full
14,Cade Otton,TB,59,87,600,10.2,44,7,4,1,-4,0,1,14,81.6,5.8,57.8%,2024,TE,Full
15,Taysom Hill,NO,23,31,187,8.1,34,2,0,39,278,6,1,8,80.3,10.0,27.7%,2024,TE,Full
16,Hunter Henry,NE,66,97,674,10.2,35,4,2,0,0,0,0,16,79.4,5.0,53.6%,2024,TE,Full
17,Mike Gesicki,CIN,65,83,665,10.2,47,5,2,0,0,0,1,17,76.5,4.5,29.2%,2024,TE,Full
18,Cole Kmet,CHI,47,55,474,10.1,31,7,4,0,0,0,0,17,73.4,4.3,42.7%,2024,TE,Full
19,Noah Gray,KC,40,49,437,10.9,35,6,5,1,-4,0,0,17,73.3,4.3,22.5%,2024,TE,Full
20,Juwan Johnson,NO,50,66,548,11.0,30,8,3,0,0,0,0,17,72.8,4.3,19.4%,2024,TE,Full
21,Foster Moreau,NO,32,43,413,12.9,41,7,5,0,0,0,0,17,71.3,4.2,2.4%,2024,TE,Full
22,Tyler Conklin,NYJ,51,72,449,8.8,27,7,4,1,0,0,0,16,70.9,4.4,19.2%,2024,TE,Full
23,Dalton Schultz,HOU,53,85,532,10.0,32,5,2,0,0,0,0,17,65.2,3.8,54.4%,2024,TE,Full
24,Austin Hooper,NE,45,59,476,10.6,38,5,3,0,0,0,1,17,63.6,3.7,1.9%,2024,TE,Full
25,Chig Okonkwo,TEN,52,70,479,9.2,70,4,2,1,17,0,1,17,61.6,3.6,34.6%,2024,TE,Full
26,Dallas Goedert,PHI,42,52,496,11.8,61,7,2,0,0,0,0,10,61.6,6.2,57.2%,2024,TE,Full
27,Will Dissly,LAC,50,64,481,9.6,29,5,2,0,0,0,0,15,60.1,4.0,22.8%,2024,TE,Full
28,Dalton Kincaid,BUF,44,75,448,10.2,29,5,2,0,0,0,0,13,56.8,4.4,78.8%,2024,TE,Full
29,Noah Fant,SEA,48,64,500,10.4,32,3,1,0,0,0,0,14,56.0,4.0,21.1%,2024,TE,Full
30,Brenton Strange,JAC,40,53,411,10.3,30,7,2,0,0,0,1,17,51.1,3.0,19.5%,2024,TE,Full
31,Jordan Akins,CLE,40,58,390,9.8,21,3,2,0,0,0,0,17,51.0,3.0,1.2%,2024,TE,Full
