Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Kyler Murray,ARI,11,15,73.3,123,8.2,2,0,1,10,59,2,0,1,30.8,30.8,84.0%,2021,QB,13
2,Tom Brady,FA,38,51,74.5,368,7.2,4,1,0,1,-1,0,0,1,29.6,29.6,5.3%,2021,QB,13
3,Justin Herbert,LAC,26,35,74.3,317,9.1,3,1,4,1,6,0,0,1,26.3,26.3,77.4%,2021,QB,13
4,Taysom Hill,NO,19,41,46.3,264,6.4,2,4,2,11,101,0,0,1,24.7,24.7,27.7%,2021,QB,13
5,Matthew Stafford,LAR,26,38,68.4,295,7.8,3,0,1,1,2,0,0,1,24.0,24.0,54.5%,2021,QB,13
6,Zach Wilson,DEN,23,38,60.5,226,5.9,2,1,2,3,0,1,0,1,22.0,22.0,0.9%,2021,QB,13
7,Jared Goff,DET,25,41,61.0,296,7.2,3,1,3,2,1,0,1,1,20.9,20.9,83.6%,2021,QB,13
8,Kirk Cousins,ATL,30,40,75.0,340,8.5,2,0,3,2,6,0,1,1,20.2,20.2,43.6%,2021,QB,13
9,Ben Roethlisberger,FA,21,31,67.7,236,7.6,2,0,1,1,-1,0,0,1,19.3,19.3,9.5%,2021,QB,13
10,Gardner Minshew II,FA,20,25,80.0,242,9.7,2,0,2,4,11,0,0,1,18.8,18.8,6.2%,2021,QB,13
11,Joe Burrow,CIN,24,40,60.0,300,7.5,1,2,6,1,6,1,1,1,18.6,18.6,92.1%,2021,QB,13
12,Lamar Jackson,BAL,23,37,62.2,253,6.8,1,1,7,8,55,0,0,1,18.6,18.6,97.0%,2021,QB,13
13,Jimmy Garoppolo,LAR,20,30,66.7,299,10.0,2,2,1,2,0,0,0,1,18.0,18.0,2.8%,2021,QB,13
14,Tua Tagovailoa,MIA,30,41,73.2,244,6.0,2,0,2,2,1,0,0,1,17.9,17.9,62.5%,2021,QB,13
15,Russell Wilson,PIT,30,37,81.1,231,6.2,2,1,4,3,15,0,0,1,17.7,17.7,48.0%,2021,QB,13
16,Taylor Heinicke,LAC,23,30,76.7,196,6.5,2,1,1,3,10,0,0,1,15.8,15.8,1.1%,2021,QB,13
17,Andy Dalton,CAR,26,41,63.4,229,5.6,2,4,3,2,6,0,0,1,15.8,15.8,2.5%,2021,QB,13
18,Teddy Bridgewater,DET,22,40,55.0,257,6.4,1,2,1,4,17,0,0,1,14.0,14.0,0.8%,2021,QB,13
19,Patrick Mahomes II,KC,15,29,51.7,184,6.3,0,1,1,4,12,1,0,1,13.6,13.6,92.9%,2021,QB,13
20,Derek Carr,NO,28,38,73.7,249,6.6,0,0,2,2,24,0,0,1,12.4,12.4,20.5%,2021,QB,13
21,Dak Prescott,DAL,26,40,65.0,238,6.0,1,1,1,3,-3,0,0,1,12.2,12.2,37.8%,2021,QB,13
22,Matt Ryan,FA,30,41,73.2,297,7.2,0,0,5,3,2,0,0,1,12.1,12.1,0.1%,2021,QB,13
23,Josh Allen,BUF,15,30,50.0,145,4.8,1,0,2,6,39,0,1,1,11.7,11.7,97.2%,2021,QB,13
24,Carson Wentz,KC,16,22,72.7,158,7.2,1,0,1,3,8,0,0,1,11.1,11.1,1.1%,2021,QB,13
25,Trevor Lawrence,JAC,16,28,57.1,145,5.2,0,0,2,4,10,0,0,1,6.8,6.8,30.9%,2021,QB,13
26,Mike Glennon,FA,23,44,52.3,187,4.3,0,1,3,0,0,0,0,1,6.5,6.5,1.0%,2021,QB,13
27,Davis Mills,HOU,6,14,42.9,49,3.5,0,0,2,2,11,0,0,1,3.1,3.1,0.1%,2021,QB,13
28,Tyrod Taylor,NYJ,5,13,38.5,45,3.5,0,1,2,3,15,0,0,1,2.3,2.3,5.4%,2021,QB,13
29,Mac Jones,JAC,2,3,66.7,19,6.3,0,0,0,5,-3,0,0,1,0.5,0.5,5.6%,2021,QB,13
30,C.J. Beathard,JAC,0,0,0,0,0,0,0,0,1,2,0,0,1,0.2,0.2,0.0%,2021,QB,13
31,Sam Ehlinger,IND,0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,2021,QB,13
