Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Rashaad Penny,FA,25,170,6.8,37,3,2,2,3,15,7.5,0,0,1,30.5,30.5,0.0%,2021,RB,17
2,Najee Harris,PIT,28,188,6.7,37,2,1,3,3,18,6.0,0,0,1,26.6,26.6,85.5%,2021,RB,17
3,Devin Singletary,NYG,23,110,4.8,20,2,2,0,1,0,0,0,0,1,23.0,23.0,43.6%,2021,RB,17
4,Rhamondre Stevenson,NE,19,107,5.6,15,0,2,0,0,0,0,0,0,1,22.7,22.7,80.6%,2021,RB,17
5,Darrel Williams,FA,14,88,6.3,19,0,2,3,3,19,6.3,0,0,1,22.7,22.7,0.0%,2021,RB,17
6,Boston Scott,FA,14,47,3.4,14,0,2,4,4,39,9.8,0,0,1,20.6,20.6,0.0%,2021,RB,17
7,AJ Dillon,GB,14,63,4.5,9,0,2,2,3,20,10.0,0,0,1,20.3,20.3,3.7%,2021,RB,17
8,D'Onta Foreman,CLE,26,132,5.1,35,2,1,0,0,0,0,0,0,1,19.2,19.2,3.4%,2021,RB,17
9,David Montgomery,DET,22,64,2.9,10,0,2,2,2,17,8.5,0,0,1,19.1,19.1,75.4%,2021,RB,17
10,Elijah Mitchell,SF,21,119,5.7,37,1,0,2,2,11,5.5,1,0,1,19.0,19.0,5.5%,2021,RB,17
11,Jonathan Taylor,IND,20,108,5.4,24,1,1,1,2,6,6.0,0,0,1,17.4,17.4,92.9%,2021,RB,17
12,Austin Ekeler,WAS,17,58,3.4,14,0,1,3,3,54,18.0,0,0,1,17.2,17.2,51.4%,2021,RB,17
13,Damien Harris,FA,9,35,3.9,7,0,2,1,1,12,12.0,0,0,1,16.7,16.7,9.0%,2021,RB,17
14,Alvin Kamara,NO,13,32,2.5,30,1,0,5,6,68,13.6,1,0,1,16.0,16.0,87.9%,2021,RB,17
15,Sony Michel,FA,19,74,3.9,14,0,1,3,5,25,8.3,0,0,1,15.9,15.9,0.0%,2021,RB,17
16,Jaret Patterson,LAC,12,57,4.8,11,0,1,5,5,41,8.2,0,0,1,15.8,15.8,0.0%,2021,RB,17
17,Ty Johnson,BUF,5,35,7.0,22,1,1,3,4,47,15.7,0,0,1,14.2,14.2,5.6%,2021,RB,17
18,Josh Jacobs,GB,16,63,3.9,9,0,1,4,4,17,4.3,0,0,1,14.0,14.0,96.3%,2021,RB,17
19,Dontrell Hilliard,FA,8,45,5.6,39,1,1,3,3,33,11.0,0,0,1,13.8,13.8,0.0%,2021,RB,17
20,Dare Ogunbowale,HOU,9,36,4.0,5,0,0,2,2,32,16.0,1,0,1,12.8,12.8,1.0%,2021,RB,17
21,Chuba Hubbard,CAR,17,55,3.2,21,1,1,3,4,13,4.3,0,0,1,12.8,12.8,73.0%,2021,RB,17
22,Mike Davis,FA,8,42,5.3,13,0,1,1,2,15,15.0,0,0,1,11.7,11.7,1.0%,2021,RB,17
23,Aaron Jones Sr.,MIN,8,76,9.5,28,2,0,5,6,30,6.0,0,0,1,10.6,10.6,91.4%,2021,RB,17
24,Jamaal Williams,FA,11,22,2.0,6,0,1,3,3,22,7.3,0,0,1,10.4,10.4,2.5%,2021,RB,17
25,Saquon Barkley,PHI,21,102,4.9,10,0,0,0,1,0,0,0,0,1,10.2,10.2,97.8%,2021,RB,17
26,Joe Mixon,HOU,12,46,3.8,13,0,0,7,8,40,5.7,0,0,1,8.6,8.6,93.9%,2021,RB,17
27,Chase Edmonds,TB,18,53,2.9,14,0,0,5,6,29,5.8,0,0,1,8.2,8.2,0.1%,2021,RB,17
28,Rex Burkhead,FA,16,47,2.9,8,0,0,6,6,32,5.3,0,0,1,7.9,7.9,10.0%,2021,RB,17
29,Devonta Freeman,FA,14,76,5.4,32,1,0,1,1,1,1.0,0,0,1,7.7,7.7,0.0%,2021,RB,17
30,Melvin Gordon III,FA,10,43,4.3,12,0,0,3,4,29,9.7,0,0,1,7.2,7.2,0.1%,2021,RB,17
31,Duke Johnson Jr.,FA,7,49,7.0,16,0,0,2,3,16,8.0,0,0,1,6.5,6.5,0.0%,2021,RB,17
32,Michael Carter,ARI,3,54,18.0,55,1,0,1,1,9,9.0,0,0,1,6.3,6.3,14.7%,2021,RB,17
33,Justin Jackson,FA,12,41,3.4,7,0,0,3,3,20,6.7,0,0,1,6.1,6.1,0.0%,2021,RB,17
34,Tony Pollard,TEN,3,9,3.0,5,0,0,3,5,49,16.3,0,0,1,5.8,5.8,80.4%,2021,RB,17
35,Nick Chubb,CLE,12,58,4.8,32,1,0,0,1,0,0,0,0,1,5.8,5.8,55.1%,2021,RB,17
36,Le'Veon Bell,FA,3,5,1.7,2,0,0,3,3,30,10.0,0,0,1,5.5,5.5,0.2%,2021,RB,17
37,Ameer Abdullah,LV,6,21,3.5,15,0,0,4,4,31,7.8,0,0,1,5.2,5.2,25.1%,2021,RB,17
38,Cordarrelle Patterson,PIT,9,28,3.1,13,0,0,2,2,24,12.0,0,0,1,5.2,5.2,1.6%,2021,RB,17
39,Austin Walter,FA,14,49,3.5,14,0,0,0,0,0,0,0,0,1,4.9,4.9,0.0%,2021,RB,17
40,Devontae Booker,FA,18,46,2.6,5,0,0,2,3,0,0.0,0,0,1,4.6,4.6,0.0%,2021,RB,17
41,Ke'Shawn Vaughn,FA,8,31,3.9,11,0,0,2,3,14,7.0,0,0,1,4.5,4.5,0.1%,2021,RB,17
42,Derrick Gore,FA,3,37,12.3,23,1,0,1,1,8,8.0,0,0,1,4.5,4.5,0.0%,2021,RB,17
43,Zack Moss,CIN,5,39,7.8,12,0,0,0,0,0,0,0,0,1,3.9,3.9,33.5%,2021,RB,17
44,D'Andre Swift,CHI,4,32,8.0,31,1,0,2,3,7,3.5,0,0,1,3.9,3.9,83.1%,2021,RB,17
45,Ryquell Armstead,FA,6,28,4.7,9,0,0,1,2,6,6.0,0,0,1,3.4,3.4,0.2%,2021,RB,17
46,Javonte Williams,DEN,14,30,2.1,7,0,0,1,1,2,2.0,0,0,1,3.2,3.2,69.2%,2021,RB,17
47,Latavius Murray,FA,11,31,2.8,6,0,0,0,0,0,0,0,0,1,3.1,3.1,0.0%,2021,RB,17
48,Ezekiel Elliott,FA,9,16,1.8,6,0,0,1,2,14,14.0,0,0,1,3.0,3.0,20.4%,2021,RB,17
49,Travis Homer,CHI,6,27,4.5,13,0,0,0,0,0,0,0,0,1,2.7,2.7,1.3%,2021,RB,17
50,Ronald Jones II,FA,10,26,2.6,7,0,0,1,1,1,1.0,0,0,1,2.7,2.7,0.0%,2021,RB,17
51,Jonathan Ward,PIT,2,3,1.5,2,0,0,1,1,23,23.0,0,0,1,2.6,2.6,0.0%,2021,RB,17
52,Jordan Howard,FA,11,26,2.4,7,0,0,0,1,0,0,0,0,1,2.6,2.6,0.0%,2021,RB,17
53,Royce Freeman,FA,6,25,4.2,8,0,0,0,1,0,0,0,0,1,2.5,2.5,0.0%,2021,RB,17
54,Brandon Bolden,FA,1,4,4.0,4,0,0,2,3,21,10.5,0,0,1,2.5,2.5,0.0%,2021,RB,17
55,Jalen Richard,FA,1,4,4.0,4,0,0,1,1,19,19.0,0,0,1,2.3,2.3,1.0%,2021,RB,17
56,Myles Gaskin,FA,5,23,4.6,8,0,0,0,1,0,0,0,0,1,2.3,2.3,0.0%,2021,RB,17
57,Wendell Smallwood,FA,4,12,3.0,4,0,0,2,3,10,5.0,0,0,1,2.2,2.2,0.0%,2021,RB,17
58,Jaylen Samuels,FA,3,7,2.3,3,0,0,3,3,14,4.7,0,0,1,2.1,2.1,0.0%,2021,RB,17
59,Qadree Ollison,FA,3,19,6.3,11,0,0,0,0,0,0,0,0,1,1.9,1.9,0.0%,2021,RB,17
60,Nyheim Hines,FA,2,4,2.0,3,0,0,4,4,14,3.5,0,0,1,1.8,1.8,0.1%,2021,RB,17
61,Patrick Taylor Jr.,SF,6,18,3.0,11,0,0,0,0,0,0,0,0,1,1.8,1.8,16.6%,2021,RB,17
62,D'Ernest Johnson,JAC,5,13,2.6,4,0,0,1,3,1,1.0,0,0,1,1.4,1.4,1.1%,2021,RB,17
63,Jeremy McNichols,WAS,2,14,7.0,12,0,0,0,0,0,0,0,0,1,1.4,1.4,3.0%,2021,RB,17
