Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Nick Chubb,CLE,17,87,5.1,22,1,3,3,3,26,8.7,0,0,1,29.3,29.3,55.1%,2022,RB,2
2,Aaron Jones Sr.,MIN,15,132,8.8,36,1,1,3,3,38,12.7,1,0,1,29.0,29.0,91.4%,2022,RB,2
3,Tony Pollard,TEN,9,43,4.8,17,0,1,4,7,55,13.8,0,0,1,15.8,15.8,80.4%,2022,RB,2
4,Damien Harris,FA,15,71,4.7,16,0,1,2,2,16,8.0,0,0,1,14.7,14.7,9.0%,2022,RB,2
5,D'Andre Swift,CHI,5,56,11.2,50,1,0,2,5,31,15.5,1,0,1,14.7,14.7,83.1%,2022,RB,2
6,James Robinson,FA,23,64,2.8,37,1,1,2,2,14,7.0,0,0,1,13.8,13.8,0.0%,2022,RB,2
7,David Montgomery,DET,15,122,8.1,28,1,0,2,2,14,7.0,0,0,1,13.6,13.6,75.4%,2022,RB,2
8,Christian McCaffrey,SF,15,102,6.8,49,1,0,4,5,26,6.5,0,0,1,12.8,12.8,66.6%,2022,RB,2
9,Darrel Williams,FA,8,59,7.4,30,1,1,2,3,3,1.5,0,0,1,12.2,12.2,0.0%,2022,RB,2
10,Breece Hall,NYJ,7,50,7.1,23,1,0,1,1,10,10.0,1,0,1,12.0,12.0,91.6%,2022,RB,2
11,Clyde Edwards-Helaire,NO,8,74,9.3,52,1,0,4,4,44,11.0,0,0,1,11.8,11.8,7.2%,2022,RB,2
12,Darrell Henderson Jr.,FA,10,47,4.7,13,0,1,0,0,0,0,0,0,1,10.7,10.7,5.0%,2022,RB,2
13,Jeff Wilson Jr.,MIA,18,84,4.7,16,0,0,2,2,19,9.5,0,0,1,10.3,10.3,0.6%,2022,RB,2
14,Antonio Gibson,NE,14,28,2.0,8,0,1,2,4,13,6.5,0,0,1,10.1,10.1,22.5%,2022,RB,2
15,Austin Ekeler,WAS,14,39,2.8,8,0,0,9,10,55,6.1,0,0,1,9.4,9.4,51.4%,2022,RB,2
16,Najee Harris,PIT,15,49,3.3,8,0,0,5,6,40,8.0,0,0,1,8.9,8.9,85.5%,2022,RB,2
17,Saquon Barkley,PHI,21,72,3.4,16,0,0,3,4,16,5.3,0,0,1,8.8,8.8,97.8%,2022,RB,2
18,Miles Sanders,CAR,17,80,4.7,12,0,0,3,3,6,2.0,0,0,1,8.6,8.6,5.1%,2022,RB,2
19,Derrick Henry,BAL,13,25,1.9,9,0,1,0,0,0,0,0,0,1,8.5,8.5,97.5%,2022,RB,2
20,Javonte Williams,DEN,15,75,5.0,17,0,0,1,4,10,10.0,0,0,1,8.5,8.5,69.2%,2022,RB,2
21,Joe Mixon,HOU,19,57,3.0,10,0,0,3,4,26,8.7,0,0,1,8.3,8.3,93.9%,2022,RB,2
22,Josh Jacobs,GB,19,69,3.6,13,0,0,1,1,12,12.0,0,0,1,8.1,8.1,96.3%,2022,RB,2
23,Raheem Mostert,FA,11,51,4.6,11,0,0,3,3,28,9.3,0,0,1,7.9,7.9,42.9%,2022,RB,2
24,Dameon Pierce,HOU,15,69,4.6,12,0,0,1,1,8,8.0,0,0,1,7.7,7.7,9.3%,2022,RB,2
25,Reggie Gilliam,BUF,0,0,0,0,0,0,2,3,17,8.5,1,0,1,7.7,7.7,0.0%,2022,RB,2
26,Jerick McKinnon,FA,4,12,3.0,5,0,0,2,2,4,2.0,1,0,1,7.6,7.6,0.0%,2022,RB,2
27,Kareem Hunt,KC,13,58,4.5,13,0,0,2,2,16,8.0,0,0,1,7.4,7.4,48.5%,2022,RB,2
28,Leonard Fournette,FA,24,65,2.7,13,0,0,2,4,9,4.5,0,0,1,7.4,7.4,2.1%,2022,RB,2
29,AJ Dillon,GB,18,61,3.4,11,0,0,1,3,6,6.0,0,0,1,6.7,6.7,3.7%,2022,RB,2
30,Jonathan Taylor,IND,9,54,6.0,21,2,0,1,1,9,9.0,0,0,1,6.3,6.3,92.9%,2022,RB,2
31,J.D. McKissic,FA,3,9,3.0,4,0,0,7,7,54,7.7,0,0,1,6.3,6.3,1.0%,2022,RB,2
32,Cam Akers,MIN,15,44,2.9,8,0,0,2,3,18,9.0,0,0,1,6.2,6.2,14.2%,2022,RB,2
33,Kyle Juszczyk,SF,2,1,0.5,1,0,1,0,1,0,0,0,0,1,6.1,6.1,1.2%,2022,RB,2
34,Zander Horvath,FA,0,0,0,0,0,0,1,2,1,1.0,1,0,1,6.1,6.1,1.2%,2022,RB,2
35,Jamaal Williams,FA,12,53,4.4,12,0,0,1,1,7,7.0,0,0,1,6.0,6.0,2.5%,2022,RB,2
36,Travis Etienne Jr.,JAC,9,20,2.2,6,0,0,3,3,33,11.0,0,0,1,5.3,5.3,81.7%,2022,RB,2
37,James Cook,BUF,11,53,4.8,33,1,0,0,1,0,0,0,0,1,5.3,5.3,93.1%,2022,RB,2
38,Melvin Gordon III,FA,10,47,4.7,9,0,0,1,1,6,6.0,0,0,1,5.3,5.3,0.1%,2022,RB,2
39,James Conner,ARI,7,25,3.6,6,0,0,2,4,26,13.0,0,0,1,5.1,5.1,82.6%,2022,RB,2
40,Rhamondre Stevenson,NE,9,47,5.2,8,0,0,1,2,4,4.0,0,0,1,5.1,5.1,80.6%,2022,RB,2
41,Eno Benjamin,FA,8,31,3.9,7,0,0,3,4,20,6.7,0,0,1,5.1,5.1,0.0%,2022,RB,2
42,Michael Carter,ARI,7,23,3.3,8,0,0,5,5,27,5.4,0,0,1,5.0,5.0,14.7%,2022,RB,2
43,Ezekiel Elliott,FA,15,53,3.5,11,0,0,1,2,-4,-4.0,0,0,1,4.9,4.9,20.4%,2022,RB,2
44,Travis Homer,CHI,2,9,4.5,5,0,0,4,4,33,8.3,0,0,1,4.2,4.2,1.3%,2022,RB,2
45,Cordarrelle Patterson,PIT,10,41,4.1,11,0,0,0,1,0,0,0,0,1,4.1,4.1,1.6%,2022,RB,2
46,Mark Ingram II,FA,10,58,5.8,12,0,0,2,2,3,1.5,0,1,1,4.1,4.1,3.0%,2022,RB,2
47,Chase Edmonds,TB,5,33,6.6,28,1,0,1,3,8,8.0,0,0,1,4.1,4.1,0.1%,2022,RB,2
48,Khalil Herbert,CIN,4,38,9.5,27,1,0,1,1,3,3.0,0,0,1,4.1,4.1,11.3%,2022,RB,2
49,Hassan Haskins,LAC,9,37,4.1,9,0,0,1,1,0,0.0,0,0,1,3.7,3.7,0.9%,2022,RB,2
50,Nyheim Hines,FA,1,0,0.0,0,0,0,4,5,37,9.3,0,0,1,3.7,3.7,0.1%,2022,RB,2
51,Dalvin Cook,FA,6,17,2.8,6,0,0,4,6,19,4.8,0,0,1,3.6,3.6,0.9%,2022,RB,2
52,Tyrion Davis-Price,PHI,14,33,2.4,20,1,0,0,0,0,0,0,0,1,3.3,3.3,0.1%,2022,RB,2
53,Tyler Allgeier,ATL,10,30,3.0,9,0,0,0,0,0,0,0,0,1,3.0,3.0,36.7%,2022,RB,2
54,Craig Reynolds,DET,3,16,5.3,11,0,0,1,1,13,13.0,0,0,1,2.9,2.9,3.5%,2022,RB,2
55,Joshua Kelley,TEN,4,22,5.5,8,0,0,1,2,3,3.0,0,0,1,2.5,2.5,0.0%,2022,RB,2
56,Ameer Abdullah,LV,0,0,0,0,0,0,1,1,23,23.0,0,0,1,2.3,2.3,25.1%,2022,RB,2
57,Boston Scott,FA,4,19,4.8,16,0,0,1,1,2,2.0,0,0,1,2.1,2.1,0.0%,2022,RB,2
58,Devin Singletary,NYG,6,19,3.2,16,0,0,2,3,2,1.0,0,0,1,2.1,2.1,43.6%,2022,RB,2
59,Tony Jones Jr.,FA,2,8,4.0,6,0,0,2,2,12,6.0,0,0,1,2.0,2.0,0.0%,2022,RB,2
60,Sony Michel,FA,4,13,3.3,7,0,0,1,1,6,6.0,0,0,1,1.9,1.9,0.0%,2022,RB,2
61,Kenneth Gainwell,PHI,2,7,3.5,4,0,0,1,2,11,11.0,0,0,1,1.8,1.8,11.7%,2022,RB,2
62,Dwayne Washington,FA,4,18,4.5,8,0,0,0,0,0,0,0,0,1,1.8,1.8,0.0%,2022,RB,2
63,Zack Moss,CIN,3,17,5.7,17,0,0,0,1,0,0,0,0,1,1.7,1.7,33.5%,2022,RB,2
64,Alec Ingold,MIA,1,1,1.0,1,0,0,2,2,15,7.5,0,0,1,1.6,1.6,0.6%,2022,RB,2
65,Justice Hill,BAL,3,16,5.3,13,0,0,0,0,0,0,0,0,1,1.6,1.6,24.4%,2022,RB,2
66,Kenneth Walker III,SEA,4,10,2.5,8,0,0,2,3,5,2.5,0,0,1,1.5,1.5,81.7%,2022,RB,2
67,Rashaad Penny,FA,6,15,2.5,6,0,0,0,0,0,0,0,0,1,1.5,1.5,0.0%,2022,RB,2
68,Jaylen Warren,PIT,4,15,3.8,6,0,0,1,1,0,0.0,0,0,1,1.5,1.5,68.2%,2022,RB,2
