Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Chase Claypool,FA,7,11,110,15.7,35,2,3,3,6,1,0,1,35.6,35.6,1.4%,2020,WR,5
2,Mike Williams,PIT,5,8,109,21.8,64,2,2,0,0,0,0,1,22.9,22.9,18.1%,2020,WR,5
3,Brandin Cooks,DAL,8,12,161,20.1,36,5,1,0,0,0,0,1,22.1,22.1,18.2%,2020,WR,5
4,DK Metcalf,SEA,6,11,93,15.5,39,1,2,0,0,0,0,1,21.3,21.3,88.3%,2020,WR,5
5,Travis Fulgham,FA,10,13,152,15.2,31,2,1,0,0,0,0,1,21.2,21.2,0.0%,2020,WR,5
6,Adam Thielen,CAR,9,13,80,8.9,14,0,2,1,3,0,0,1,20.3,20.3,61.9%,2020,WR,5
7,DeAndre Hopkins,KC,6,7,131,21.8,45,2,1,0,0,0,0,1,19.1,19.1,72.8%,2020,WR,5
8,Henry Ruggs III,FA,2,3,118,59.0,72,2,1,0,0,0,0,1,17.8,17.8,8.4%,2020,WR,5
9,Jamison Crowder,WAS,8,10,116,14.5,52,1,1,0,0,0,0,1,17.6,17.6,0.7%,2020,WR,5
10,Preston Williams,FA,4,5,106,26.5,47,2,1,0,0,0,0,1,16.6,16.6,0.0%,2020,WR,5
11,DJ Moore,CHI,4,5,93,23.3,57,1,1,0,0,0,0,1,15.3,15.3,86.7%,2020,WR,5
12,Tyreek Hill,MIA,3,6,78,26.0,37,2,0,3,15,1,0,1,15.3,15.3,92.8%,2020,WR,5
13,A.J. Brown,PHI,7,9,82,11.7,16,0,1,0,0,0,0,1,14.2,14.2,96.7%,2020,WR,5
14,Marquise Brown,KC,6,10,77,12.8,30,1,1,1,1,0,0,1,13.8,13.8,40.3%,2020,WR,5
15,Calvin Ridley,TEN,8,10,136,17.0,26,4,0,0,0,0,0,1,13.6,13.6,77.8%,2020,WR,5
16,Robert Woods,HOU,4,5,71,17.8,56,1,1,0,0,0,0,1,13.1,13.1,0.6%,2020,WR,5
17,Darius Slayton,NYG,8,11,129,16.1,39,1,0,0,0,0,0,1,12.9,12.9,9.9%,2020,WR,5
18,Nelson Agholor,BAL,2,2,67,33.5,59,1,1,0,0,0,0,1,12.7,12.7,1.2%,2020,WR,5
19,CeeDee Lamb,DAL,8,11,124,15.5,26,3,0,0,0,0,0,1,12.4,12.4,87.2%,2020,WR,5
20,Emmanuel Sanders,FA,12,14,122,10.2,19,0,0,0,0,0,0,1,12.2,12.2,0.0%,2020,WR,5
21,William Fuller V,FA,4,8,58,14.5,19,0,1,0,0,0,0,1,11.8,11.8,0.0%,2020,WR,5
22,Robbie Chosen,FA,8,12,112,14.0,29,2,0,1,3,0,0,1,11.5,11.5,0.0%,2020,WR,5
23,DeVante Parker,FA,2,3,50,25.0,28,2,1,0,0,0,0,1,11.0,11.0,0.0%,2020,WR,5
24,Stefon Diggs,HOU,10,16,106,10.6,19,0,0,0,0,0,0,1,10.6,10.6,46.3%,2020,WR,5
25,Mike Evans,TB,5,9,41,8.2,14,0,1,0,0,0,0,1,10.1,10.1,94.8%,2020,WR,5
26,Rashard Higgins,FA,3,3,31,10.3,15,0,1,0,0,0,0,1,9.1,9.1,0.0%,2020,WR,5
27,Kendrick Bourne,NE,2,4,30,15.0,19,0,1,0,0,0,0,1,9.0,9.0,4.0%,2020,WR,5
28,Collin Johnson,CHI,3,4,30,10.0,19,0,1,0,0,0,0,1,9.0,9.0,0.0%,2020,WR,5
29,Allen Robinson II,DET,10,16,90,9.0,24,1,0,0,0,0,0,1,9.0,9.0,0.8%,2020,WR,5
30,Keenan Allen,CHI,2,2,29,14.5,17,0,1,0,0,0,0,1,8.9,8.9,76.2%,2020,WR,5
31,Jarvis Landry,FA,4,9,88,22.0,32,2,0,0,0,0,0,1,8.8,8.8,7.1%,2020,WR,5
32,Keelan Cole Sr.,FA,2,6,25,12.5,13,0,1,1,2,0,0,1,8.7,8.7,0.0%,2020,WR,5
33,Greg Ward,FA,4,5,26,6.5,11,0,1,0,0,0,0,1,8.6,8.6,0.0%,2020,WR,5
34,Sammy Watkins,FA,2,2,24,12.0,16,0,1,0,0,0,0,1,8.4,8.4,0.0%,2020,WR,5
35,Laviska Shenault Jr.,FA,7,8,79,11.3,25,1,0,0,0,0,0,1,7.9,7.9,0.1%,2020,WR,5
36,Christian Kirk,JAC,5,7,78,15.6,24,2,0,0,0,0,0,1,7.8,7.8,34.9%,2020,WR,5
37,Ray-Ray McCloud III,ATL,3,3,12,4.0,8,0,0,2,63,0,0,1,7.5,7.5,16.2%,2020,WR,5
38,Michael Gallup,FA,4,4,73,18.3,38,1,0,0,0,0,0,1,7.3,7.3,1.0%,2020,WR,5
39,T.Y. Hilton,FA,6,10,69,11.5,18,0,0,0,0,0,0,1,6.9,6.9,1.6%,2020,WR,5
40,Isaiah McKenzie,FA,4,4,7,1.8,9,0,1,0,0,0,0,1,6.7,6.7,0.0%,2020,WR,5
41,Cedrick Wilson Jr.,NO,4,4,22,5.5,10,0,0,0,0,0,0,1,6.6,6.6,0.7%,2020,WR,5
42,Cooper Kupp,LAR,5,8,66,13.2,49,1,0,0,0,0,0,1,6.6,6.6,90.9%,2020,WR,5
43,Odell Beckham Jr.,FA,5,9,58,11.6,26,1,0,1,-1,0,0,1,6.4,6.4,2.6%,2020,WR,5
44,Curtis Samuel,BUF,5,5,36,7.2,17,0,0,4,28,0,0,1,6.4,6.4,17.8%,2020,WR,5
45,Tee Higgins,CIN,4,8,62,15.5,26,1,0,0,0,0,0,1,6.2,6.2,87.7%,2020,WR,5
46,Tyler Johnson,LAR,4,6,61,15.3,35,1,0,0,0,0,0,1,6.1,6.1,0.9%,2020,WR,5
47,Devin Duvernay,JAC,2,2,17,8.5,9,0,0,1,42,0,0,1,5.9,5.9,0.2%,2020,WR,5
48,Chris Conley,SF,2,2,58,29.0,51,1,0,0,0,0,0,1,5.8,5.8,0.1%,2020,WR,5
49,Gabe Davis,JAC,5,9,58,11.6,15,0,0,0,0,0,0,1,5.8,5.8,18.0%,2020,WR,5
50,Cole Beasley,FA,6,6,53,8.8,14,0,0,0,0,0,0,1,5.3,5.3,0.0%,2020,WR,5
51,Marcus Johnson,FA,3,3,53,17.7,36,1,0,0,0,0,0,1,5.3,5.3,0.0%,2020,WR,5
52,Mecole Hardman Jr.,KC,2,3,50,25.0,37,1,0,0,0,0,0,1,5.0,5.0,0.2%,2020,WR,5
53,Randall Cobb,FA,6,6,47,7.8,17,0,0,0,0,0,0,1,4.7,4.7,1.3%,2020,WR,5
54,Josh Reynolds,JAC,2,4,46,23.0,29,1,0,0,0,0,0,1,4.6,4.6,1.6%,2020,WR,5
55,Jalen Guyton,FA,1,3,49,49.0,49,1,0,1,-4,0,0,1,4.5,4.5,0.0%,2020,WR,5
56,Tyler Lockett,FA,4,5,44,11.0,17,0,0,0,0,0,0,1,4.4,4.4,44.2%,2020,WR,5
57,Brandon Aiyuk,SF,3,6,44,14.7,20,1,0,0,0,0,0,1,4.4,4.4,43.5%,2020,WR,5
58,Hunter Renfrow,FA,1,2,42,42.0,42,1,0,0,0,0,0,1,4.2,4.2,0.0%,2020,WR,5
59,Golden Tate,FA,4,5,42,10.5,21,1,0,0,0,0,0,1,4.2,4.2,1.1%,2020,WR,5
60,Tyler Boyd,TEN,4,6,42,10.5,14,0,0,0,0,0,0,1,4.2,4.2,4.6%,2020,WR,5
61,John Hightower,FA,2,6,18,9.0,9,0,0,0,0,0,0,1,3.8,3.8,1.1%,2020,WR,5
62,J.J. Arcega-Whiteside,FA,1,1,37,37.0,37,1,0,0,0,0,0,1,3.7,3.7,0.0%,2020,WR,5
63,Ashton Dulin,IND,1,1,34,34.0,34,1,0,1,3,0,0,1,3.7,3.7,0.0%,2020,WR,5
64,Larry Fitzgerald,FA,4,7,35,8.8,12,0,0,0,0,0,0,1,3.5,3.5,0.6%,2020,WR,5
65,Marquez Callaway,TB,4,6,34,8.5,14,0,0,0,0,0,0,1,3.4,3.4,0.0%,2020,WR,5
66,Andy Isabella,FA,2,3,30,15.0,24,1,0,0,0,0,0,1,3.0,3.0,0.0%,2020,WR,5
67,Anthony Miller,BAL,4,4,28,7.0,10,0,0,0,0,0,0,1,2.8,2.8,0.0%,2020,WR,5
