Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Jordan Addison,MIN,6,6,111,18.5,37,2,2,0,0,0,0,1,23.1,23.1,85.1%,2023,WR,15
2,Jaylen Waddle,MIA,8,9,142,17.8,60,2,1,0,0,0,0,1,20.2,20.2,79.3%,2023,WR,15
3,Terry McLaurin,WAS,6,12,141,23.5,48,3,1,0,0,0,0,1,20.1,20.1,91.3%,2023,WR,15
4,Tee Higgins,CIN,4,8,61,15.3,21,1,2,0,0,0,0,1,18.1,18.1,87.7%,2023,WR,15
5,Deebo Samuel Sr.,WAS,4,7,48,12.0,19,0,2,1,11,0,0,1,17.9,17.9,84.5%,2023,WR,15
6,Tre Tucker,LV,3,4,59,19.7,30,2,2,1,-2,0,0,1,17.7,17.7,12.3%,2023,WR,15
7,Joshua Palmer,LAC,4,4,113,28.3,79,2,1,0,0,0,0,1,17.3,17.3,18.9%,2023,WR,15
8,Amon-Ra St. Brown,DET,7,9,112,16.0,29,3,1,0,0,0,0,1,17.2,17.2,97.2%,2023,WR,15
9,Cooper Kupp,LAR,8,8,111,13.9,62,1,1,0,0,0,0,1,17.1,17.1,90.9%,2023,WR,15
10,Amari Cooper,BUF,4,8,109,27.3,51,2,1,0,0,0,0,1,16.9,16.9,75.3%,2023,WR,15
11,Curtis Samuel,BUF,5,9,41,8.2,19,0,2,0,0,0,0,1,16.1,16.1,17.8%,2023,WR,15
12,Davante Adams,FA,8,12,101,12.6,24,2,1,0,0,0,0,1,16.1,16.1,91.0%,2023,WR,15
13,Chris Godwin,TB,10,12,155,15.5,25,4,0,0,0,0,0,1,15.5,15.5,45.3%,2023,WR,15
14,Rashee Rice,KC,9,9,91,10.1,24,2,1,0,0,0,0,1,15.1,15.1,42.8%,2023,WR,15
15,Noah Brown,WAS,8,11,82,10.3,22,2,1,0,0,0,0,1,14.2,14.2,5.8%,2023,WR,15
16,Jakobi Meyers,LV,2,4,32,16.0,22,1,1,0,0,0,0,1,13.7,13.7,72.7%,2023,WR,15
17,Jamal Agnew,FA,2,2,70,35.0,65,1,1,0,0,0,0,1,13.0,13.0,0.0%,2023,WR,15
