Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Travis Kelce,KC,9,9,124,13.8,40,1,0,0,0,0,0,1,12.4,12.4,94.1%,2023,TE,6
2,Dalton Schultz,HOU,4,7,61,15.3,31,1,1,0,0,0,0,1,12.1,12.1,54.4%,2023,TE,6
3,Kyle Pitts,ATL,4,6,43,10.8,19,0,1,0,0,0,0,1,10.3,10.3,73.0%,2023,TE,6
4,Jonnu Smith,MIA,4,5,36,9.0,17,0,1,0,0,0,0,1,9.6,9.6,77.6%,2023,TE,6
5,Brenton Strange,JAC,2,3,27,13.5,17,0,1,0,0,0,0,1,8.7,8.7,19.5%,2023,TE,6
6,Gerald Everett,FA,3,5,16,5.3,15,0,1,1,2,0,0,1,7.8,7.8,1.4%,2023,TE,6
7,Michael Mayer,LV,5,6,75,15.0,32,1,0,0,0,0,0,1,7.5,7.5,13.6%,2023,TE,6
8,Quintin Morris,BUF,1,1,15,15.0,15,0,1,0,0,0,0,1,7.5,7.5,0.1%,2023,TE,6
9,Mark Andrews,BAL,4,6,69,17.3,38,2,0,1,0,0,0,1,6.9,6.9,89.5%,2023,TE,6
10,Kylen Granson,IND,3,4,67,22.3,45,2,0,0,0,0,0,1,6.7,6.7,1.2%,2023,TE,6
11,Trey McBride,ARI,4,5,62,15.5,27,1,0,0,0,0,0,1,6.2,6.2,91.9%,2023,TE,6
12,Taysom Hill,NO,7,8,49,7.0,11,0,0,1,2,0,0,1,5.3,5.3,27.7%,2023,TE,6
13,T.J. Hockenson,MIN,6,8,50,8.3,21,1,0,0,0,0,0,1,5.0,5.0,83.0%,2023,TE,6
14,Darren Waller,FA,5,7,43,8.6,20,1,0,0,0,0,0,1,4.3,4.3,1.1%,2023,TE,6
15,Dallas Goedert,PHI,5,8,42,8.4,13,0,0,0,0,0,0,1,4.2,4.2,57.2%,2023,TE,6
16,Evan Engram,JAC,7,7,41,5.9,19,0,0,0,0,0,0,1,4.1,4.1,57.4%,2023,TE,6
17,Sam LaPorta,DET,4,11,36,9.0,19,0,0,0,0,0,0,1,3.6,3.6,93.3%,2023,TE,6
18,Foster Moreau,NO,4,4,33,8.3,17,0,0,0,0,0,0,1,3.3,3.3,2.4%,2023,TE,6
19,Mike Gesicki,CIN,3,3,28,9.3,15,0,0,0,0,0,0,1,2.8,2.8,29.2%,2023,TE,6
20,Tommy Tremble,CAR,2,2,25,12.5,21,1,0,0,0,0,0,1,2.5,2.5,1.4%,2023,TE,6
21,David Njoku,CLE,3,4,24,8.0,10,0,0,0,0,0,0,1,2.4,2.4,74.6%,2023,TE,6
22,Tyler Conklin,NYJ,3,4,24,8.0,14,0,0,0,0,0,0,1,2.4,2.4,19.2%,2023,TE,6
23,Zach Ertz,WAS,2,5,22,11.0,12,0,0,0,0,0,0,1,2.2,2.2,57.5%,2023,TE,6
24,Colby Parkinson,LAR,3,5,19,6.3,8,0,0,0,0,0,0,1,1.9,1.9,9.6%,2023,TE,6
25,Donald Parham Jr.,PIT,2,3,19,9.5,13,0,0,0,0,0,0,1,1.9,1.9,1.9%,2023,TE,6
26,Austin Hooper,NE,2,2,19,9.5,12,0,0,0,0,0,0,1,1.9,1.9,1.9%,2023,TE,6
27,Chig Okonkwo,TEN,2,4,18,9.0,11,0,0,0,0,0,0,1,1.8,1.8,34.6%,2023,TE,6
28,Tyler Higbee,LAR,2,3,18,9.0,9,0,0,0,0,0,0,1,1.8,1.8,9.2%,2023,TE,6
29,Dawson Knox,BUF,3,6,17,5.7,10,0,0,0,0,0,0,1,1.7,1.7,11.4%,2023,TE,6
30,Hayden Hurst,LAC,1,3,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,2.7%,2023,TE,6
31,Jake Ferguson,DAL,1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,67.5%,2023,TE,6
32,Pharaoh Brown,SEA,1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.1%,2023,TE,6
33,Cade Otton,TB,1,2,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,57.8%,2023,TE,6
