Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Joe Burrow,CIN,34,56,60.7,428,7.6,4,0,3,2,6,0,0,1,33.7,33.7,92.1%,2024,QB,10
2,Lamar Jackson,BAL,25,33,75.8,290,8.8,4,0,0,7,33,0,0,1,32.9,32.9,97.0%,2024,QB,10
3,Jalen Hurts,PHI,14,20,70.0,202,10.1,2,1,5,7,56,2,1,1,30.7,30.7,91.6%,2024,QB,10
4,Kyler Murray,ARI,22,24,91.7,266,11.1,1,0,1,3,21,2,0,1,28.7,28.7,84.0%,2024,QB,10
5,Brock Purdy,SF,25,36,69.4,353,9.8,2,0,3,4,17,0,0,1,23.8,23.8,79.2%,2024,QB,10
6,Derek Carr,NO,16,25,64.0,269,10.8,2,0,0,4,17,0,0,1,20.5,20.5,20.5%,2024,QB,10
7,Josh Allen,BUF,22,37,59.5,280,7.6,0,2,2,8,50,1,0,1,20.2,20.2,97.2%,2024,QB,10
8,Justin Herbert,LAC,14,18,77.8,164,9.1,1,0,0,9,32,1,0,1,19.8,19.8,77.4%,2024,QB,10
9,Russell Wilson,PIT,14,28,50.0,195,7.0,3,1,3,4,3,0,0,1,19.1,19.1,48.0%,2024,QB,10
10,Will Levis,TEN,18,23,78.3,175,7.6,2,0,7,5,41,0,0,1,19.1,19.1,21.1%,2024,QB,10
11,Patrick Mahomes II,KC,28,42,66.7,266,6.3,1,0,4,3,19,0,0,1,16.5,16.5,92.9%,2024,QB,10
12,Bo Nix,DEN,22,30,73.3,215,7.2,2,0,2,3,-5,0,0,1,16.1,16.1,73.0%,2024,QB,10
13,Daniel Jones,MIN,22,37,59.5,190,5.1,0,2,2,7,26,1,0,1,14.2,14.2,13.0%,2024,QB,10
14,Joe Flacco,IND,26,35,74.3,272,7.8,2,3,4,0,0,0,1,1,13.9,13.9,8.4%,2024,QB,10
15,Drake Maye,NE,15,25,60.0,184,7.4,1,1,1,4,24,0,0,1,12.8,12.8,32.1%,2024,QB,10
16,Jared Goff,DET,15,30,50.0,240,8.0,2,5,0,1,2,0,0,1,12.8,12.8,83.6%,2024,QB,10
17,Bryce Young,CAR,15,25,60.0,126,5.0,1,0,1,2,30,0,0,1,12.0,12.0,28.7%,2024,QB,10
18,C.J. Stroud,HOU,19,33,57.6,232,7.0,1,2,4,1,5,0,0,1,11.8,11.8,79.4%,2024,QB,10
19,Kirk Cousins,ATL,23,38,60.5,306,8.1,0,1,3,0,0,0,0,1,11.2,11.2,43.6%,2024,QB,10
20,Matthew Stafford,LAR,32,46,69.6,293,6.4,0,1,4,1,0,0,0,1,10.7,10.7,54.5%,2024,QB,10
21,Sam Darnold,MIN,24,38,63.2,241,6.3,0,3,1,7,28,0,0,1,9.4,9.4,77.4%,2024,QB,10
22,Tua Tagovailoa,MIA,20,28,71.4,207,7.4,1,1,3,1,-1,0,1,1,9.2,9.2,62.5%,2024,QB,10
23,Baker Mayfield,TB,18,29,62.1,116,4.0,1,0,2,3,3,0,0,1,8.9,8.9,86.5%,2024,QB,10
24,Jayden Daniels,WAS,17,34,50.0,202,5.9,0,0,3,3,5,0,0,1,8.6,8.6,94.0%,2024,QB,10
25,Mac Jones,JAC,14,22,63.6,111,5.0,0,2,3,5,8,1,1,1,7.2,7.2,5.6%,2024,QB,10
26,Caleb Williams,CHI,16,30,53.3,120,4.0,0,0,9,2,15,0,0,1,6.3,6.3,55.0%,2024,QB,10
27,Aaron Rodgers,NYJ,22,35,62.9,151,4.3,0,0,3,0,0,0,1,1,4.0,4.0,47.5%,2024,QB,10
28,Trey Lance,DAL,4,6,66.7,21,3.5,0,1,2,3,17,0,0,1,1.5,1.5,2.6%,2024,QB,10
29,Kenny Pickett,PHI,1,2,50.0,5,2.5,0,0,0,1,1,0,0,1,0.3,0.3,4.2%,2024,QB,10
30,Ben DiNucci,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,10
31,Zach Wilson,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%,2024,QB,10
32,Davis Mills,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2024,QB,10
33,J.J. McCarthy,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1%,2024,QB,10
34,Adrian Martinez,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,10
35,Sam Howell,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8%,2024,QB,10
36,Spencer Rattler,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6%,2024,QB,10
37,Emory Jones,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,10
38,Malik Cunningham,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,QB,10
39,Michael Penix Jr.,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1%,2024,QB,10
40,Dorian Thompson-Robinson,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,QB,10
41,Sean Clifford,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2024,QB,10
42,Feleipe Franks,CAR,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,QB,10
