Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Tyler Higbee,LAR,6,8,55,9.2,15,0,2,0,0,0,0,1,17.5,17.5,9.2%,2021,TE,18
2,Dalton Schultz,HOU,3,3,21,7.0,10,0,2,0,0,0,0,1,14.1,14.1,54.4%,2021,TE,18
3,Rob Gronkowski,FA,7,10,137,19.6,42,3,0,0,0,0,0,1,13.7,13.7,2.0%,2021,TE,18
4,Josiah Deguara,JAC,3,4,66,22.0,62,1,1,0,0,0,0,1,12.6,12.6,0.0%,2021,TE,18
5,Anthony Firkser,KC,4,4,56,14.0,24,1,1,0,0,0,0,1,11.6,11.6,0.0%,2021,TE,18
6,Brock Wright,DET,2,2,51,25.5,36,1,1,0,0,0,0,1,11.1,11.1,1.9%,2021,TE,18
7,Travis Kelce,KC,4,5,34,8.5,12,0,1,0,0,0,0,1,9.4,9.4,94.1%,2021,TE,18
8,Hunter Henry,NE,5,6,86,17.2,35,2,0,0,0,0,0,1,8.6,8.6,53.6%,2021,TE,18
9,Mark Andrews,BAL,8,15,85,10.6,28,1,0,1,0,0,0,1,8.5,8.5,89.5%,2021,TE,18
10,Zach Ertz,WAS,7,10,84,12.0,19,0,0,0,0,0,0,1,8.4,8.4,57.5%,2021,TE,18
11,Tyree Jackson,WAS,3,5,22,7.3,13,0,1,0,0,0,0,1,8.2,8.2,0.0%,2021,TE,18
12,Jared Cook,FA,4,7,80,20.0,42,1,0,0,0,0,0,1,8.0,8.0,0.0%,2021,TE,18
13,Adam Trautman,DEN,1,1,18,18.0,18,0,1,0,0,0,0,1,7.8,7.8,1.1%,2021,TE,18
14,Juwan Johnson,NO,1,2,5,5.0,5,0,1,0,0,0,0,1,6.5,6.5,19.4%,2021,TE,18
15,Dawson Knox,BUF,3,5,49,16.3,28,1,0,0,4,0,0,1,5.3,5.3,11.4%,2021,TE,18
16,Pat Freiermuth,PIT,6,9,53,8.8,14,0,0,0,0,0,0,1,5.3,5.3,63.9%,2021,TE,18
17,Foster Moreau,NO,2,2,50,25.0,44,1,0,0,0,0,0,1,5.0,5.0,2.4%,2021,TE,18
18,Cole Kmet,CHI,4,5,48,12.0,20,1,0,0,0,0,0,1,4.8,4.8,42.7%,2021,TE,18
19,Zach Gentry,FA,4,5,39,9.8,25,1,0,0,0,0,0,1,3.9,3.9,0.0%,2021,TE,18
20,Hayden Hurst,LAC,1,1,33,33.0,33,1,0,0,0,0,0,1,3.3,3.3,2.7%,2021,TE,18
21,Durham Smythe,FA,2,2,32,16.0,17,0,0,0,0,0,0,1,3.2,3.2,0.1%,2021,TE,18
22,Mo Alie-Cox,IND,2,3,27,13.5,18,0,0,0,0,0,0,1,2.7,2.7,0.6%,2021,TE,18
23,Dominique Dafney,CAR,1,1,26,26.0,26,1,0,0,0,0,0,1,2.6,2.6,0.0%,2021,TE,18
24,Mike Gesicki,CIN,2,3,22,11.0,13,0,0,0,0,0,0,1,2.2,2.2,29.2%,2021,TE,18
25,Darren Waller,FA,2,9,22,11.0,18,0,0,0,0,0,0,1,2.2,2.2,1.1%,2021,TE,18
26,Gerald Everett,FA,1,3,20,20.0,20,1,0,0,0,0,0,1,2.0,2.0,1.4%,2021,TE,18
