Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Joe Burrow,CIN,27,39,69.2,251,6.4,5,1,1,3,11,0,0,1,30.1,30.1,92.1%,2024,QB,9
2,Jalen Hurts,PHI,18,24,75.0,230,9.6,2,0,3,13,67,1,0,1,29.9,29.9,91.6%,2024,QB,9
3,Geno Smith,SEA,21,34,61.8,363,10.7,3,3,7,6,16,0,0,1,25.1,25.1,49.4%,2024,QB,9
4,Patrick Mahomes II,KC,34,44,77.3,291,6.6,3,0,4,2,9,0,0,1,24.5,24.5,92.9%,2024,QB,9
5,Daniel Jones,MIN,20,26,76.9,174,6.7,2,0,2,7,54,1,1,1,24.4,24.4,13.0%,2024,QB,9
6,Lamar Jackson,BAL,16,19,84.2,280,14.7,3,0,1,3,4,0,0,1,23.6,23.6,97.0%,2024,QB,9
7,Josh Allen,BUF,25,39,64.1,235,6.0,3,1,1,2,7,0,0,1,23.1,23.1,97.2%,2024,QB,9
8,Trevor Lawrence,JAC,16,31,51.6,169,5.5,0,2,2,5,8,2,0,1,21.6,21.6,30.9%,2024,QB,9
9,Sam Darnold,MIN,28,34,82.4,290,8.5,3,2,4,4,14,0,1,1,21.0,21.0,77.4%,2024,QB,9
10,Aaron Rodgers,NYJ,22,32,68.8,211,6.6,3,0,2,1,-1,0,0,1,20.3,20.3,47.5%,2024,QB,9
11,Jayden Daniels,WAS,15,22,68.2,209,9.5,2,0,0,8,35,0,0,1,19.9,19.9,94.0%,2024,QB,9
12,Justin Herbert,LAC,18,27,66.7,282,10.4,2,0,6,3,2,0,0,1,19.5,19.5,77.4%,2024,QB,9
13,Matthew Stafford,LAR,25,44,56.8,298,6.8,2,1,0,1,0,0,0,1,18.9,18.9,54.5%,2024,QB,9
14,Mason Rudolph,TEN,20,33,60.6,240,7.3,2,1,1,4,19,0,0,1,18.5,18.5,3.0%,2024,QB,9
15,Baker Mayfield,TB,23,31,74.2,200,6.5,2,0,2,4,20,0,0,1,18.0,18.0,86.5%,2024,QB,9
16,Kirk Cousins,ATL,19,24,79.2,222,9.3,3,0,2,4,-11,0,1,1,17.8,17.8,43.6%,2024,QB,9
17,Bo Nix,DEN,19,33,57.6,223,6.8,0,1,4,6,36,0,0,1,17.7,17.7,73.0%,2024,QB,9
18,Drake Maye,NE,29,41,70.7,206,5.0,1,2,4,8,95,0,1,1,17.7,17.7,32.1%,2024,QB,9
19,Tua Tagovailoa,MIA,25,28,89.3,231,8.3,2,0,1,2,3,0,0,1,17.5,17.5,62.5%,2024,QB,9
20,Derek Carr,NO,18,31,58.1,236,7.6,1,0,1,0,0,0,0,1,13.4,13.4,20.5%,2024,QB,9
21,Jameis Winston,CLE,26,46,56.5,235,5.1,1,3,6,5,27,0,0,1,13.1,13.1,19.6%,2024,QB,9
22,Dak Prescott,DAL,18,24,75.0,133,5.5,1,0,3,3,30,0,0,1,12.3,12.3,37.8%,2024,QB,9
23,Jordan Love,GB,23,39,59.0,273,7.0,0,1,0,3,0,0,0,1,11.9,11.9,81.9%,2024,QB,9
24,C.J. Stroud,HOU,11,30,36.7,191,6.4,0,0,8,8,59,0,1,1,11.5,11.5,79.4%,2024,QB,9
25,Cooper Rush,DAL,13,25,52.0,115,4.6,1,0,0,1,4,0,0,1,11.0,11.0,6.1%,2024,QB,9
26,Bryce Young,CAR,16,26,61.5,171,6.6,1,1,1,4,9,0,0,1,10.7,10.7,28.7%,2024,QB,9
27,Jared Goff,DET,18,22,81.8,145,6.6,1,0,1,3,-2,0,0,1,9.6,9.6,83.6%,2024,QB,9
28,Caleb Williams,CHI,22,41,53.7,217,5.3,0,0,6,4,5,0,0,1,9.2,9.2,55.0%,2024,QB,9
29,Desmond Ridder,LV,11,16,68.8,74,4.6,1,0,4,1,2,0,1,1,5.2,5.2,2.0%,2024,QB,9
30,Kyler Murray,ARI,13,20,65.0,154,7.7,0,0,3,2,6,0,1,1,4.8,4.8,84.0%,2024,QB,9
31,Joe Flacco,IND,16,27,59.3,179,6.6,0,1,3,2,-1,0,1,1,4.1,4.1,8.4%,2024,QB,9
32,Gardner Minshew II,FA,10,17,58.8,124,7.3,0,0,1,1,0,0,1,1,3.0,3.0,6.2%,2024,QB,9
33,Josh Johnson,BAL,0,0,0,0,0,0,0,0,3,2,0,0,1,0.2,0.2,0.1%,2024,QB,9
34,Justin Fields,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2%,2024,QB,9
35,Zach Wilson,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%,2024,QB,9
36,Kenny Pickett,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2%,2024,QB,9
37,Davis Mills,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2024,QB,9
38,J.J. McCarthy,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1%,2024,QB,9
39,Adrian Martinez,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,9
40,Sam Howell,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8%,2024,QB,9
41,Spencer Rattler,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6%,2024,QB,9
42,Emory Jones,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,9
43,Michael Penix Jr.,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1%,2024,QB,9
44,Will Levis,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1%,2024,QB,9
45,Malik Cunningham,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,QB,9
46,Sean Clifford,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2024,QB,9
47,Mac Jones,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6%,2024,QB,9
48,Feleipe Franks,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,QB,9
