Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Josh Allen,BUF,22,37,59.5,342,9.2,3,0,0,10,82,3,0,1,51.9,51.9,97.2%,2024,QB,14
2,Sam Darnold,MIN,22,28,78.6,347,12.4,5,0,4,4,7,0,0,1,34.6,34.6,77.4%,2024,QB,14
3,Joe Burrow,CIN,33,44,75.0,369,8.4,3,1,2,2,-2,0,0,1,25.6,25.6,92.1%,2024,QB,14
4,Jalen Hurts,PHI,14,21,66.7,108,5.1,2,0,4,8,59,1,0,1,24.2,24.2,91.6%,2024,QB,14
5,Tua Tagovailoa,MIA,33,47,70.2,331,7.0,2,0,0,1,3,0,0,1,23.5,23.5,62.5%,2024,QB,14
6,Jared Goff,DET,32,41,78.0,283,6.9,3,1,1,4,7,0,0,1,23.0,23.0,83.6%,2024,QB,14
7,Brock Purdy,SF,20,25,80.0,325,13.0,2,0,1,5,11,0,0,1,22.1,22.1,79.2%,2024,QB,14
8,Baker Mayfield,TB,18,29,62.1,295,10.2,3,2,4,2,12,0,1,1,21.0,21.0,86.5%,2024,QB,14
9,Matthew Stafford,LAR,23,30,76.7,320,10.7,2,0,0,0,0,0,0,1,20.8,20.8,54.5%,2024,QB,14
10,Kyler Murray,ARI,25,38,65.8,259,6.8,2,2,2,3,16,0,0,1,20.0,20.0,84.0%,2024,QB,14
11,Aaron Rodgers,NYJ,27,39,69.2,339,8.7,1,0,3,0,0,0,0,1,17.6,17.6,47.5%,2024,QB,14
12,Jameis Winston,CLE,24,41,58.5,212,5.2,2,2,3,4,28,0,0,1,17.3,17.3,19.6%,2024,QB,14
13,Russell Wilson,PIT,15,26,57.7,158,6.1,2,0,1,6,17,0,0,1,16.0,16.0,48.0%,2024,QB,14
14,Drew Lock,NYG,21,49,42.9,227,4.6,0,1,2,5,59,0,0,1,16.0,16.0,4.4%,2024,QB,14
15,Cooper Rush,DAL,16,31,51.6,183,5.9,2,1,3,2,5,0,0,1,14.8,14.8,6.1%,2024,QB,14
16,Jordan Love,GB,12,20,60.0,206,10.3,1,0,1,4,23,0,0,1,14.5,14.5,81.9%,2024,QB,14
17,Patrick Mahomes II,KC,24,37,64.9,210,5.7,1,0,3,4,17,0,0,1,14.1,14.1,92.9%,2024,QB,14
