Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Justin Fields,PIT,12,20,60.0,167,8.4,2,1,3,13,147,2,0,1,40.4,40.4,20.2%,2022,QB,10
2,Patrick Mahomes II,KC,26,35,74.3,331,9.5,4,1,0,7,39,0,0,1,32.1,32.1,92.9%,2022,QB,10
3,Tua Tagovailoa,MIA,25,32,78.1,285,8.9,3,0,0,1,0,0,0,1,23.4,23.4,62.5%,2022,QB,10
4,Jalen Hurts,PHI,17,26,65.4,175,6.7,2,1,1,6,28,1,0,1,22.8,22.8,91.6%,2022,QB,10
5,Matt Ryan,FA,21,28,75.0,222,7.9,1,0,1,4,38,1,0,1,22.7,22.7,0.1%,2022,QB,10
6,Josh Allen,BUF,29,43,67.4,330,7.7,1,2,2,6,84,0,1,1,21.6,21.6,97.2%,2022,QB,10
7,Dak Prescott,DAL,27,46,58.7,265,5.8,3,2,2,4,6,0,0,1,21.2,21.2,37.8%,2022,QB,10
8,Trevor Lawrence,JAC,29,40,72.5,259,6.5,2,0,5,4,26,0,0,1,21.0,21.0,30.9%,2022,QB,10
9,Ryan Tannehill,FA,19,36,52.8,255,7.1,2,0,1,2,12,0,0,1,19.4,19.4,1.3%,2022,QB,10
10,Aaron Rodgers,NYJ,14,20,70.0,224,11.2,3,0,2,2,4,0,1,1,19.4,19.4,47.5%,2022,QB,10
11,Geno Smith,SEA,23,33,69.7,275,8.3,2,0,3,4,22,0,1,1,19.2,19.2,49.4%,2022,QB,10
12,Kenny Pickett,PHI,18,30,60.0,199,6.6,0,0,6,8,51,1,0,1,19.1,19.1,4.2%,2022,QB,10
13,Marcus Mariota,WAS,19,30,63.3,186,6.2,2,1,5,3,43,0,0,1,18.7,18.7,2.7%,2022,QB,10
14,Daniel Jones,MIN,13,17,76.5,197,11.6,2,0,3,5,24,0,0,1,18.3,18.3,13.0%,2022,QB,10
15,Derek Carr,NO,24,38,63.2,248,6.5,2,0,2,0,0,0,0,1,17.9,17.9,20.5%,2022,QB,10
16,Kirk Cousins,ATL,30,50,60.0,357,7.1,1,2,4,6,12,0,0,1,17.5,17.5,43.6%,2022,QB,10
17,Tom Brady,FA,22,29,75.9,258,8.9,2,1,0,6,-3,0,0,1,17.0,17.0,5.3%,2022,QB,10
18,Jacoby Brissett,NE,22,35,62.9,212,6.1,1,0,3,7,40,0,0,1,16.5,16.5,3.9%,2022,QB,10
19,Jimmy Garoppolo,LAR,19,28,67.9,240,8.6,0,0,1,5,3,1,0,1,15.9,15.9,2.8%,2022,QB,10
20,Davis Mills,HOU,22,37,59.5,319,8.6,1,1,4,0,0,0,0,1,15.8,15.8,0.1%,2022,QB,10
21,Russell Wilson,PIT,21,42,50.0,286,6.8,1,1,6,7,8,0,0,1,15.2,15.2,48.0%,2022,QB,10
22,Jared Goff,DET,19,26,73.1,236,9.1,1,0,2,4,14,0,0,1,14.8,14.8,83.6%,2022,QB,10
23,Colt McCoy,FA,26,37,70.3,238,6.4,1,0,2,4,4,0,0,1,13.9,13.9,0.0%,2022,QB,10
24,Justin Herbert,LAC,21,35,60.0,196,5.6,1,1,2,5,22,0,0,1,13.0,13.0,77.4%,2022,QB,10
25,John Wolford,JAC,24,36,66.7,212,5.9,1,1,3,3,3,0,1,1,9.8,9.8,0.0%,2022,QB,10
26,Andy Dalton,CAR,17,27,63.0,174,6.4,1,2,2,3,1,0,0,1,9.1,9.1,2.5%,2022,QB,10
27,Taylor Heinicke,LAC,17,29,58.6,211,7.3,0,1,3,5,10,0,1,1,6.4,6.4,1.1%,2022,QB,10
28,P.J. Walker,FA,10,16,62.5,108,6.8,0,0,1,3,14,0,0,1,5.7,5.7,0.0%,2022,QB,10
29,Skylar Thompson,PIT,1,1,100.0,17,17.0,0,0,0,3,0,0,0,1,0.7,0.7,2.0%,2022,QB,10
30,Bryce Perkins,FA,1,1,100.0,-3,-3.0,0,0,0,3,4,0,0,1,0.3,0.3,0.0%,2022,QB,10
31,Trey Lance,DAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.6%,2022,QB,10
32,Chase Daniel,FA,0,2,0.0,0,0.0,0,0,1,0,0,0,0,1,0.0,0.0,0.0%,2022,QB,10
33,Kyle Allen,PIT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.3%,2022,QB,10
34,Taysom Hill,NO,0,1,0.0,0,0.0,0,0,0,3,1,0,0,1,0.0,0.0,27.7%,2022,QB,10
35,Malik Willis,GB,0,0,0,0,0,0,0,0,1,-4,0,1,1,-2.4,-2.4,2.9%,2022,QB,10
