Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,AJ Dillon,GB,21,66,3.1,11,0,2,2,2,62,31.0,0,0,1,24.8,24.8,3.7%,2021,RB,10
2,Rhamondre Stevenson,NE,20,100,5.0,18,0,2,4,5,14,3.5,0,0,1,23.4,23.4,80.6%,2021,RB,10
3,Darrel Williams,FA,11,43,3.9,21,1,0,9,9,101,11.2,1,0,1,20.4,20.4,0.0%,2021,RB,10
4,Antonio Gibson,NE,24,64,2.7,15,0,2,2,2,14,7.0,0,0,1,19.8,19.8,22.5%,2021,RB,10
5,Jonathan Taylor,IND,21,116,5.5,34,2,1,6,8,10,1.7,0,0,1,18.6,18.6,92.9%,2021,RB,10
6,Ezekiel Elliott,FA,14,41,2.9,9,0,2,3,3,15,5.0,0,1,1,17.8,17.8,20.4%,2021,RB,10
7,Dalvin Cook,FA,24,94,3.9,12,0,1,3,5,24,8.0,0,0,1,17.8,17.8,0.9%,2021,RB,10
8,Mark Ingram II,FA,14,47,3.4,13,0,1,4,7,61,15.3,0,0,1,16.8,16.8,3.0%,2021,RB,10
9,Christian McCaffrey,SF,13,95,7.3,15,0,0,10,10,66,6.6,0,0,1,16.1,16.1,66.6%,2021,RB,10
10,D'Ernest Johnson,JAC,19,99,5.2,24,1,0,7,8,58,8.3,0,0,1,15.7,15.7,1.1%,2021,RB,10
11,Matt Breida,FA,3,28,9.3,15,0,1,3,3,22,7.3,1,1,1,15.0,15.0,0.0%,2021,RB,10
12,James Robinson,FA,12,57,4.8,18,0,1,4,5,27,6.8,0,0,1,14.4,14.4,0.0%,2021,RB,10
13,Michael Carter,ARI,16,39,2.4,8,0,1,4,6,43,10.8,0,0,1,14.2,14.2,14.7%,2021,RB,10
14,D'Andre Swift,CHI,33,130,3.9,21,1,0,3,6,5,1.7,0,0,1,13.5,13.5,83.1%,2021,RB,10
15,Najee Harris,PIT,26,105,4.0,12,0,0,4,4,28,7.0,0,0,1,13.3,13.3,85.5%,2021,RB,10
16,James Conner,ARI,10,39,3.9,11,0,1,3,4,25,8.3,0,0,1,12.4,12.4,82.6%,2021,RB,10
17,Austin Ekeler,WAS,11,44,4.0,9,0,0,3,6,15,5.0,1,0,1,11.9,11.9,51.4%,2021,RB,10
18,Godwin Igwebuike,FA,2,56,28.0,42,1,1,0,0,0,0,0,0,1,11.6,11.6,0.0%,2021,RB,10
19,Devin Singletary,NYG,7,43,6.1,15,0,1,1,1,6,6.0,0,0,1,10.9,10.9,43.6%,2021,RB,10
20,Boston Scott,FA,11,81,7.4,23,2,0,2,2,24,12.0,0,0,1,10.5,10.5,0.0%,2021,RB,10
21,Jermar Jefferson,FA,3,41,13.7,28,1,1,0,0,0,0,0,0,1,10.1,10.1,0.6%,2021,RB,10
22,Tony Pollard,TEN,11,42,3.8,15,0,0,6,7,56,9.3,0,0,1,9.8,9.8,80.4%,2021,RB,10
23,Leonard Fournette,FA,11,47,4.3,8,0,0,8,9,45,5.6,0,0,1,9.2,9.2,2.1%,2021,RB,10
24,Elijah Mitchell,SF,27,91,3.4,17,0,0,0,0,0,0,0,0,1,9.1,9.1,5.5%,2021,RB,10
25,Zack Moss,CIN,7,27,3.9,11,0,1,0,0,0,0,0,0,1,8.7,8.7,33.5%,2021,RB,10
26,Chuba Hubbard,CAR,9,27,3.0,16,0,1,0,0,0,0,0,0,1,8.7,8.7,73.0%,2021,RB,10
27,Aaron Jones Sr.,MIN,7,25,3.6,6,0,0,4,6,61,15.3,0,0,1,8.6,8.6,91.4%,2021,RB,10
28,Melvin Gordon III,FA,9,45,5.0,15,0,1,1,4,-2,-2.0,0,1,1,8.3,8.3,0.1%,2021,RB,10
29,Jordan Howard,FA,12,83,6.9,25,1,0,0,0,0,0,0,0,1,8.3,8.3,0.0%,2021,RB,10
30,D'Onta Foreman,CLE,11,30,2.7,6,0,0,2,2,48,24.0,0,0,1,7.8,7.8,3.4%,2021,RB,10
31,Wayne Gallman Jr.,FA,15,55,3.7,17,0,0,1,2,21,21.0,0,0,1,7.6,7.6,0.0%,2021,RB,10
32,Larry Rountree III,FA,5,10,2.0,5,0,1,0,0,0,0,0,0,1,7.0,7.0,0.0%,2021,RB,10
33,Brandon Bolden,FA,3,32,10.7,22,1,0,3,3,38,12.7,0,0,1,7.0,7.0,0.0%,2021,RB,10
34,Devonta Freeman,FA,10,35,3.5,12,0,0,3,4,23,7.7,0,0,1,5.8,5.8,0.0%,2021,RB,10
35,Ameer Abdullah,LV,9,24,2.7,15,0,0,4,4,27,6.8,0,0,1,5.1,5.1,25.1%,2021,RB,10
36,Javonte Williams,DEN,8,48,6.0,20,1,0,2,3,1,0.5,0,0,1,4.9,4.9,69.2%,2021,RB,10
37,Alex Collins,FA,10,41,4.1,10,0,0,1,1,8,8.0,0,0,1,4.9,4.9,19.0%,2021,RB,10
38,Myles Gaskin,FA,14,31,2.2,11,0,0,1,2,14,14.0,0,0,1,4.5,4.5,0.0%,2021,RB,10
39,Darrell Henderson Jr.,FA,5,31,6.2,11,0,0,4,6,10,2.5,0,0,1,4.1,4.1,5.0%,2021,RB,10
