Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Travis Kelce,KC,8,9,121,15.1,35,2,1,0,0,0,0,1,18.1,18.1,94.1%,2022,TE,1
2,O.J. Howard,FA,2,2,38,19.0,22,1,2,0,0,0,0,1,15.8,15.8,0.0%,2022,TE,1
3,Taysom Hill,NO,1,1,2,2.0,2,0,0,4,81,1,0,1,14.3,14.3,27.7%,2022,TE,1
4,Gerald Everett,FA,3,4,54,18.0,25,1,1,0,0,0,0,1,11.4,11.4,1.4%,2022,TE,1
5,Will Dissly,LAC,3,3,43,14.3,38,1,1,0,0,0,0,1,10.3,10.3,22.8%,2022,TE,1
6,Colby Parkinson,LAR,2,2,43,21.5,25,1,1,0,0,0,0,1,10.3,10.3,9.6%,2022,TE,1
7,Zach Ertz,WAS,2,4,14,7.0,8,0,1,0,0,0,0,1,9.4,9.4,57.5%,2022,TE,1
8,Darren Waller,FA,4,6,79,19.8,31,2,0,0,0,0,0,1,7.9,7.9,1.1%,2022,TE,1
9,Tyler Conklin,NYJ,4,7,16,4.0,6,0,1,0,0,0,0,1,7.6,7.6,19.2%,2022,TE,1
10,Pat Freiermuth,PIT,5,10,75,15.0,31,2,0,0,0,0,0,1,7.5,7.5,63.9%,2022,TE,1
11,Dalton Schultz,HOU,7,9,62,8.9,14,0,0,0,0,0,0,1,6.2,6.2,54.4%,2022,TE,1
12,Jody Fortson Jr.,KC,1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,0.0%,2022,TE,1
13,Chris Myarick,FA,1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,0.0%,2022,TE,1
14,Dallas Goedert,PHI,3,4,60,20.0,27,2,0,0,0,0,0,1,6.0,6.0,57.2%,2022,TE,1
15,Ian Thomas,CAR,2,3,53,26.5,50,1,0,0,0,0,0,1,5.3,5.3,0.0%,2022,TE,1
16,Mark Andrews,BAL,5,7,52,10.4,17,0,0,0,0,0,0,1,5.2,5.2,89.5%,2022,TE,1
17,Andrew Beck,NYJ,2,3,52,26.0,27,2,0,0,0,0,0,1,5.2,5.2,0.0%,2022,TE,1
18,Hayden Hurst,LAC,5,8,46,9.2,20,1,0,0,0,0,0,1,4.6,4.6,2.7%,2022,TE,1
19,Logan Thomas,FA,3,6,45,15.0,27,1,0,0,0,0,0,1,4.5,4.5,0.0%,2022,TE,1
20,Juwan Johnson,NO,2,5,43,21.5,26,1,0,0,0,0,0,1,4.3,4.3,19.4%,2022,TE,1
21,Zach Gentry,FA,2,2,40,20.0,32,1,0,0,0,0,0,1,4.0,4.0,0.0%,2022,TE,1
22,Tyler Higbee,LAR,5,11,39,7.8,11,0,0,0,0,0,0,1,3.9,3.9,9.2%,2022,TE,1
23,T.J. Hockenson,MIN,4,7,38,9.5,16,0,0,0,0,0,0,1,3.8,3.8,83.0%,2022,TE,1
24,Robert Tonyan,FA,3,5,36,12.0,23,1,0,0,0,0,0,1,3.6,3.6,0.0%,2022,TE,1
25,Jonnu Smith,MIA,3,4,33,11.0,15,0,0,0,0,0,0,1,3.3,3.3,77.6%,2022,TE,1
26,Albert Okwuegbunam Jr.,IND,5,6,33,6.6,12,0,0,0,0,0,0,1,3.3,3.3,0.0%,2022,TE,1
27,Evan Engram,JAC,4,4,28,7.0,11,0,0,0,0,0,0,1,2.8,2.8,57.4%,2022,TE,1
28,Josiah Deguara,JAC,2,2,28,14.0,15,0,0,0,0,0,0,1,2.8,2.8,0.0%,2022,TE,1
29,Mo Alie-Cox,IND,2,2,26,13.0,13,0,0,0,0,0,0,1,2.6,2.6,0.6%,2022,TE,1
30,Tre' McKitty,CLE,3,4,24,8.0,12,0,0,0,0,0,0,1,2.4,2.4,0.0%,2022,TE,1
31,Armani Rogers,BUF,1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,1.0%,2022,TE,1
32,Kylen Granson,IND,3,7,22,7.3,12,0,0,0,0,0,0,1,2.2,2.2,1.2%,2022,TE,1
33,Hunter Henry,NE,2,3,20,10.0,11,0,0,0,0,0,0,1,2.0,2.0,53.6%,2022,TE,1
34,Geoff Swaim,CLE,3,4,19,6.3,9,0,0,0,0,0,0,1,1.9,1.9,0.0%,2022,TE,1
35,Kyle Pitts,ATL,2,7,19,9.5,11,0,0,0,0,0,0,1,1.9,1.9,73.0%,2022,TE,1
36,Harrison Bryant,LV,2,4,18,9.0,10,0,0,0,0,0,0,1,1.8,1.8,0.0%,2022,TE,1
37,Pharaoh Brown,SEA,1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.1%,2022,TE,1
38,Johnny Mundt,MIN,3,3,17,5.7,12,0,0,0,0,0,0,1,1.7,1.7,0.6%,2022,TE,1
39,Noah Fant,SEA,3,4,16,5.3,13,0,0,0,0,0,0,1,1.6,1.6,21.1%,2022,TE,1
40,Durham Smythe,FA,1,2,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.1%,2022,TE,1
41,Ross Dwelley,ATL,1,2,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%,2022,TE,1
