Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Bucky Irving,TB,25,152,6.1,43,1,1,3,3,33,11.0,0,0,1,24.5,24.5,87.5%,2024,RB,13
2,Bijan Robinson,ATL,26,102,3.9,15,0,1,6,6,33,5.5,0,0,1,19.5,19.5,94.6%,2024,RB,13
3,Najee Harris,PIT,16,75,4.7,20,1,1,6,6,54,9.0,0,0,1,18.9,18.9,85.5%,2024,RB,13
4,Rico Dowdle,DAL,22,112,5.1,22,1,1,3,3,11,3.7,0,0,1,18.3,18.3,73.9%,2024,RB,13
5,James Cook,BUF,14,107,7.6,65,1,1,1,1,13,13.0,0,0,1,18.0,18.0,93.1%,2024,RB,13
6,Joe Mixon,HOU,20,101,5.1,30,1,1,4,6,18,4.5,0,0,1,17.9,17.9,93.9%,2024,RB,13
7,Josh Jacobs,GB,19,43,2.3,11,0,1,4,4,74,18.5,0,0,1,17.7,17.7,96.3%,2024,RB,13
8,Saquon Barkley,PHI,23,107,4.7,25,1,1,2,4,10,5.0,0,0,1,17.7,17.7,97.8%,2024,RB,13
9,Kyren Williams,LAR,15,104,6.9,17,0,1,1,1,9,9.0,0,0,1,17.3,17.3,94.2%,2024,RB,13
10,Brian Robinson Jr.,WAS,16,103,6.4,40,1,1,1,1,6,6.0,0,0,1,16.9,16.9,84.9%,2024,RB,13
11,Jonathan Taylor,IND,25,96,3.8,9,0,0,1,1,7,7.0,1,0,1,16.3,16.3,92.9%,2024,RB,13
12,Chase Brown,CIN,12,70,5.8,40,1,1,3,3,30,10.0,0,0,1,16.0,16.0,85.5%,2024,RB,13
13,Chris Rodriguez Jr.,WAS,13,94,7.2,25,1,1,0,0,0,0,0,0,1,15.4,15.4,2.2%,2024,RB,13
14,De'Von Achane,MIA,7,14,2.0,13,0,0,8,9,56,7.0,1,0,1,13.0,13.0,92.9%,2024,RB,13
15,Ray Davis,BUF,11,63,5.7,13,0,1,1,1,4,4.0,0,0,1,12.7,12.7,28.7%,2024,RB,13
16,Tyrone Tracy Jr.,NYG,9,32,3.6,7,0,1,2,3,33,16.5,0,0,1,12.5,12.5,74.5%,2024,RB,13
17,David Montgomery,DET,21,88,4.2,13,0,0,3,3,36,12.0,0,0,1,12.4,12.4,75.4%,2024,RB,13
18,Antonio Gibson,NE,7,62,8.9,15,0,1,0,0,0,0,0,0,1,12.2,12.2,22.5%,2024,RB,13
19,Alvin Kamara,NO,23,112,4.9,13,0,0,4,6,7,1.8,0,0,1,11.9,11.9,87.9%,2024,RB,13
20,Derrick Henry,BAL,19,82,4.3,19,0,0,3,3,29,9.7,0,0,1,11.1,11.1,97.5%,2024,RB,13
21,Nick Chubb,CLE,9,21,2.3,10,0,0,2,2,24,12.0,1,0,1,10.5,10.5,55.1%,2024,RB,13
22,Zach Charbonnet,SEA,4,28,7.0,11,0,1,2,3,13,6.5,0,0,1,10.1,10.1,76.5%,2024,RB,13
23,Rhamondre Stevenson,NE,18,73,4.1,32,1,0,3,3,21,7.0,0,0,1,9.4,9.4,80.6%,2024,RB,13
24,Isaiah Davis,NYJ,1,4,4.0,4,0,0,3,3,28,9.3,1,0,1,9.2,9.2,7.9%,2024,RB,13
25,Jahmyr Gibbs,DET,9,87,9.7,28,1,0,2,4,17,8.5,0,1,1,8.4,8.4,97.5%,2024,RB,13
26,Jaleel McLaughlin,DEN,14,84,6.0,18,0,0,1,2,0,0.0,0,0,1,8.4,8.4,25.7%,2024,RB,13
27,James Conner,ARI,17,68,4.0,16,0,0,3,4,13,4.3,0,0,1,8.1,8.1,82.6%,2024,RB,13
28,Rachaad White,TB,11,76,6.9,38,1,0,1,1,2,2.0,0,0,1,7.8,7.8,85.8%,2024,RB,13
29,Jordan Mason,SF,13,78,6.0,28,1,0,0,0,0,0,0,0,1,7.8,7.8,27.7%,2024,RB,13
30,Isaac Guerendo,SF,4,19,4.8,15,0,1,1,1,-3,-3.0,0,0,1,7.6,7.6,67.4%,2024,RB,13
31,D'Andre Swift,CHI,11,39,3.5,12,0,0,2,3,35,17.5,0,0,1,7.4,7.4,83.1%,2024,RB,13
32,Aaron Jones Sr.,MIN,5,22,4.4,8,0,0,3,4,6,2.0,1,1,1,6.8,6.8,91.4%,2024,RB,13
33,Christian McCaffrey,SF,7,53,7.6,19,0,0,2,3,14,7.0,0,0,1,6.7,6.7,66.6%,2024,RB,13
34,Sincere McCormick,LV,12,64,5.3,17,0,0,2,2,1,0.5,0,0,1,6.5,6.5,14.0%,2024,RB,13
35,Javonte Williams,DEN,4,1,0.3,2,0,1,1,2,3,3.0,0,0,1,6.4,6.4,69.2%,2024,RB,13
36,Jaylen Warren,PIT,3,9,3.0,6,0,0,4,4,55,13.8,0,0,1,6.4,6.4,68.2%,2024,RB,13
37,Jerome Ford,CLE,9,41,4.6,21,1,0,1,1,21,21.0,0,0,1,6.2,6.2,64.4%,2024,RB,13
38,Michael Burton,DEN,1,1,1.0,1,0,1,0,0,0,0,0,0,1,6.1,6.1,0.1%,2024,RB,13
39,Breece Hall,NYJ,12,60,5.0,12,0,0,0,1,0,0,0,1,1,6.0,6.0,91.6%,2024,RB,13
40,Kene Nwangwu,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0.0%,2024,RB,13
41,Travis Etienne Jr.,JAC,13,46,3.5,9,0,0,3,3,12,4.0,0,0,1,5.8,5.8,81.7%,2024,RB,13
42,Ameer Abdullah,LV,10,39,3.9,11,0,0,2,2,14,7.0,0,0,1,5.3,5.3,25.1%,2024,RB,13
43,Cordarrelle Patterson,PIT,3,16,5.3,12,0,0,3,3,37,12.3,0,0,1,5.3,5.3,1.6%,2024,RB,13
44,Isiah Pacheco,KC,7,44,6.3,34,1,0,1,1,5,5.0,0,0,1,4.9,4.9,84.8%,2024,RB,13
45,Tony Pollard,TEN,8,35,4.4,7,0,0,4,6,33,8.3,0,1,1,4.8,4.8,80.4%,2024,RB,13
46,Kenneth Walker III,SEA,16,49,3.1,11,0,0,2,3,-3,-1.5,0,0,1,4.6,4.6,81.7%,2024,RB,13
