Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Stefon Diggs,HOU,6,7,120,20.0,55,1,3,0,0,0,0,1,30.0,30.0,46.3%,2023,WR,4
2,A.J. Brown,PHI,9,13,175,19.4,59,3,2,0,0,0,0,1,29.5,29.5,96.7%,2023,WR,4
3,Nico Collins,HOU,7,9,168,24.0,52,3,2,0,0,0,0,1,28.8,28.8,95.3%,2023,WR,4
4,Puka Nacua,LAR,9,10,163,18.1,32,5,1,0,0,0,0,1,22.3,22.3,95.5%,2023,WR,4
5,Justin Jefferson,MIN,6,9,85,14.2,30,2,2,0,0,0,0,1,20.5,20.5,98.3%,2023,WR,4
6,Michael Wilson,ARI,7,7,76,10.9,33,1,2,0,0,0,0,1,19.6,19.6,16.9%,2023,WR,4
7,DJ Moore,CHI,8,9,131,16.4,29,3,1,0,0,0,0,1,19.1,19.1,86.7%,2023,WR,4
8,Brandon Aiyuk,SF,6,6,148,24.7,42,4,0,0,0,0,0,1,14.8,14.8,43.5%,2023,WR,4
9,Gabe Davis,JAC,3,3,61,20.3,34,1,1,0,0,0,0,1,12.1,12.1,18.0%,2023,WR,4
10,Allen Lazard,NYJ,3,3,61,20.3,39,1,1,0,0,0,0,1,12.1,12.1,6.7%,2023,WR,4
11,Deven Thompkins,CAR,4,4,45,11.3,26,1,1,1,11,0,0,1,11.6,11.6,0.0%,2023,WR,4
12,Amon-Ra St. Brown,DET,5,7,56,11.2,24,1,1,0,0,0,0,1,11.6,11.6,97.2%,2023,WR,4
13,Chris Godwin,TB,8,11,114,14.3,42,2,0,0,0,0,0,1,11.4,11.4,45.3%,2023,WR,4
14,Braxton Berrios,MIA,6,6,43,7.2,15,0,1,1,11,0,0,1,11.4,11.4,0.8%,2023,WR,4
15,Curtis Samuel,BUF,7,8,51,7.3,15,0,0,1,1,1,0,1,11.2,11.2,17.8%,2023,WR,4
16,Nick Westbrook-Ikhine,TEN,5,6,51,10.2,22,1,1,0,0,0,0,1,11.1,11.1,23.7%,2023,WR,4
17,CeeDee Lamb,DAL,4,6,36,9.0,20,1,1,1,12,0,0,1,10.8,10.8,87.2%,2023,WR,4
18,Calvin Ridley,TEN,2,2,38,19.0,30,1,1,0,0,0,0,1,9.8,9.8,77.8%,2023,WR,4
19,Marquise Brown,KC,7,10,96,13.7,41,1,0,0,0,0,0,1,9.6,9.6,40.3%,2023,WR,4
20,Romeo Doubs,GB,9,13,95,10.6,16,0,0,0,0,0,0,1,9.5,9.5,47.5%,2023,WR,4
21,DK Metcalf,SEA,3,4,34,11.3,16,0,1,0,0,0,0,1,9.4,9.4,88.3%,2023,WR,4
22,Keenan Allen,CHI,3,5,32,10.7,22,1,1,0,0,0,0,1,9.2,9.2,76.2%,2023,WR,4
23,Drake London,ATL,3,7,28,9.3,15,0,1,0,0,0,0,1,8.8,8.8,91.6%,2023,WR,4
24,Courtland Sutton,DEN,3,5,27,9.0,13,0,1,0,0,0,0,1,8.7,8.7,84.6%,2023,WR,4
25,Jahan Dotson,PHI,4,9,27,6.8,10,0,1,0,0,0,0,1,8.7,8.7,11.0%,2023,WR,4
26,Terry McLaurin,WAS,8,10,86,10.8,24,1,0,0,0,0,0,1,8.6,8.6,91.3%,2023,WR,4
27,Christian Watson,GB,2,4,25,12.5,24,1,1,0,0,0,0,1,8.5,8.5,51.0%,2023,WR,4
28,Christian Kirk,JAC,8,12,84,10.5,30,1,0,0,0,0,0,1,8.4,8.4,34.9%,2023,WR,4
29,Adam Thielen,CAR,7,8,76,10.9,22,1,0,1,6,0,0,1,8.2,8.2,61.9%,2023,WR,4
30,DeVonta Smith,PHI,7,9,78,11.1,37,1,0,0,0,0,0,1,7.8,7.8,89.2%,2023,WR,4
31,Joshua Palmer,LAC,3,8,77,25.7,51,1,0,0,0,0,0,1,7.7,7.7,18.9%,2023,WR,4
32,Davante Adams,FA,8,13,75,9.4,19,0,0,0,0,0,0,1,7.5,7.5,91.0%,2023,WR,4
33,Jayden Reed,GB,3,5,55,18.3,44,1,0,0,0,0,0,1,7.5,7.5,82.1%,2023,WR,4
34,Ja'Marr Chase,CIN,7,9,73,10.4,17,0,0,0,0,0,0,1,7.3,7.3,94.0%,2023,WR,4
35,Tyreek Hill,MIA,3,5,58,19.3,20,1,0,1,14,0,0,1,7.2,7.2,92.8%,2023,WR,4
36,Josh Reynolds,JAC,3,6,69,23.0,26,3,0,0,0,0,0,1,6.9,6.9,1.6%,2023,WR,4
37,Derius Davis,LAC,2,2,16,8.0,11,0,0,3,51,0,0,1,6.7,6.7,0.8%,2023,WR,4
38,Trey Palmer,TB,2,3,6,3.0,5,0,1,0,0,0,0,1,6.6,6.6,2.4%,2023,WR,4
39,Brandon Johnson,PIT,1,1,4,4.0,4,0,1,0,0,0,0,1,6.4,6.4,1.0%,2023,WR,4
40,DeAndre Hopkins,KC,4,6,63,15.8,38,1,0,0,0,0,0,1,6.3,6.3,72.8%,2023,WR,4
41,Michael Gallup,FA,5,6,60,12.0,29,1,0,0,0,0,0,1,6.0,6.0,1.0%,2023,WR,4
