Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Sam LaPorta,DET,8,11,84,10.5,45,1,1,0,0,0,0,1,14.4,14.4,93.3%,2023,TE,3
2,Pharaoh Brown,SEA,2,2,71,35.5,58,1,1,0,0,0,0,1,13.1,13.1,0.1%,2023,TE,3
3,Travis Kelce,KC,7,8,69,9.9,24,1,1,0,0,0,0,1,12.9,12.9,94.1%,2023,TE,3
4,Donald Parham Jr.,PIT,2,2,4,2.0,3,0,2,0,0,0,0,1,12.4,12.4,1.9%,2023,TE,3
5,Pat Freiermuth,PIT,3,4,41,13.7,14,0,1,0,0,0,0,1,10.1,10.1,63.9%,2023,TE,3
6,George Kittle,SF,7,9,90,12.9,29,1,0,0,0,0,0,1,9.0,9.0,91.9%,2023,TE,3
7,Brevin Jordan,HOU,2,2,13,6.5,9,0,1,0,0,0,0,1,7.3,7.3,0.7%,2023,TE,3
8,Tyler Higbee,LAR,5,5,71,14.2,22,1,0,0,0,0,0,1,7.1,7.1,9.2%,2023,TE,3
9,Jimmy Graham,FA,1,1,8,8.0,8,0,1,0,0,0,0,1,6.8,6.8,0.1%,2023,TE,3
10,Evan Engram,JAC,7,8,67,9.6,28,1,0,0,0,0,0,1,6.7,6.7,57.4%,2023,TE,3
11,Josh Oliver,MIN,2,2,4,2.0,4,0,1,0,0,0,0,1,6.4,6.4,1.4%,2023,TE,3
12,Andrew Beck,NYJ,0,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0.0%,2023,TE,3
13,T.J. Hockenson,MIN,8,11,78,9.8,21,1,0,0,0,0,1,1,5.8,5.8,83.0%,2023,TE,3
14,Luke Musgrave,GB,6,8,49,8.2,12,0,0,0,0,0,0,1,4.9,4.9,18.1%,2023,TE,3
15,Jake Ferguson,DAL,5,7,48,9.6,12,0,0,0,0,0,0,1,4.8,4.8,67.5%,2023,TE,3
16,Dallas Goedert,PHI,5,7,41,8.2,13,0,0,0,0,0,0,1,4.1,4.1,57.2%,2023,TE,3
17,Noah Fant,SEA,4,5,41,10.3,13,0,0,0,0,0,0,1,4.1,4.1,21.1%,2023,TE,3
