Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Jonathan Taylor,IND,332,"1,811",5.5,83,14,18,40,51,360,9.0,2,2,17,333.1,19.6,92.9%,2021,RB,Full
2,Austin Ekeler,WAS,206,911,4.4,28,3,12,70,94,647,9.2,8,3,16,273.8,17.1,51.4%,2021,RB,Full
3,Joe Mixon,HOU,292,"1,205",4.1,32,6,13,42,48,314,7.5,3,1,16,245.9,15.4,93.9%,2021,RB,Full
4,Najee Harris,PIT,307,"1,200",3.9,37,6,7,74,94,467,6.3,3,0,17,226.7,13.3,85.5%,2021,RB,Full
5,James Conner,ARI,202,752,3.7,35,3,15,37,39,375,10.1,3,0,15,220.7,14.7,82.6%,2021,RB,Full
6,Ezekiel Elliott,FA,237,"1,002",4.2,47,3,10,47,65,287,6.1,2,1,17,205.1,12.1,20.4%,2021,RB,Full
7,Nick Chubb,CLE,228,"1,259",5.5,70,12,8,20,25,174,8.7,1,1,14,195.3,14.0,55.1%,2021,RB,Full
8,Damien Harris,FA,202,929,4.6,64,8,15,18,20,132,7.3,0,2,15,192.1,12.8,9.0%,2021,RB,Full
9,Alvin Kamara,NO,240,898,3.7,30,3,4,47,67,439,9.3,5,0,13,187.7,14.4,87.9%,2021,RB,Full
10,Antonio Gibson,NE,258,"1,037",4.0,27,4,7,42,52,294,7.0,3,4,16,187.1,11.7,22.5%,2021,RB,Full
11,Leonard Fournette,FA,180,812,4.5,47,5,8,69,84,454,6.6,2,0,14,186.6,13.3,2.1%,2021,RB,Full
12,Cordarrelle Patterson,PIT,153,618,4.0,39,2,6,52,69,548,10.5,5,0,16,182.6,11.4,1.6%,2021,RB,Full
13,Aaron Jones Sr.,MIN,171,799,4.7,57,5,4,52,65,391,7.5,6,1,15,177.0,11.8,91.4%,2021,RB,Full
14,Derrick Henry,BAL,219,937,4.3,76,3,10,18,20,154,8.6,0,0,8,175.3,21.9,97.5%,2021,RB,Full
15,Dalvin Cook,FA,249,"1,159",4.7,66,9,6,34,49,224,6.6,0,2,13,172.3,13.3,0.9%,2021,RB,Full
16,Josh Jacobs,GB,217,872,4.0,28,2,9,54,64,348,6.4,0,2,15,172.0,11.5,96.3%,2021,RB,Full
17,Melvin Gordon III,FA,203,918,4.5,70,3,8,28,38,213,7.6,2,3,16,167.2,10.5,0.1%,2021,RB,Full
18,Javonte Williams,DEN,203,903,4.4,49,6,4,43,53,316,7.3,3,1,17,161.9,9.5,69.2%,2021,RB,Full
19,Devin Singletary,NYG,188,870,4.6,46,6,7,40,50,228,5.7,1,0,17,157.8,9.3,43.6%,2021,RB,Full
20,David Montgomery,DET,225,849,3.8,41,5,7,42,51,301,7.2,0,1,14,154.0,11.0,75.4%,2021,RB,Full
21,AJ Dillon,GB,187,803,4.3,36,2,5,34,37,313,9.2,2,1,17,151.6,8.9,3.7%,2021,RB,Full
22,Darrel Williams,FA,144,558,3.9,21,1,6,47,57,452,9.6,2,0,17,149.0,8.8,0.0%,2021,RB,Full
23,D'Andre Swift,CHI,151,617,4.1,57,3,5,62,78,452,7.3,2,1,13,146.9,11.3,83.1%,2021,RB,Full
24,Elijah Mitchell,SF,207,963,4.7,39,6,5,19,20,137,7.2,1,0,12,146.0,12.2,5.5%,2021,RB,Full
25,James Robinson,FA,164,767,4.7,58,4,8,31,46,222,7.2,0,2,14,142.9,10.2,0.0%,2021,RB,Full
26,Darrell Henderson Jr.,FA,149,688,4.6,29,1,5,29,40,176,6.1,3,0,12,134.4,11.2,5.0%,2021,RB,Full
27,Sony Michel,FA,208,845,4.1,39,2,4,21,33,128,6.1,1,1,17,125.3,7.4,0.0%,2021,RB,Full
28,Myles Gaskin,FA,173,612,3.5,30,2,3,49,63,234,4.8,4,1,17,124.6,7.3,0.0%,2021,RB,Full
29,Tony Pollard,TEN,130,719,5.5,58,4,2,39,46,337,8.6,0,0,15,123.6,8.2,80.4%,2021,RB,Full
30,Michael Carter,ARI,147,639,4.3,55,3,4,36,55,325,9.0,0,1,14,118.4,8.5,14.7%,2021,RB,Full
31,Rashaad Penny,FA,119,749,6.3,62,11,6,6,8,48,8.0,0,0,10,115.7,11.6,0.0%,2021,RB,Full
32,Chuba Hubbard,CAR,172,612,3.6,26,3,5,25,37,174,7.0,1,1,16,112.6,7.0,73.0%,2021,RB,Full
33,Devonta Freeman,FA,133,576,4.3,32,4,5,34,42,190,5.6,1,0,16,112.6,7.0,0.0%,2021,RB,Full
34,Saquon Barkley,PHI,162,593,3.7,41,3,2,41,57,263,6.4,2,1,14,107.6,7.7,97.8%,2021,RB,Full
35,Devontae Booker,FA,145,593,4.1,31,3,2,40,45,268,6.7,1,0,16,104.1,6.5,0.0%,2021,RB,Full
36,Rhamondre Stevenson,NE,133,606,4.6,21,1,5,14,18,123,8.8,0,1,12,100.9,8.4,80.6%,2021,RB,Full
37,Chase Edmonds,TB,116,592,5.1,54,3,2,43,53,311,7.2,0,1,12,100.3,8.4,0.1%,2021,RB,Full
38,Clyde Edwards-Helaire,NO,119,517,4.3,17,0,4,19,23,118,6.2,2,2,10,97.5,9.8,7.2%,2021,RB,Full
39,Mike Davis,FA,138,503,3.6,18,0,3,44,58,259,5.9,1,3,17,94.2,5.5,1.0%,2021,RB,Full
40,Alexander Mattison,LV,134,491,3.7,48,2,3,32,39,228,7.1,1,1,16,93.9,5.9,44.8%,2021,RB,Full
41,Jamaal Williams,FA,153,601,3.9,20,1,3,26,28,157,6.0,0,0,13,93.8,7.2,2.5%,2021,RB,Full
42,Latavius Murray,FA,119,501,4.2,46,3,6,10,13,75,7.5,0,0,14,93.6,6.7,0.0%,2021,RB,Full
43,Miles Sanders,CAR,137,754,5.5,38,7,0,26,34,158,6.1,0,1,12,91.2,7.6,5.1%,2021,RB,Full
44,Christian McCaffrey,SF,99,442,4.5,18,0,1,37,41,343,9.3,1,0,7,90.5,12.9,66.6%,2021,RB,Full
45,Kenneth Gainwell,PHI,68,291,4.3,18,0,5,33,50,253,7.7,1,1,16,90.4,5.7,11.7%,2021,RB,Full
