Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Davante Adams,FA,115,149,"1,374",11.9,56,18,18,0,0,0,1,14,243.4,17.4,91.0%,2020,WR,Full
2,Tyreek Hill,MIA,87,135,"1,276",14.7,75,20,15,13,123,2,0,15,241.9,16.1,92.8%,2020,WR,Full
3,Stefon Diggs,HOU,127,166,"1,535",12.1,55,20,8,1,1,0,0,16,201.6,12.6,46.3%,2020,WR,Full
4,Calvin Ridley,TEN,90,143,"1,374",15.3,63,23,9,5,1,0,1,15,191.5,12.8,77.8%,2020,WR,Full
5,DK Metcalf,SEA,83,129,"1,303",15.7,62,17,10,0,0,0,1,16,188.3,11.8,88.3%,2020,WR,Full
6,Justin Jefferson,MIN,88,125,"1,400",15.9,71,23,7,1,2,0,0,16,186.2,11.6,98.3%,2020,WR,Full
7,Adam Thielen,CAR,74,108,925,12.5,51,11,14,3,15,0,0,15,180.0,12.0,61.9%,2020,WR,Full
8,Mike Evans,TB,70,109,"1,006",14.4,50,20,13,0,0,0,0,16,178.6,11.2,94.8%,2020,WR,Full
9,A.J. Brown,PHI,70,106,"1,075",15.4,73,13,11,0,0,0,1,14,177.5,12.7,96.7%,2020,WR,Full
10,DeAndre Hopkins,KC,115,160,"1,407",12.2,60,17,6,1,1,0,2,16,172.8,10.8,72.8%,2020,WR,Full
11,Tyler Lockett,FA,100,132,"1,054",10.5,47,10,10,0,0,0,0,16,165.4,10.3,44.2%,2020,WR,Full
12,Allen Robinson II,DET,102,151,"1,250",12.3,42,22,6,1,-1,0,0,16,160.9,10.1,0.8%,2020,WR,Full
13,Robert Woods,HOU,90,129,936,10.4,56,11,6,24,155,2,1,16,155.1,9.7,0.6%,2020,WR,Full
14,Chase Claypool,FA,62,109,873,14.1,84,14,9,10,16,2,1,16,152.9,9.6,1.4%,2020,WR,Full
15,Marvin Jones Jr.,FA,76,115,978,12.9,43,19,9,0,0,0,0,16,151.8,9.5,0.0%,2020,WR,Full
16,Brandin Cooks,DAL,81,119,"1,150",14.2,57,20,6,0,0,0,0,15,151.0,10.1,18.2%,2020,WR,Full
17,DJ Moore,CHI,66,118,"1,193",18.1,74,19,4,2,22,0,0,15,145.5,9.7,86.7%,2020,WR,Full
18,Keenan Allen,CHI,100,147,992,9.9,28,10,8,1,-1,0,2,14,145.1,10.4,76.2%,2020,WR,Full
19,Amari Cooper,BUF,92,130,"1,114",12.1,69,13,5,6,14,0,0,16,144.8,9.1,75.3%,2020,WR,Full
20,CeeDee Lamb,DAL,74,111,935,12.6,52,18,5,10,82,1,1,16,143.7,9.0,87.2%,2020,WR,Full
21,Nelson Agholor,BAL,48,82,896,18.7,85,15,8,0,0,0,0,16,137.6,8.6,1.2%,2020,WR,Full
22,JuJu Smith-Schuster,KC,97,128,831,8.6,31,13,9,0,0,0,1,16,137.1,8.6,3.9%,2020,WR,Full
23,Terry McLaurin,WAS,87,134,"1,118",12.9,68,17,4,2,30,0,1,15,136.8,9.1,91.3%,2020,WR,Full
24,William Fuller V,FA,53,75,879,16.6,77,14,8,1,0,0,0,11,135.9,12.4,0.0%,2020,WR,Full
25,Curtis Samuel,BUF,77,97,851,11.1,44,12,3,41,200,2,0,15,135.1,9.0,17.8%,2020,WR,Full
26,Diontae Johnson,BAL,88,144,923,10.5,47,10,7,3,15,0,1,15,133.8,8.9,39.6%,2020,WR,Full
27,Robbie Chosen,FA,95,136,"1,096",11.5,75,16,3,4,15,0,1,16,129.1,8.1,0.0%,2020,WR,Full
28,Tee Higgins,CIN,67,108,908,13.6,67,14,6,5,28,0,1,16,127.6,8.0,87.7%,2020,WR,Full
29,Corey Davis,FA,65,92,984,15.1,75,14,5,0,0,0,1,14,126.4,9.0,0.0%,2020,WR,Full
30,Chris Godwin,TB,65,84,840,12.9,47,13,7,0,0,0,0,12,126.0,10.5,45.3%,2020,WR,Full
