Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,George Kittle,SF,3,4,67,22.3,38,1,3,0,0,0,0,1,24.7,24.7,91.9%,2023,TE,5
2,Dallas Goedert,PHI,8,9,117,14.6,49,1,1,0,0,0,0,1,17.7,17.7,57.2%,2023,TE,5
3,Sam LaPorta,DET,3,4,47,15.7,31,1,2,0,0,0,0,1,16.7,16.7,93.3%,2023,TE,5
4,Travis Kelce,KC,10,11,67,6.7,14,0,1,0,0,0,0,1,12.7,12.7,94.1%,2023,TE,5
5,Dalton Schultz,HOU,7,10,65,9.3,18,0,1,0,0,0,0,1,12.5,12.5,54.4%,2023,TE,5
6,Logan Thomas,FA,9,11,77,8.6,24,1,1,0,0,0,1,1,11.7,11.7,0.0%,2023,TE,5
7,Cole Kmet,CHI,5,5,42,8.4,23,1,1,0,0,0,0,1,10.2,10.2,42.7%,2023,TE,5
8,Kyle Pitts,ATL,7,11,87,12.4,20,1,0,0,0,0,0,1,8.7,8.7,73.0%,2023,TE,5
9,Darren Waller,FA,8,11,86,10.8,21,1,0,0,0,0,0,1,8.6,8.6,1.1%,2023,TE,5
10,Adam Trautman,DEN,4,5,26,6.5,12,0,1,0,0,0,0,1,8.6,8.6,1.1%,2023,TE,5
11,Zach Ertz,WAS,2,4,10,5.0,6,0,1,0,0,0,0,1,7.0,7.0,57.5%,2023,TE,5
12,Tyler Conklin,NYJ,4,5,67,16.8,37,1,0,0,0,0,0,1,6.7,6.7,19.2%,2023,TE,5
13,Foster Moreau,NO,1,1,6,6.0,6,0,1,0,0,0,0,1,6.6,6.6,2.4%,2023,TE,5
14,Mark Andrews,BAL,6,10,65,10.8,16,0,0,0,0,0,0,1,6.5,6.5,89.5%,2023,TE,5
15,Tommy Tremble,CAR,1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,1.4%,2023,TE,5
16,T.J. Hockenson,MIN,5,8,51,10.2,19,0,0,0,0,0,0,1,5.1,5.1,83.0%,2023,TE,5
17,Jonnu Smith,MIA,6,7,67,11.2,22,1,0,0,0,0,1,1,4.7,4.7,77.6%,2023,TE,5
18,Michael Mayer,LV,2,3,39,19.5,20,1,0,0,0,0,0,1,3.9,3.9,13.6%,2023,TE,5
19,Luke Musgrave,GB,6,7,34,5.7,8,0,0,0,0,0,0,1,3.4,3.4,18.1%,2023,TE,5
20,Chig Okonkwo,TEN,5,9,33,6.6,11,0,0,0,0,0,0,1,3.3,3.3,34.6%,2023,TE,5
21,Jake Ferguson,DAL,3,3,28,9.3,20,1,0,0,0,0,0,1,2.8,2.8,67.5%,2023,TE,5
22,Evan Engram,JAC,4,8,28,7.0,9,0,0,0,0,0,0,1,2.8,2.8,57.4%,2023,TE,5
23,Ian Thomas,CAR,1,2,28,28.0,28,1,0,0,0,0,0,1,2.8,2.8,0.0%,2023,TE,5
24,Connor Heyward,PIT,3,4,23,7.7,12,0,0,0,0,0,0,1,2.3,2.3,0.1%,2023,TE,5
25,MyCole Pruitt,PIT,1,1,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,1.6%,2023,TE,5
26,Teagan Quitoriano,HOU,1,1,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,0.0%,2023,TE,5
27,Geoff Swaim,CLE,2,2,22,11.0,11,0,0,0,0,0,0,1,2.2,2.2,0.0%,2023,TE,5
28,Trevon Wesco,FA,1,1,21,21.0,21,1,0,0,0,0,0,1,2.1,2.1,0.0%,2023,TE,5
29,Noah Gray,KC,2,2,21,10.5,12,0,0,0,0,0,0,1,2.1,2.1,22.5%,2023,TE,5
30,Hayden Hurst,LAC,3,3,21,7.0,9,0,0,0,0,0,0,1,2.1,2.1,2.7%,2023,TE,5
31,Taysom Hill,NO,1,1,1,1.0,1,0,0,3,19,0,0,1,2.0,2.0,27.7%,2023,TE,5
32,Tyler Higbee,LAR,2,3,20,10.0,12,0,0,0,0,0,0,1,2.0,2.0,9.2%,2023,TE,5
33,Josiah Deguara,JAC,1,1,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.0%,2023,TE,5
34,Dalton Kincaid,BUF,2,2,19,9.5,14,0,0,0,0,0,0,1,1.9,1.9,78.8%,2023,TE,5
35,John Bates,WAS,2,2,19,9.5,10,0,0,0,0,0,0,1,1.9,1.9,1.1%,2023,TE,5
36,Dawson Knox,BUF,3,6,17,5.7,11,0,0,0,0,0,0,1,1.7,1.7,11.4%,2023,TE,5
37,Mike Gesicki,CIN,2,4,17,8.5,9,0,0,0,0,0,0,1,1.7,1.7,29.2%,2023,TE,5
38,Mo Alie-Cox,IND,1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.6%,2023,TE,5
39,Trey McBride,ARI,2,3,17,8.5,13,0,0,0,0,0,0,1,1.7,1.7,91.9%,2023,TE,5
40,Drew Ogletree,IND,2,2,16,8.0,13,0,0,0,0,0,0,1,1.6,1.6,1.1%,2023,TE,5
41,Luke Farrell,JAC,1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.0%,2023,TE,5
42,Brock Wright,DET,3,3,16,5.3,9,0,0,0,0,0,0,1,1.6,1.6,1.9%,2023,TE,5
43,Kylen Granson,IND,2,3,15,7.5,9,0,0,0,0,0,0,1,1.5,1.5,1.2%,2023,TE,5
44,C.J. Uzomah,PHI,2,2,12,6.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2023,TE,5
45,Ben Sims,GB,1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.1%,2023,TE,5
46,Austin Hooper,NE,2,2,11,5.5,7,0,0,0,0,0,0,1,1.1,1.1,1.9%,2023,TE,5
47,Johnny Mundt,MIN,1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.6%,2023,TE,5
