Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Davis Mills,HOU,22,38,57.9,298,7.8,3,2,1,1,6,0,0,1,24.5,24.5,0.1%,2022,QB,18
2,Russell Wilson,PIT,13,24,54.2,283,11.8,3,1,2,8,18,0,0,1,24.1,24.1,48.0%,2022,QB,18
3,Josh Allen,BUF,19,31,61.3,254,8.2,3,1,2,9,16,0,0,1,22.8,22.8,97.2%,2022,QB,18
4,Davis Webb,FA,23,40,57.5,168,4.2,1,0,0,6,41,1,0,1,20.8,20.8,0.0%,2022,QB,18
5,Brock Purdy,SF,15,20,75.0,178,8.9,3,0,4,4,7,0,0,1,19.8,19.8,79.2%,2022,QB,18
6,Deshaun Watson,CLE,19,29,65.5,230,7.9,2,2,7,6,44,0,0,1,19.6,19.6,14.6%,2022,QB,18
7,Sam Howell,SEA,11,19,57.9,169,8.9,1,1,3,5,35,1,0,1,19.3,19.3,5.8%,2022,QB,18
8,Mac Jones,JAC,26,40,65.0,243,6.1,3,3,1,4,5,0,0,1,19.2,19.2,5.6%,2022,QB,18
9,Justin Herbert,LAC,25,37,67.6,273,7.4,2,0,1,2,-1,0,0,1,18.8,18.8,77.4%,2022,QB,18
10,Sam Ehlinger,IND,23,35,65.7,209,6.0,2,2,2,5,21,0,0,1,16.5,16.5,0.0%,2022,QB,18
11,Desmond Ridder,LV,19,30,63.3,224,7.5,2,0,2,2,9,0,1,1,15.9,15.9,2.0%,2022,QB,18
12,Geno Smith,SEA,19,31,61.3,213,6.9,1,2,3,4,51,0,0,1,15.6,15.6,49.4%,2022,QB,18
13,Patrick Mahomes II,KC,18,26,69.2,202,7.8,1,0,2,3,29,0,0,1,15.0,15.0,92.9%,2022,QB,18
14,Jarrett Stidham,DEN,22,36,61.1,219,6.1,1,1,6,7,50,0,1,1,14.8,14.8,1.4%,2022,QB,18
15,Kenny Pickett,PHI,13,29,44.8,195,6.7,1,0,1,3,1,0,0,1,13.9,13.9,4.2%,2022,QB,18
16,Kirk Cousins,ATL,17,20,85.0,225,11.3,1,0,0,0,0,0,0,1,13.0,13.0,43.6%,2022,QB,18
17,Aaron Rodgers,NYJ,17,27,63.0,205,7.6,1,1,2,3,10,0,0,1,12.2,12.2,47.5%,2022,QB,18
18,Joe Burrow,CIN,25,42,59.5,215,5.1,1,0,2,3,10,0,1,1,11.6,11.6,92.1%,2022,QB,18
19,Joshua Dobbs,SF,20,29,69.0,179,6.2,1,1,4,5,32,0,1,1,11.4,11.4,2.4%,2022,QB,18
20,Andy Dalton,CAR,15,25,60.0,171,6.8,1,0,1,1,2,0,0,1,11.0,11.0,2.5%,2022,QB,18
21,Trevor Lawrence,JAC,20,32,62.5,212,6.6,1,0,1,4,-3,0,1,1,10.2,10.2,30.9%,2022,QB,18
22,Dak Prescott,DAL,14,37,37.8,128,3.5,1,1,1,6,16,0,0,1,9.7,9.7,37.8%,2022,QB,18
23,Jared Goff,DET,23,34,67.6,224,6.6,0,0,1,2,5,0,0,1,9.5,9.5,83.6%,2022,QB,18
24,Jalen Hurts,PHI,20,35,57.1,229,6.5,0,1,3,9,13,0,0,1,9.5,9.5,91.6%,2022,QB,18
25,Nathan Peterman,FA,11,19,57.9,114,6.0,1,0,1,2,7,0,0,1,9.3,9.3,0.0%,2022,QB,18
26,Tom Brady,FA,13,17,76.5,84,4.9,1,0,0,0,0,0,0,1,7.4,7.4,5.3%,2022,QB,18
27,Anthony Brown Jr.,FA,19,44,43.2,286,6.5,0,2,4,0,0,0,1,1,7.4,7.4,0.0%,2022,QB,18
28,Chase Daniel,FA,5,7,71.4,25,3.6,1,0,0,1,4,0,0,1,7.4,7.4,0.0%,2022,QB,18
29,David Blough,FA,14,18,77.8,180,10.0,1,2,3,2,-2,0,1,1,7.0,7.0,0.0%,2022,QB,18
30,Baker Mayfield,TB,13,26,50.0,147,5.7,0,1,5,5,16,0,0,1,6.5,6.5,86.5%,2022,QB,18
31,Skylar Thompson,PIT,20,31,64.5,152,4.9,0,0,1,3,3,0,0,1,6.4,6.4,2.0%,2022,QB,18
32,Joe Flacco,IND,18,33,54.5,149,4.5,0,0,0,0,0,0,0,1,5.7,5.7,8.4%,2022,QB,18
33,Blaine Gabbert,FA,6,8,75.0,29,3.6,1,0,0,0,0,0,0,1,5.2,5.2,1.3%,2022,QB,18
34,Nick Mullens,MIN,11,13,84.6,116,8.9,0,1,0,4,8,0,0,1,4.4,4.4,0.6%,2022,QB,18
35,Sam Darnold,MIN,5,15,33.3,43,2.9,0,2,2,6,32,0,0,1,2.9,2.9,77.4%,2022,QB,18
36,Trace McSorley,FA,6,9,66.7,29,3.2,0,1,0,3,13,0,0,1,1.5,1.5,0.8%,2022,QB,18
37,Jeff Driskel,WAS,2,2,100.0,13,6.5,0,0,0,3,7,0,0,1,1.2,1.2,0.0%,2022,QB,18
38,Kyle Trask,TB,3,9,33.3,23,2.6,0,0,0,0,0,0,0,1,0.9,0.9,1.0%,2022,QB,18
39,Taysom Hill,NO,0,0,0,0,0,0,0,0,5,24,0,0,1,0.0,0.0,27.7%,2022,QB,18
40,Cooper Rush,DAL,0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,6.1%,2022,QB,18
41,Chad Henne,FA,0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.9%,2022,QB,18
42,Tim Boyle,NYG,2,8,25.0,33,4.1,0,2,0,2,-2,0,0,1,-0.9,-0.9,0.0%,2022,QB,18
