Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Jimmy Graham,FA,6,10,60,10.0,29,1,2,0,0,0,0,1,18.0,18.0,0.1%,2020,TE,3
2,Tyler Kroft,FA,4,5,24,6.0,13,0,2,0,0,0,0,1,14.4,14.4,0.0%,2020,TE,3
3,Eric Ebron,FA,5,7,52,10.4,17,0,1,0,0,0,0,1,11.2,11.2,0.0%,2020,TE,3
4,Mo Alie-Cox,IND,3,3,50,16.7,45,1,1,0,0,0,0,1,11.0,11.0,0.6%,2020,TE,3
5,Robert Tonyan,FA,5,5,50,10.0,16,0,1,0,0,0,0,1,11.0,11.0,0.0%,2020,TE,3
6,Jesse James,FA,3,4,28,9.3,15,0,1,0,0,0,0,1,8.8,8.8,0.0%,2020,TE,3
7,Travis Kelce,KC,6,7,87,14.5,29,1,0,0,0,0,0,1,8.7,8.7,94.1%,2020,TE,3
8,Foster Moreau,NO,2,2,25,12.5,24,1,1,0,0,0,0,1,8.5,8.5,2.4%,2020,TE,3
9,Jacob Hollister,FA,1,2,1,1.0,1,0,1,0,0,0,0,1,8.1,8.1,1.4%,2020,TE,3
10,Marcedes Lewis,CHI,1,2,18,18.0,18,0,1,0,0,0,0,1,7.8,7.8,0.1%,2020,TE,3
11,Mike Gesicki,CIN,1,3,15,15.0,15,0,1,0,0,0,0,1,7.5,7.5,29.2%,2020,TE,3
12,Kyle Rudolph,FA,2,3,11,5.5,8,0,1,0,0,0,0,1,7.1,7.1,1.0%,2020,TE,3
13,Zach Ertz,WAS,7,10,70,10.0,30,1,0,0,0,0,0,1,7.0,7.0,57.5%,2020,TE,3
14,Nick Boyle,FA,1,1,5,5.0,5,0,1,0,0,0,0,1,6.5,6.5,0.0%,2020,TE,3
15,Harrison Bryant,LV,1,2,3,3.0,3,0,1,0,0,0,0,1,6.3,6.3,0.0%,2020,TE,3
16,Hayden Hurst,LAC,1,3,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,2.7%,2020,TE,3
17,Jonnu Smith,MIA,5,8,61,12.2,21,1,0,0,0,0,0,1,6.1,6.1,77.6%,2020,TE,3
18,Lee Smith,FA,1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,0.0%,2020,TE,3
19,Greg Olsen,FA,5,6,61,12.2,21,1,0,0,0,0,0,1,6.1,6.1,7.0%,2020,TE,3
20,Tyler Higbee,LAR,2,2,40,20.0,31,1,0,0,0,0,0,1,6.0,6.0,9.2%,2020,TE,3
21,T.J. Hockenson,MIN,4,7,53,13.3,27,1,0,0,0,0,0,1,5.3,5.3,83.0%,2020,TE,3
22,Hunter Henry,NE,5,7,50,10.0,16,0,0,0,0,0,0,1,5.0,5.0,53.6%,2020,TE,3
23,O.J. Howard,FA,3,4,49,16.3,33,1,0,0,0,0,0,1,4.9,4.9,0.0%,2020,TE,3
24,Ross Dwelley,ATL,4,4,49,12.3,20,1,0,0,0,0,0,1,4.9,4.9,0.0%,2020,TE,3
25,Rob Gronkowski,FA,6,7,48,8.0,10,0,0,0,0,0,0,1,4.8,4.8,2.0%,2020,TE,3
26,Dalton Schultz,HOU,4,6,48,12.0,28,1,0,0,0,0,0,1,4.8,4.8,54.4%,2020,TE,3
27,Noah Fant,SEA,5,10,46,9.2,18,0,0,0,0,0,0,1,4.6,4.6,21.1%,2020,TE,3
28,Jace Sternberger,FA,3,3,36,12.0,23,1,0,0,0,0,0,1,3.6,3.6,0.0%,2020,TE,3
29,Vance McDonald,FA,3,3,35,11.7,15,0,0,0,0,0,0,1,3.5,3.5,0.0%,2020,TE,3
30,Gerald Everett,FA,2,2,34,17.0,18,0,0,0,0,0,0,1,3.4,3.4,1.4%,2020,TE,3
31,Logan Thomas,FA,4,7,31,7.8,14,0,0,0,0,0,0,1,3.1,3.1,0.0%,2020,TE,3
32,James O'Shaughnessy,FA,3,4,29,9.7,12,0,0,0,0,0,0,1,2.9,2.9,0.0%,2020,TE,3
33,Jordan Akins,CLE,2,3,28,14.0,20,1,0,0,0,0,0,1,2.8,2.8,1.2%,2020,TE,3
34,Austin Hooper,NE,3,4,25,8.3,10,0,0,0,0,0,0,1,2.5,2.5,1.9%,2020,TE,3
35,Darrell Daniels,FA,2,2,24,12.0,15,0,0,0,0,0,0,1,2.4,2.4,0.0%,2020,TE,3
36,Jordan Reed,FA,2,6,23,11.5,12,0,0,0,0,0,0,1,2.3,2.3,19.0%,2020,TE,3
37,Mark Andrews,BAL,3,8,22,7.3,13,0,0,0,0,0,0,1,2.2,2.2,89.5%,2020,TE,3
38,Evan Engram,JAC,3,5,22,7.3,9,0,0,0,0,0,0,1,2.2,2.2,57.4%,2020,TE,3
39,Chris Herndon IV,FA,3,5,21,7.0,9,0,0,0,0,0,0,1,2.1,2.1,0.0%,2020,TE,3
40,Jared Cook,FA,2,3,21,10.5,13,0,0,0,0,0,0,1,2.1,2.1,0.0%,2020,TE,3
