Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Evan Engram,JAC,11,15,162,14.7,25,3,2,0,0,0,0,1,28.2,28.2,57.4%,2022,TE,14
2,Chig Okonkwo,TEN,6,6,45,7.5,15,0,1,1,0,0,0,1,12.5,12.5,34.6%,2022,TE,14
3,David Njoku,CLE,7,9,59,8.4,14,0,1,1,-2,0,0,1,11.7,11.7,74.6%,2022,TE,14
4,Dawson Knox,BUF,4,7,41,10.3,24,1,1,0,0,0,0,1,10.1,10.1,11.4%,2022,TE,14
5,Pat Freiermuth,PIT,3,6,33,11.0,14,0,1,0,0,0,0,1,9.3,9.3,63.9%,2022,TE,14
6,Dalton Schultz,HOU,6,10,87,14.5,22,2,0,0,0,0,0,1,8.7,8.7,54.4%,2022,TE,14
7,Travis Kelce,KC,4,9,71,17.8,37,1,0,0,0,0,0,1,7.1,7.1,94.1%,2022,TE,14
8,Hunter Henry,NE,3,3,70,23.3,39,2,0,0,0,0,0,1,7.0,7.0,53.6%,2022,TE,14
9,Austin Hooper,NE,5,5,68,13.6,24,1,0,0,0,0,0,1,6.8,6.8,1.9%,2022,TE,14
10,T.J. Hockenson,MIN,6,8,77,12.8,21,1,0,0,0,0,1,1,5.7,5.7,83.0%,2022,TE,14
11,Noah Gray,KC,3,3,45,15.0,25,1,0,0,0,0,0,1,4.5,4.5,22.5%,2022,TE,14
12,Greg Dulcich,NYG,3,8,42,14.0,23,1,0,0,0,0,0,1,4.2,4.2,4.7%,2022,TE,14
13,Tyler Conklin,NYJ,5,8,28,5.6,7,0,0,0,0,0,0,1,2.8,2.8,19.2%,2022,TE,14
14,Gerald Everett,FA,5,8,28,5.6,11,0,0,0,0,0,0,1,2.8,2.8,1.4%,2022,TE,14
15,Cade Otton,TB,4,5,28,7.0,11,0,0,0,0,0,0,1,2.8,2.8,57.8%,2022,TE,14
16,George Kittle,SF,4,5,28,7.0,15,0,0,0,0,0,0,1,2.8,2.8,91.9%,2022,TE,14
17,Trey McBride,ARI,3,6,28,9.3,15,0,0,0,0,0,0,1,2.8,2.8,91.9%,2022,TE,14
18,Grant Calcaterra,PHI,2,4,24,12.0,13,0,0,0,0,0,0,1,2.4,2.4,4.3%,2022,TE,14
19,Chris Manhertz,NYG,1,1,21,21.0,21,1,0,0,0,0,0,1,2.1,2.1,0.0%,2022,TE,14
20,Jack Stoll,MIA,2,2,20,10.0,14,0,0,0,0,0,0,1,2.0,2.0,0.0%,2022,TE,14
21,Will Dissly,LAC,2,3,20,10.0,12,0,0,0,0,0,0,1,2.0,2.0,22.8%,2022,TE,14
22,Daniel Bellinger,NYG,3,3,19,6.3,11,0,0,0,0,0,0,1,1.9,1.9,1.5%,2022,TE,14
23,Shane Zylstra,DET,2,2,18,9.0,14,0,0,0,0,0,0,1,1.8,1.8,1.1%,2022,TE,14
24,Mark Andrews,BAL,2,6,17,8.5,10,0,0,0,0,0,0,1,1.7,1.7,89.5%,2022,TE,14
25,Connor Heyward,PIT,1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.1%,2022,TE,14
26,Cameron Brate,FA,2,4,12,6.0,8,0,0,0,0,0,0,1,1.2,1.2,2.0%,2022,TE,14
27,Ian Thomas,CAR,2,2,11,5.5,8,0,0,0,0,0,0,1,1.1,1.1,0.0%,2022,TE,14
28,Ko Kieft,TB,1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%,2022,TE,14
29,Eric Tomlinson,FA,2,3,11,5.5,7,0,0,0,0,0,0,1,1.1,1.1,0.0%,2022,TE,14
30,Tyler Higbee,LAR,2,3,11,5.5,6,0,0,0,0,0,0,1,1.1,1.1,9.2%,2022,TE,14
31,Mitchell Wilcox,FA,1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%,2022,TE,14
32,Colby Parkinson,LAR,1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,9.6%,2022,TE,14
33,Nick Vannett,TEN,1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%,2022,TE,14
34,Harrison Bryant,LV,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%,2022,TE,14
35,Stone Smartt,LAC,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,2.6%,2022,TE,14
36,Brycen Hopkins,FA,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%,2022,TE,14
37,C.J. Uzomah,PHI,1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%,2022,TE,14
38,Stephen Anderson,FA,2,2,7,3.5,6,0,0,0,0,0,0,1,0.7,0.7,0.0%,2022,TE,14
39,Jordan Akins,CLE,1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,1.2%,2022,TE,14
40,Tre' McKitty,CLE,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,2022,TE,14
41,Dan Arnold,FA,1,3,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,2022,TE,14
42,Eric Saubert,SF,1,2,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,1.0%,2022,TE,14
43,Tommy Tremble,CAR,0,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%,2022,TE,14
44,Kenny Yeboah,NYJ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,14
45,Chris Myarick,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,14
46,Zach Gentry,FA,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,14
47,Stephen Sullivan,CAR,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,14
48,Charlie Woerner,ATL,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2022,TE,14
49,Brock Wright,DET,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.9%,2022,TE,14
50,Foster Moreau,NO,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.4%,2022,TE,14
51,Jonnu Smith,MIA,0,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,77.6%,2022,TE,14
52,Kevin Rader,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,14
53,Mike Gesicki,CIN,0,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,29.2%,2022,TE,14
54,Noah Fant,SEA,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,21.1%,2022,TE,14
55,Tyler Kroft,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,14
56,Geoff Swaim,CLE,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,14
