Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Davante Adams,FA,9,12,198,22.0,71,4,2,0,0,0,0,1,33.8,33.8,91.0%,2024,WR,15
2,Mike Evans,TB,9,11,159,17.7,57,3,2,0,0,0,0,1,27.9,27.9,94.8%,2024,WR,15
3,Amon-Ra St. Brown,DET,14,18,193,13.8,66,3,1,0,0,0,1,1,23.3,23.3,97.2%,2024,WR,15
4,Brian Thomas Jr.,JAC,10,14,105,10.5,41,1,2,0,0,0,0,1,22.5,22.5,86.3%,2024,WR,15
5,Rashod Bateman,BAL,3,5,80,26.7,49,2,2,0,0,0,0,1,20.0,20.0,35.3%,2024,WR,15
6,Terry McLaurin,WAS,7,10,73,10.4,25,1,2,0,0,0,0,1,19.3,19.3,91.3%,2024,WR,15
7,CeeDee Lamb,DAL,9,13,116,12.9,28,2,1,0,0,0,0,1,17.6,17.6,87.2%,2024,WR,15
8,DeVonta Smith,PHI,11,12,109,9.9,22,3,1,1,1,0,0,1,17.0,17.0,89.2%,2024,WR,15
9,A.J. Brown,PHI,8,11,110,13.8,21,2,1,0,0,0,0,1,17.0,17.0,96.7%,2024,WR,15
10,Jalen Coker,CAR,4,6,110,27.5,83,1,1,0,0,0,0,1,17.0,17.0,16.7%,2024,WR,15
11,Romeo Doubs,GB,3,5,40,13.3,22,1,2,0,0,0,0,1,16.0,16.0,47.5%,2024,WR,15
12,Tee Higgins,CIN,5,8,88,17.6,38,2,1,0,0,0,0,1,14.8,14.8,87.7%,2024,WR,15
13,Keenan Allen,CHI,6,13,82,13.7,26,2,1,0,0,0,0,1,14.2,14.2,76.2%,2024,WR,15
14,Malik Nabers,NYG,10,14,82,8.2,23,1,1,0,0,0,0,1,14.2,14.2,90.2%,2024,WR,15
15,Nico Collins,HOU,4,6,17,4.3,8,0,2,0,0,0,0,1,13.7,13.7,95.3%,2024,WR,15
16,Xavier Worthy,KC,6,11,46,7.7,12,0,0,3,30,1,0,1,13.6,13.6,78.2%,2024,WR,15
