Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
52,Colby Parkinson,LAR,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,9.6%,2022,TE,8
53,Josh Oliver,MIN,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,1.4%,2022,TE,8
54,Zach Gentry,FA,1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%,2022,TE,8
55,Mitchell Wilcox,FA,1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%,2022,TE,8
56,Chig Okonkwo,TEN,1,2,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,34.6%,2022,TE,8
57,Ian Thomas,CAR,1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,0.0%,2022,TE,8
58,Hunter Long,LAR,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
59,Jared Pinkney,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
60,Trevon Wesco,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
61,Mitchell Fraboni,DEN,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
62,Lawrence Cager,WAS,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
63,Giovanni Ricci,NE,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
64,Feleipe Franks,CAR,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
65,Jack Stoll,MIA,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
66,Trey McBride,ARI,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,91.9%,2022,TE,8
67,Connor Heyward,PIT,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2022,TE,8
