Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Patrick Mahomes II,KC,22,43,51.2,340,7.9,2,1,3,6,21,1,0,1,30.7,30.7,92.9%,2020,QB,5
2,Ryan Tannehill,FA,21,28,75.0,195,7.0,3,0,0,4,42,1,0,1,30.0,30.0,1.3%,2020,QB,5
3,Ryan Fitzpatrick,FA,22,28,78.6,350,12.5,3,0,2,3,16,0,0,1,27.6,27.6,0.0%,2020,QB,5
4,Justin Herbert,LAC,20,34,58.8,264,7.8,4,0,3,4,8,0,0,1,27.4,27.4,77.4%,2020,QB,5
5,Kyler Murray,ARI,27,37,73.0,380,10.3,1,1,1,9,31,1,0,1,27.3,27.3,84.0%,2020,QB,5
6,Deshaun Watson,CLE,25,35,71.4,359,10.3,3,2,1,2,25,0,0,1,26.9,26.9,14.6%,2020,QB,5
7,Russell Wilson,PIT,20,32,62.5,217,6.8,3,1,4,5,58,0,0,1,25.5,25.5,48.0%,2020,QB,5
8,Jared Goff,DET,21,30,70.0,309,10.3,2,1,1,3,0,1,0,1,25.4,25.4,83.6%,2020,QB,5
9,Derek Carr,NO,22,31,71.0,347,11.2,3,1,1,4,1,0,0,1,25.0,25.0,20.5%,2020,QB,5
10,Drew Brees,FA,33,47,70.2,325,6.9,1,1,2,1,1,1,0,1,22.1,22.1,24.2%,2020,QB,5
11,Ben Roethlisberger,FA,27,34,79.4,239,7.0,3,0,1,2,-2,0,0,1,21.4,21.4,9.5%,2020,QB,5
12,Teddy Bridgewater,DET,27,36,75.0,313,8.7,2,0,0,3,3,0,0,1,20.8,20.8,0.8%,2020,QB,5
13,Gardner Minshew II,FA,31,49,63.3,301,6.1,2,0,3,4,18,0,1,1,19.8,19.8,6.2%,2020,QB,5
14,Carson Wentz,KC,20,35,57.1,258,7.4,2,2,5,4,11,0,0,1,19.4,19.4,1.1%,2020,QB,5
15,Josh Allen,BUF,26,41,63.4,263,6.4,2,2,1,4,18,0,0,1,18.3,18.3,97.2%,2020,QB,5
16,Baker Mayfield,TB,21,37,56.8,247,6.7,2,2,1,2,17,0,0,1,17.6,17.6,86.5%,2020,QB,5
17,Kirk Cousins,ATL,27,39,69.2,249,6.4,2,1,3,1,2,0,1,1,15.2,15.2,43.6%,2020,QB,5
18,Lamar Jackson,BAL,19,37,51.4,180,4.9,2,1,1,2,3,0,0,1,14.5,14.5,97.0%,2020,QB,5
19,Tom Brady,FA,25,41,61.0,253,6.2,1,0,3,3,0,0,0,1,14.1,14.1,5.3%,2020,QB,5
20,Joe Flacco,IND,18,33,54.5,195,5.9,1,0,2,4,20,0,0,1,13.8,13.8,8.4%,2020,QB,5
21,Dak Prescott,DAL,14,21,66.7,166,7.9,0,1,1,2,7,0,0,1,13.4,13.4,37.8%,2020,QB,5
22,Nick Foles,FA,30,42,71.4,243,5.8,1,1,3,1,-1,0,0,1,12.6,12.6,1.3%,2020,QB,5
23,Kyle Allen,PIT,9,13,69.2,74,5.7,0,0,2,1,7,1,0,1,9.7,9.7,1.3%,2020,QB,5
24,Daniel Jones,MIN,20,33,60.6,222,6.7,0,0,2,2,-7,0,1,1,8.2,8.2,13.0%,2020,QB,5
25,Matt Ryan,FA,21,37,56.8,226,6.1,0,1,2,1,-1,0,0,1,7.9,7.9,0.1%,2020,QB,5
26,Philip Rivers,FA,21,33,63.6,243,7.4,0,2,1,1,-1,0,0,1,7.6,7.6,20.6%,2020,QB,5
27,Taysom Hill,NO,0,1,0.0,0,0.0,0,0,0,3,13,1,0,1,7.3,7.3,27.7%,2020,QB,5
28,C.J. Beathard,JAC,9,18,50.0,94,5.2,1,0,2,0,0,0,1,1,5.8,5.8,0.0%,2020,QB,5
29,Joe Burrow,CIN,19,30,63.3,183,6.1,0,1,7,3,10,0,1,1,5.3,5.3,92.1%,2020,QB,5
30,Andy Dalton,CAR,9,11,81.8,111,10.1,0,0,1,1,0,0,1,1,2.4,2.4,2.5%,2020,QB,5
31,Alex Smith,FA,9,17,52.9,37,2.2,0,0,6,1,1,0,0,1,1.6,1.6,5.0%,2020,QB,5
32,Jimmy Garoppolo,LAR,7,17,41.2,77,4.5,0,2,3,0,0,0,0,1,1.1,1.1,2.8%,2020,QB,5
33,Matt Barkley,FA,3,5,60.0,22,4.4,0,0,0,0,0,0,0,1,0.9,0.9,0.0%,2020,QB,5
34,Jalen Hurts,PHI,1,1,100.0,18,18.0,0,0,0,0,0,0,0,1,0.7,0.7,91.6%,2020,QB,5
35,Robert Griffin III,FA,0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,1.0%,2020,QB,5
