Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Tee Higgins,CIN,12,13,194,16.2,52,3,2,0,0,0,0,1,31.4,31.4,87.7%,2021,WR,16
2,Davante Adams,FA,10,13,114,11.4,33,1,2,0,0,0,0,1,23.4,23.4,91.0%,2021,WR,16
3,A.J. Brown,PHI,11,16,145,13.2,42,1,1,0,0,0,0,1,20.5,20.5,96.7%,2021,WR,16
4,Byron Pringle,FA,6,7,75,12.5,22,1,2,0,0,0,0,1,19.5,19.5,0.0%,2021,WR,16
5,Deebo Samuel Sr.,WAS,9,11,159,17.7,56,2,0,5,32,0,0,1,19.1,19.1,84.5%,2021,WR,16
6,Isaiah McKenzie,FA,11,12,125,11.4,28,1,1,1,-1,0,0,1,18.4,18.4,0.0%,2021,WR,16
7,Amon-Ra St. Brown,DET,9,11,91,10.1,24,2,1,2,19,0,0,1,17.0,17.0,97.2%,2021,WR,16
8,Jaylen Waddle,MIA,10,12,92,9.2,24,1,1,0,0,0,0,1,15.2,15.2,79.3%,2021,WR,16
9,Tyler Boyd,TEN,3,5,85,28.3,68,1,1,0,0,0,0,1,14.5,14.5,4.6%,2021,WR,16
10,Stefon Diggs,HOU,7,13,85,12.1,23,1,1,0,0,0,0,1,14.5,14.5,46.3%,2021,WR,16
11,Amari Cooper,BUF,7,11,85,12.1,24,1,1,0,0,0,0,1,14.5,14.5,75.3%,2021,WR,16
12,Malik Turner,FA,3,3,82,27.3,61,1,1,0,0,0,0,1,14.2,14.2,0.0%,2021,WR,16
13,DeVonta Smith,PHI,5,7,80,16.0,46,2,1,0,0,0,0,1,14.0,14.0,89.2%,2021,WR,16
14,K.J. Osborn,WAS,5,7,68,13.6,30,1,1,0,0,0,0,1,12.8,12.8,1.3%,2021,WR,16
15,Ja'Marr Chase,CIN,7,10,125,17.9,22,2,0,0,0,0,0,1,12.5,12.5,94.0%,2021,WR,16
16,Chris Conley,SF,3,3,60,20.0,41,1,1,0,0,0,0,1,12.0,12.0,0.1%,2021,WR,16
17,Allen Lazard,NYJ,2,5,45,22.5,34,1,1,1,13,0,0,1,11.8,11.8,6.7%,2021,WR,16
18,Justin Jefferson,MIN,8,12,116,14.5,34,2,0,0,0,0,0,1,11.6,11.6,98.3%,2021,WR,16
19,Cooper Kupp,LAR,10,13,109,10.9,37,1,0,1,4,0,0,1,11.3,11.3,90.9%,2021,WR,16
20,T.Y. Hilton,FA,4,5,51,12.8,39,1,1,0,0,0,0,1,11.1,11.1,1.6%,2021,WR,16
21,Joshua Palmer,LAC,5,6,43,8.6,12,0,1,0,0,0,0,1,10.3,10.3,18.9%,2021,WR,16
22,DK Metcalf,SEA,2,5,41,20.5,41,1,1,0,0,0,0,1,10.1,10.1,88.3%,2021,WR,16
23,Antonio Brown,FA,10,15,101,10.1,22,1,0,0,0,0,0,1,10.1,10.1,1.0%,2021,WR,16
24,Brandon Aiyuk,SF,4,5,40,10.0,17,0,1,0,0,0,0,1,10.0,10.0,43.5%,2021,WR,16
25,Braxton Berrios,MIA,5,6,37,7.4,12,0,0,1,3,0,0,1,10.0,10.0,0.8%,2021,WR,16
26,Hunter Renfrow,FA,3,3,40,13.3,18,0,1,0,0,0,0,1,10.0,10.0,0.0%,2021,WR,16
27,Odell Beckham Jr.,FA,4,8,37,9.3,16,0,1,0,0,0,0,1,9.7,9.7,2.6%,2021,WR,16
28,Cyril Grayson Jr.,FA,3,3,81,27.0,62,1,0,1,14,0,0,1,9.5,9.5,0.0%,2021,WR,16
29,Nico Collins,HOU,3,4,33,11.0,13,0,1,0,0,0,0,1,9.3,9.3,95.3%,2021,WR,16
30,Mecole Hardman Jr.,KC,3,5,31,10.3,14,0,1,0,0,0,0,1,9.1,9.1,0.2%,2021,WR,16
31,Diontae Johnson,BAL,6,9,51,8.5,18,0,1,0,0,0,1,1,9.1,9.1,39.6%,2021,WR,16
32,Tavon Austin,FA,6,7,68,11.3,25,1,0,3,21,0,0,1,8.9,8.9,0.6%,2021,WR,16
33,Anthony Schwartz,MIA,1,1,5,5.0,5,0,1,2,24,0,0,1,8.9,8.9,0.0%,2021,WR,16
34,Antoine Wesley,FA,2,4,29,14.5,24,1,1,0,0,0,0,1,8.9,8.9,0.0%,2021,WR,16
35,Rashod Bateman,BAL,4,5,26,6.5,11,0,1,0,0,0,0,1,8.6,8.6,35.3%,2021,WR,16
36,Shi Smith,FA,3,5,86,28.7,63,1,0,0,0,0,0,1,8.6,8.6,0.0%,2021,WR,16
37,Michael Pittman Jr.,IND,8,12,82,10.3,20,1,0,1,3,0,0,1,8.5,8.5,70.7%,2021,WR,16
38,James Proche II,CLE,7,8,76,10.9,17,0,0,0,0,0,0,1,7.6,7.6,0.0%,2021,WR,16
39,Dezmon Patmon,FA,1,1,14,14.0,14,0,1,0,0,0,0,1,7.4,7.4,0.0%,2021,WR,16
40,Marvin Jones Jr.,FA,8,13,74,9.3,19,0,0,0,0,0,0,1,7.4,7.4,0.0%,2021,WR,16
41,Lil'Jordan Humphrey,DEN,3,5,70,23.3,56,1,0,0,0,0,0,1,7.0,7.0,1.1%,2021,WR,16
42,CeeDee Lamb,DAL,4,5,66,16.5,25,2,0,1,-2,0,0,1,6.4,6.4,87.2%,2021,WR,16
43,Brandon Powell,MIN,0,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0.8%,2021,WR,16
44,Jerry Jeudy,CLE,3,4,60,20.0,40,1,0,0,0,0,0,1,6.0,6.0,72.7%,2021,WR,16
45,Jakobi Meyers,LV,6,8,59,9.8,21,1,0,0,0,0,0,1,5.9,5.9,72.7%,2021,WR,16
46,Darnell Mooney,ATL,5,9,57,11.4,30,1,0,2,2,0,0,1,5.9,5.9,67.9%,2021,WR,16
47,Robbie Chosen,FA,5,10,58,11.6,18,0,0,0,0,0,0,1,5.8,5.8,0.0%,2021,WR,16
48,Rashard Higgins,FA,5,6,58,11.6,16,0,0,0,0,0,0,1,5.8,5.8,0.0%,2021,WR,16
49,Jason Moore Jr.,FA,3,4,56,18.7,24,1,0,0,0,0,0,1,5.6,5.6,0.0%,2021,WR,16
50,Jarvis Landry,FA,4,7,55,13.8,24,1,0,0,0,0,0,1,5.5,5.5,7.1%,2021,WR,16
51,Phillip Dorsett II,ATL,3,6,55,18.3,36,1,0,0,0,0,0,1,5.5,5.5,0.0%,2021,WR,16
52,DJ Moore,CHI,5,12,55,11.0,19,0,0,0,0,0,0,1,5.5,5.5,86.7%,2021,WR,16
53,Laquon Treadwell,IND,4,5,54,13.5,20,1,0,0,0,0,0,1,5.4,5.4,0.0%,2021,WR,16
54,Michael Gallup,FA,2,5,53,26.5,40,1,0,0,0,0,0,1,5.3,5.3,1.0%,2021,WR,16
55,Dyami Brown,WAS,2,2,53,26.5,48,1,0,0,0,0,0,1,5.3,5.3,11.7%,2021,WR,16
