Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
51,Ray-Ray McCloud III,ATL,6,7,52,8.7,15,0,0,0,0,0,0,1,5.2,5.2,16.2%,2024,WR,4
52,Jaxon Smith-Njigba,SEA,8,12,51,6.4,11,0,0,0,0,0,0,1,5.1,5.1,85.4%,2024,WR,4
53,Keon Coleman,BUF,3,4,51,17.0,24,2,0,0,0,0,0,1,5.1,5.1,51.9%,2024,WR,4
54,Sterling Shepard,TB,3,5,51,17.0,30,1,0,0,0,0,0,1,5.1,5.1,5.1%,2024,WR,4
55,Jakobi Meyers,LV,5,10,49,9.8,19,0,0,0,0,0,0,1,4.9,4.9,72.7%,2024,WR,4
56,Brandon Aiyuk,SF,2,5,48,24.0,38,1,0,0,0,0,0,1,4.8,4.8,43.5%,2024,WR,4
57,Tyreek Hill,MIA,4,7,23,5.8,17,0,0,3,19,0,0,1,4.2,4.2,92.8%,2024,WR,4
58,Romeo Doubs,GB,4,8,39,9.8,20,1,0,0,0,0,0,1,3.9,3.9,47.5%,2024,WR,4
59,Greg Dortch,ARI,4,4,38,9.5,12,0,0,0,0,0,0,1,3.8,3.8,4.5%,2024,WR,4
60,Demarcus Robinson,LAR,2,3,37,18.5,19,0,0,0,0,0,0,1,3.7,3.7,17.8%,2024,WR,4
61,Jaylen Waddle,MIA,4,6,36,9.0,18,0,0,0,0,0,0,1,3.6,3.6,79.3%,2024,WR,4
62,Joshua Palmer,LAC,3,4,36,12.0,26,1,0,0,0,0,0,1,3.6,3.6,18.9%,2024,WR,4
63,Amari Cooper,BUF,4,8,35,8.8,13,0,0,0,0,0,0,1,3.5,3.5,75.3%,2024,WR,4
64,Tyler Boyd,TEN,2,2,31,15.5,27,1,0,0,0,0,0,1,3.1,3.1,4.6%,2024,WR,4
65,DeAndre Hopkins,KC,2,4,31,15.5,16,0,0,0,0,0,0,1,3.1,3.1,72.8%,2024,WR,4
66,Jake Bobo,SEA,3,3,30,10.0,11,0,0,0,0,0,0,1,3.0,3.0,1.2%,2024,WR,4
67,Ja'Lynn Polk,NE,3,7,30,10.0,21,1,0,0,0,0,0,1,3.0,3.0,12.7%,2024,WR,4
68,Andrei Iosivas,CIN,1,1,29,29.0,29,1,0,0,0,0,0,1,2.9,2.9,11.4%,2024,WR,4
69,Bo Melton,GB,1,3,28,28.0,28,1,0,0,0,0,0,1,2.8,2.8,2.3%,2024,WR,4
70,Justin Watson,KC,2,3,27,13.5,17,0,0,0,0,0,0,1,2.7,2.7,1.8%,2024,WR,4
71,Noah Brown,WAS,3,4,26,8.7,14,0,0,0,0,0,0,1,2.6,2.6,5.8%,2024,WR,4
72,Jonathan Mingo,DAL,3,5,24,8.0,11,0,0,0,0,0,0,1,2.4,2.4,2.7%,2024,WR,4
73,Jalen Tolbert,DAL,3,3,24,8.0,15,0,0,0,0,0,0,1,2.4,2.4,15.7%,2024,WR,4
74,Rashod Bateman,BAL,1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,35.3%,2024,WR,4
75,Garrett Wilson,NYJ,5,8,41,8.2,23,1,0,0,0,0,1,1,2.1,2.1,91.1%,2024,WR,4
76,Van Jefferson,PIT,2,3,21,10.5,12,0,0,0,0,0,0,1,2.1,2.1,1.5%,2024,WR,4
77,Keenan Allen,CHI,3,3,19,6.3,8,0,0,0,0,0,0,1,1.9,1.9,76.2%,2024,WR,4
78,Michael Wilson,ARI,3,7,38,12.7,22,1,0,0,0,0,1,1,1.8,1.8,16.9%,2024,WR,4
79,Laviska Shenault Jr.,FA,1,1,18,18.0,18,0,0,0,0,0,0,1,1.8,1.8,0.1%,2024,WR,4
80,Luke McCaffrey,WAS,1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,7.9%,2024,WR,4
81,Calvin Austin III,PIT,1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,10.7%,2024,WR,4
82,Brandin Cooks,DAL,1,4,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,18.2%,2024,WR,4
83,Calvin Ridley,TEN,1,3,5,5.0,5,0,0,1,10,0,0,1,1.5,1.5,77.8%,2024,WR,4
84,Curtis Samuel,BUF,2,2,8,4.0,6,0,0,1,7,0,0,1,1.5,1.5,17.8%,2024,WR,4
85,Treylon Burks,TEN,1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,2.2%,2024,WR,4
86,Quentin Johnston,LAC,1,5,9,9.0,9,0,0,1,4,0,0,1,1.3,1.3,50.5%,2024,WR,4
87,DeMario Douglas,NE,3,3,13,4.3,8,0,0,0,0,0,0,1,1.3,1.3,28.9%,2024,WR,4
88,Malik Heath,GB,2,2,12,6.0,9,0,0,0,0,0,0,1,1.2,1.2,0.6%,2024,WR,4
89,Jahan Dotson,PHI,2,4,11,5.5,7,0,0,0,0,0,0,1,1.1,1.1,11.0%,2024,WR,4
90,Elijah Moore,CLE,1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,17.4%,2024,WR,4
91,Jalen Nailor,MIN,1,2,31,31.0,31,1,0,1,0,0,1,1,1.1,1.1,6.6%,2024,WR,4
92,Kayshon Boutte,NE,1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,12.8%,2024,WR,4
93,Zay Flowers,BAL,1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,90.3%,2024,WR,4
94,Robert Woods,HOU,1,3,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.6%,2024,WR,4
95,Adonai Mitchell,IND,0,3,0,0,0,0,0,1,10,0,0,1,1.0,1.0,18.4%,2024,WR,4
