Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Lamar Jackson,BAL,11,17,64.7,163,9.6,1,0,4,9,124,2,0,1,34.9,34.9,97.0%,2020,QB,14
2,Baker Mayfield,TB,28,47,59.6,343,7.3,2,1,0,5,23,1,0,1,31.0,31.0,86.5%,2020,QB,14
3,Aaron Rodgers,NYJ,26,33,78.8,290,8.8,3,0,0,6,13,1,0,1,30.9,30.9,47.5%,2020,QB,14
4,Tua Tagovailoa,MIA,28,48,58.3,316,6.6,2,1,4,6,24,1,0,1,28.0,28.0,62.5%,2020,QB,14
5,Derek Carr,NO,31,45,68.9,316,7.0,2,2,0,3,12,1,0,1,25.8,25.8,20.5%,2020,QB,14
6,Drew Lock,NYG,21,27,77.8,280,10.4,4,0,1,6,4,0,1,1,25.6,25.6,4.4%,2020,QB,14
7,Mitchell Trubisky,BUF,24,33,72.7,267,8.1,3,0,3,4,23,0,0,1,25.0,25.0,0.7%,2020,QB,14
8,Russell Wilson,PIT,21,27,77.8,206,7.6,4,1,0,1,-1,0,0,1,23.1,23.1,48.0%,2020,QB,14
9,Patrick Mahomes II,KC,24,34,70.6,393,11.6,2,3,3,5,9,0,0,1,21.6,21.6,92.9%,2020,QB,14
10,Teddy Bridgewater,DET,30,40,75.0,283,7.1,0,0,4,3,31,1,0,1,20.4,20.4,0.8%,2020,QB,14
11,Taysom Hill,NO,28,38,73.7,291,7.7,2,1,5,5,33,0,1,1,19.9,19.9,27.7%,2020,QB,14
12,Josh Allen,BUF,24,43,55.8,238,5.5,2,1,1,6,28,0,0,1,19.3,19.3,97.2%,2020,QB,14
13,Jalen Hurts,PHI,17,30,56.7,167,5.6,1,0,0,18,106,0,1,1,19.3,19.3,91.6%,2020,QB,14
14,Kyler Murray,ARI,24,35,68.6,244,7.0,1,0,1,13,47,0,0,1,18.5,18.5,84.0%,2020,QB,14
15,Philip Rivers,FA,19,28,67.9,244,8.7,2,0,0,0,0,0,0,1,17.8,17.8,20.6%,2020,QB,14
16,Kirk Cousins,ATL,24,37,64.9,225,6.1,1,0,6,5,41,0,1,1,17.1,17.1,43.6%,2020,QB,14
17,Justin Herbert,LAC,36,44,81.8,243,5.5,2,1,1,0,0,0,0,1,16.7,16.7,77.4%,2020,QB,14
18,Deshaun Watson,CLE,21,30,70.0,219,7.3,1,0,6,7,38,0,0,1,16.6,16.6,14.6%,2020,QB,14
19,Ryan Tannehill,FA,19,24,79.2,212,8.8,2,0,1,0,0,0,0,1,16.5,16.5,1.3%,2020,QB,14
