Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Adam Thielen,CAR,8,11,123,15.4,51,2,2,0,0,0,0,1,24.3,24.3,61.9%,2020,WR,11
2,Damiere Byrd,FA,6,7,132,22.0,42,2,1,1,11,0,0,1,20.3,20.3,0.0%,2020,WR,11
3,Robert Woods,HOU,12,15,130,10.8,35,2,1,2,-4,0,0,1,18.6,18.6,0.6%,2020,WR,11
4,Keenan Allen,CHI,16,19,145,9.1,21,1,1,0,0,0,1,1,18.5,18.5,76.2%,2020,WR,11
5,Davante Adams,FA,7,9,106,15.1,33,2,1,0,0,0,0,1,16.6,16.6,91.0%,2020,WR,11
6,Tyreek Hill,MIA,11,14,102,9.3,15,0,1,2,-2,0,0,1,16.0,16.0,92.8%,2020,WR,11
7,Nelson Agholor,BAL,6,9,88,14.7,29,2,1,0,0,0,0,1,14.8,14.8,1.2%,2020,WR,11
8,DJ Moore,CHI,7,11,127,18.1,52,2,0,1,21,0,0,1,14.8,14.8,86.7%,2020,WR,11
9,Justin Jefferson,MIN,3,5,86,28.7,39,3,1,0,0,0,0,1,14.6,14.6,98.3%,2020,WR,11
10,Cooper Kupp,LAR,11,13,145,13.2,37,2,0,0,0,0,0,1,14.5,14.5,90.9%,2020,WR,11
11,Curtis Samuel,BUF,8,10,70,8.8,17,0,1,1,4,0,0,1,13.4,13.4,17.8%,2020,WR,11
12,Mike Williams,PIT,4,7,72,18.0,39,1,1,0,0,0,0,1,13.2,13.2,18.1%,2020,WR,11
13,Tyler Lockett,FA,9,9,67,7.4,11,0,1,0,0,0,0,1,12.7,12.7,44.2%,2020,WR,11
14,CeeDee Lamb,DAL,4,6,34,8.5,21,1,1,2,12,0,0,1,12.6,12.6,87.2%,2020,WR,11
15,Michael Pittman Jr.,IND,3,3,66,22.0,45,1,1,0,0,0,0,1,12.6,12.6,70.7%,2020,WR,11
16,A.J. Brown,PHI,4,7,62,15.5,25,1,1,0,0,0,0,1,12.2,12.2,96.7%,2020,WR,11
17,DeVante Parker,FA,6,9,61,10.2,21,1,1,0,0,0,0,1,12.1,12.1,0.0%,2020,WR,11
18,Tim Patrick,DET,5,8,119,23.8,61,2,0,0,0,0,0,1,11.9,11.9,6.3%,2020,WR,11
19,Chase Claypool,FA,4,8,59,14.8,31,1,1,0,0,0,0,1,11.9,11.9,1.4%,2020,WR,11
20,Breshad Perriman,FA,2,4,54,27.0,49,1,1,0,0,0,0,1,11.4,11.4,0.0%,2020,WR,11
21,Chris Godwin,TB,7,10,53,7.6,13,0,1,0,0,0,0,1,11.3,11.3,45.3%,2020,WR,11
22,Corey Davis,FA,5,7,113,22.6,50,2,0,0,0,0,0,1,11.3,11.3,0.0%,2020,WR,11
23,Diontae Johnson,BAL,12,16,111,9.3,23,3,0,0,0,0,0,1,11.1,11.1,39.6%,2020,WR,11
24,Mike Evans,TB,5,9,49,9.8,18,0,1,0,0,0,0,1,10.9,10.9,94.8%,2020,WR,11
