Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Mark Andrews,BAL,6,7,68,11.3,18,0,1,0,0,0,0,1,12.8,12.8,89.5%,2024,TE,10
2,Sam LaPorta,DET,3,6,66,22.0,37,2,1,0,0,0,0,1,12.6,12.6,93.3%,2024,TE,10
3,Travis Kelce,KC,8,12,64,8.0,22,1,1,0,0,0,0,1,12.4,12.4,94.1%,2024,TE,10
4,George Kittle,SF,3,4,57,19.0,33,1,1,0,0,0,0,1,11.7,11.7,91.9%,2024,TE,10
5,Tanner Hudson,CIN,6,7,42,7.0,10,0,1,1,1,0,0,1,10.3,10.3,1.1%,2024,TE,10
6,Dallas Goedert,PHI,2,3,25,12.5,14,0,1,0,0,0,0,1,8.5,8.5,57.2%,2024,TE,10
7,Pat Freiermuth,PIT,3,3,17,5.7,8,0,1,0,0,0,0,1,7.7,7.7,63.9%,2024,TE,10
8,T.J. Hockenson,MIN,8,9,72,9.0,26,1,0,0,0,0,0,1,7.2,7.2,83.0%,2024,TE,10
9,Trey McBride,ARI,4,5,71,17.8,23,1,0,0,0,0,0,1,7.1,7.1,91.9%,2024,TE,10
10,Ja'Tavion Sanders,CAR,2,2,8,4.0,5,0,1,0,0,0,0,1,6.8,6.8,14.6%,2024,TE,10
11,Dalton Schultz,HOU,3,4,66,22.0,32,1,0,0,0,0,0,1,6.6,6.6,54.4%,2024,TE,10
12,Austin Hooper,NE,3,4,64,21.3,28,2,0,0,0,0,0,1,6.4,6.4,1.9%,2024,TE,10
13,Kyle Pitts,ATL,4,6,55,13.8,23,1,0,0,0,0,0,1,5.5,5.5,73.0%,2024,TE,10
14,Josh Oliver,MIN,4,6,52,13.0,28,1,0,0,0,0,0,1,5.2,5.2,1.4%,2024,TE,10
15,Taysom Hill,NO,2,2,36,18.0,34,1,0,4,14,0,0,1,5.0,5.0,27.7%,2024,TE,10
16,Jonnu Smith,MIA,3,4,45,15.0,33,1,0,0,0,0,0,1,4.5,4.5,77.6%,2024,TE,10
17,Dawson Knox,BUF,2,3,40,20.0,34,1,0,0,0,0,0,1,4.0,4.0,11.4%,2024,TE,10
18,Evan Engram,JAC,6,8,40,6.7,15,0,0,0,0,0,0,1,4.0,4.0,57.4%,2024,TE,10
19,Theo Johnson,NYG,4,6,37,9.3,13,0,0,0,0,0,0,1,3.7,3.7,12.5%,2024,TE,10
20,Cade Otton,TB,5,8,35,7.0,15,0,0,0,0,0,0,1,3.5,3.5,57.8%,2024,TE,10
21,Davis Allen,LAR,5,6,34,6.8,13,0,0,0,0,0,0,1,3.4,3.4,1.4%,2024,TE,10
22,Adam Trautman,DEN,1,1,34,34.0,34,1,0,0,0,0,0,1,3.4,3.4,1.1%,2024,TE,10
23,Zach Ertz,WAS,4,8,31,7.8,9,0,0,0,0,0,0,1,3.1,3.1,57.5%,2024,TE,10
24,Mike Gesicki,CIN,4,9,30,7.5,13,0,0,0,0,0,0,1,3.0,3.0,29.2%,2024,TE,10
25,Will Dissly,LAC,5,6,30,6.0,14,0,0,0,0,0,0,1,3.0,3.0,22.8%,2024,TE,10
26,Brenton Strange,JAC,2,3,25,12.5,23,1,0,0,0,0,0,1,2.5,2.5,19.5%,2024,TE,10
27,Dalton Kincaid,BUF,2,5,24,12.0,12,0,0,0,0,0,0,1,2.4,2.4,78.8%,2024,TE,10
28,Juwan Johnson,NO,2,3,22,11.0,16,0,0,0,0,0,0,1,2.2,2.2,19.4%,2024,TE,10
29,Lucas Krull,DEN,2,2,21,10.5,11,0,0,0,0,0,0,1,2.1,2.1,1.0%,2024,TE,10
30,Noah Gray,KC,2,2,18,9.0,13,0,0,0,0,0,0,1,1.8,1.8,22.5%,2024,TE,10
31,Jeremy Ruckert,NYJ,2,2,17,8.5,12,0,0,0,0,0,0,1,1.7,1.7,0.6%,2024,TE,10
32,Luke Farrell,JAC,2,2,16,8.0,9,0,0,0,0,0,0,1,1.6,1.6,0.0%,2024,TE,10
33,Kylen Granson,IND,2,2,15,7.5,12,0,0,0,0,0,0,1,1.5,1.5,1.2%,2024,TE,10
34,Hunter Henry,NE,1,4,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,53.6%,2024,TE,10
35,Chig Okonkwo,TEN,1,1,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,34.6%,2024,TE,10
36,Elijah Higgins,ARI,2,2,13,6.5,11,0,0,0,0,0,0,1,1.3,1.3,1.0%,2024,TE,10
37,Cole Kmet,CHI,2,4,13,6.5,7,0,0,0,0,0,0,1,1.3,1.3,42.7%,2024,TE,10
38,Will Mallory,IND,1,1,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%,2024,TE,10
39,Tyler Conklin,NYJ,1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,19.2%,2024,TE,10
40,Peyton Hendershot,KC,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.1%,2024,TE,10
41,Darnell Washington,PIT,1,3,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,3.2%,2024,TE,10
42,Durham Smythe,FA,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.1%,2024,TE,10
43,Charlie Kolar,BAL,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,0.1%,2024,TE,10
44,Jake Ferguson,DAL,4,5,24,6.0,10,0,0,0,0,0,1,1,0.4,0.4,67.5%,2024,TE,10
45,Kenny Yeboah,NYJ,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,0.0%,2024,TE,10
46,Ian Thomas,CAR,1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%,2024,TE,10
47,Cade Stover,HOU,1,2,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,4.5%,2024,TE,10
48,Drew Ogletree,IND,1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,1.1%,2024,TE,10
49,Hunter Long,LAR,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,TE,10
