Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Bijan Robinson,ATL,20,116,5.8,37,1,2,3,4,28,9.3,0,0,1,26.4,26.4,94.6%,2024,RB,10
2,Chuba Hubbard,CAR,28,153,5.5,26,3,1,4,6,16,4.0,0,1,1,20.9,20.9,73.0%,2024,RB,10
3,James Conner,ARI,12,33,2.8,12,0,1,5,5,80,16.0,0,0,1,17.3,17.3,82.6%,2024,RB,10
4,Austin Ekeler,WAS,13,44,3.4,10,0,2,1,2,7,7.0,0,0,1,17.1,17.1,51.4%,2024,RB,10
5,Joe Mixon,HOU,25,46,1.8,8,0,1,2,4,44,22.0,0,0,1,15.0,15.0,93.9%,2024,RB,10
6,Bucky Irving,TB,13,73,5.6,14,0,1,3,3,14,4.7,0,0,1,14.7,14.7,87.5%,2024,RB,10
7,James Cook,BUF,19,80,4.2,20,1,1,1,3,5,5.0,0,0,1,14.5,14.5,93.1%,2024,RB,10
8,Tyrone Tracy Jr.,NYG,18,103,5.7,32,1,1,1,2,1,1.0,0,1,1,14.4,14.4,74.5%,2024,RB,10
9,Chase Brown,CIN,13,42,3.2,7,0,1,9,11,52,5.8,0,1,1,13.4,13.4,85.5%,2024,RB,10
10,Derrick Henry,BAL,16,68,4.3,11,0,1,1,1,3,3.0,0,0,1,13.1,13.1,97.5%,2024,RB,10
11,Rachaad White,TB,10,31,3.1,8,0,0,6,7,39,6.5,1,0,1,13.0,13.0,85.8%,2024,RB,10
12,Jonathan Taylor,IND,21,114,5.4,58,2,0,2,4,8,4.0,0,0,1,12.2,12.2,92.9%,2024,RB,10
13,David Montgomery,DET,12,32,2.7,12,0,1,1,2,24,24.0,0,0,1,11.6,11.6,75.4%,2024,RB,10
14,Najee Harris,PIT,21,53,2.5,11,0,1,0,0,0,0,0,0,1,11.3,11.3,85.5%,2024,RB,10
15,Alvin Kamara,NO,17,55,3.2,11,0,0,5,6,54,10.8,0,0,1,10.9,10.9,87.9%,2024,RB,10
16,Jahmyr Gibbs,DET,19,71,3.7,20,1,0,2,3,37,18.5,0,0,1,10.8,10.8,97.5%,2024,RB,10
17,Christian McCaffrey,SF,13,39,3.0,13,0,0,6,7,68,11.3,0,0,1,10.7,10.7,66.6%,2024,RB,10
18,Aaron Jones Sr.,MIN,17,88,5.2,13,0,0,2,3,13,6.5,0,0,1,10.1,10.1,91.4%,2024,RB,10
19,Kareem Hunt,KC,14,35,2.5,10,0,0,7,10,65,9.3,0,0,1,10.0,10.0,48.5%,2024,RB,10
20,Trey Benson,ARI,10,62,6.2,14,0,0,2,2,25,12.5,0,0,1,8.7,8.7,31.0%,2024,RB,10
21,Breece Hall,NYJ,10,52,5.2,14,0,0,4,4,31,7.8,0,0,1,8.3,8.3,91.6%,2024,RB,10
22,Saquon Barkley,PHI,14,66,4.7,11,0,0,1,1,12,12.0,0,0,1,7.8,7.8,97.8%,2024,RB,10
23,Rhamondre Stevenson,NE,20,74,3.7,11,0,0,1,1,3,3.0,0,0,1,7.7,7.7,80.6%,2024,RB,10
24,Jaylen Warren,PIT,14,66,4.7,12,0,0,2,2,29,14.5,0,1,1,7.5,7.5,68.2%,2024,RB,10
25,Tyler Goodson,IND,0,0,0,0,0,0,2,3,9,4.5,1,0,1,6.9,6.9,1.5%,2024,RB,10
26,Jeremy McNichols,WAS,4,7,1.8,6,0,1,0,0,0,0,0,0,1,6.7,6.7,3.0%,2024,RB,10
27,D'Andre Swift,CHI,16,59,3.7,9,0,0,1,1,6,6.0,0,0,1,6.5,6.5,83.1%,2024,RB,10
28,Hassan Haskins,LAC,2,4,2.0,3,0,1,0,0,0,0,0,0,1,6.4,6.4,0.9%,2024,RB,10
29,Tony Pollard,TEN,9,44,4.9,15,0,0,4,4,19,4.8,0,0,1,6.3,6.3,80.4%,2024,RB,10
30,Kyren Williams,LAR,15,62,4.1,9,0,0,5,6,20,4.0,0,1,1,6.2,6.2,94.2%,2024,RB,10
31,Tyler Allgeier,ATL,11,59,5.4,24,1,0,0,0,0,0,0,0,1,5.9,5.9,36.7%,2024,RB,10
32,Rico Dowdle,DAL,12,53,4.4,19,0,0,3,3,3,1.0,0,0,1,5.6,5.6,73.9%,2024,RB,10
33,J.K. Dobbins,LAC,15,50,3.3,12,0,0,3,3,5,1.7,0,0,1,5.5,5.5,74.2%,2024,RB,10
34,Gus Edwards,LAC,10,55,5.5,11,0,0,0,0,0,0,0,0,1,5.5,5.5,45.3%,2024,RB,10
35,Audric Estime,DEN,14,53,3.8,10,0,0,0,0,0,0,0,0,1,5.3,5.3,18.4%,2024,RB,10
36,De'Von Achane,MIA,12,37,3.1,15,0,0,5,5,15,3.0,0,0,1,5.2,5.2,92.9%,2024,RB,10
37,Tyjae Spears,TEN,7,47,6.7,19,0,0,3,3,4,1.3,0,0,1,5.1,5.1,60.2%,2024,RB,10
38,Cam Akers,MIN,13,38,2.9,11,0,0,1,1,9,9.0,0,0,1,4.7,4.7,14.2%,2024,RB,10
39,Devin Singletary,NYG,8,40,5.0,14,0,0,1,1,5,5.0,0,0,1,4.5,4.5,43.6%,2024,RB,10
40,Travis Etienne Jr.,JAC,11,44,4.0,18,0,0,1,1,-1,-1.0,0,0,1,4.3,4.3,81.7%,2024,RB,10
41,Kenneth Gainwell,PHI,7,30,4.3,13,0,0,1,1,9,9.0,0,0,1,3.9,3.9,11.7%,2024,RB,10
42,Samaje Perine,KC,0,0,0,0,0,0,2,2,37,18.5,0,0,1,3.7,3.7,4.2%,2024,RB,10
43,Braelon Allen,NYJ,7,27,3.9,12,0,0,1,1,7,7.0,0,0,1,3.4,3.4,34.9%,2024,RB,10
44,Will Shipley,PHI,9,34,3.8,9,0,0,0,0,0,0,0,0,1,3.4,3.4,8.5%,2024,RB,10
45,Raheem Mostert,FA,0,0,0,0,0,0,2,3,34,17.0,0,0,1,3.4,3.4,42.9%,2024,RB,10
46,Ty Johnson,BUF,0,0,0,0,0,0,3,3,32,10.7,0,0,1,3.2,3.2,5.6%,2024,RB,10
47,Antonio Gibson,NE,5,26,5.2,10,0,0,0,0,0,0,0,0,1,2.6,2.6,22.5%,2024,RB,10
48,JaMycal Hasty,NE,6,20,3.3,6,0,0,1,1,4,4.0,0,0,1,2.4,2.4,0.7%,2024,RB,10
