Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,CeeDee Lamb,DAL,13,17,227,17.5,92,3,1,1,5,0,1,1,27.2,27.2,87.2%,2023,WR,17
2,Davante Adams,FA,13,21,126,9.7,24,1,2,0,0,0,0,1,24.6,24.6,91.0%,2023,WR,17
3,DJ Moore,CHI,9,13,159,17.7,32,5,1,0,0,0,0,1,21.9,21.9,86.7%,2023,WR,17
4,Jayden Reed,GB,6,8,89,14.8,33,2,2,0,0,0,0,1,20.9,20.9,82.1%,2023,WR,17
5,Brandon Aiyuk,SF,7,8,114,16.3,38,2,1,0,0,0,0,1,17.4,17.4,43.5%,2023,WR,17
6,Zay Flowers,BAL,3,3,106,35.3,75,2,1,0,0,0,0,1,16.6,16.6,90.3%,2023,WR,17
7,Darius Slayton,NYG,4,6,106,26.5,80,1,1,0,0,0,0,1,16.6,16.6,9.9%,2023,WR,17
8,Bo Melton,GB,6,9,105,17.5,37,2,1,0,0,0,0,1,16.5,16.5,2.3%,2023,WR,17
9,Amon-Ra St. Brown,DET,6,8,90,15.0,23,2,1,1,11,0,0,1,16.1,16.1,97.2%,2023,WR,17
10,Julio Jones,FA,2,2,34,17.0,22,1,2,0,0,0,0,1,15.4,15.4,0.8%,2023,WR,17
11,Chris Godwin,TB,3,5,81,27.0,47,1,1,0,0,0,0,1,14.1,14.1,45.3%,2023,WR,17
12,Wan'Dale Robinson,NYG,6,9,55,9.2,20,1,0,1,24,1,0,1,13.9,13.9,36.9%,2023,WR,17
13,Puka Nacua,LAR,5,8,118,23.6,80,1,0,2,19,0,0,1,13.7,13.7,95.5%,2023,WR,17
14,Deebo Samuel Sr.,WAS,5,6,37,7.4,16,0,1,3,35,0,0,1,13.2,13.2,84.5%,2023,WR,17
15,George Pickens,PIT,7,9,131,18.7,37,3,0,0,0,0,0,1,13.1,13.1,88.7%,2023,WR,17
16,Lil'Jordan Humphrey,DEN,2,4,69,34.5,54,1,1,0,0,0,0,1,12.9,12.9,1.1%,2023,WR,17
17,Rashee Rice,KC,5,6,127,25.4,67,2,0,0,0,0,0,1,12.7,12.7,42.8%,2023,WR,17
18,Trey Palmer,TB,4,5,84,21.0,54,2,1,0,0,0,1,1,12.4,12.4,2.4%,2023,WR,17
19,Elijah Moore,CLE,5,6,61,12.2,24,2,1,0,0,0,0,1,12.1,12.1,17.4%,2023,WR,17
20,Terry McLaurin,WAS,4,7,61,15.3,42,1,1,0,0,0,0,1,12.1,12.1,91.3%,2023,WR,17
