Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Trevor Lawrence,JAC,30,42,71.4,368,8.8,3,0,0,3,7,1,0,1,33.4,33.4,30.9%,2022,QB,14
2,Jalen Hurts,PHI,21,31,67.7,217,7.0,2,0,4,7,77,1,0,1,30.4,30.4,91.6%,2022,QB,14
3,Russell Wilson,PIT,23,36,63.9,247,6.9,3,1,6,4,57,0,0,1,26.6,26.6,48.0%,2022,QB,14
4,Jared Goff,DET,27,39,69.2,330,8.5,3,0,0,2,9,0,0,1,26.1,26.1,83.6%,2022,QB,14
5,Kirk Cousins,ATL,31,41,75.6,425,10.4,2,0,3,0,0,0,0,1,25.0,25.0,43.6%,2022,QB,14
6,Patrick Mahomes II,KC,28,42,66.7,352,8.4,3,3,2,3,-3,0,0,1,22.8,22.8,92.9%,2022,QB,14
7,Geno Smith,SEA,21,36,58.3,264,7.3,3,2,3,3,20,0,0,1,22.6,22.6,49.4%,2022,QB,14
8,Brock Purdy,SF,16,21,76.2,185,8.8,2,0,0,2,3,1,0,1,21.7,21.7,79.2%,2022,QB,14
9,Josh Allen,BUF,16,27,59.3,147,5.4,1,0,3,10,47,1,0,1,20.6,20.6,97.2%,2022,QB,14
10,Justin Herbert,LAC,39,51,76.5,367,7.2,1,0,4,4,8,0,0,1,19.5,19.5,77.4%,2022,QB,14
11,Daniel Jones,MIN,18,27,66.7,169,6.3,1,0,4,4,26,1,0,1,19.4,19.4,13.0%,2022,QB,14
12,Ryan Tannehill,FA,25,38,65.8,254,6.7,2,1,4,2,16,0,1,1,18.8,18.8,1.3%,2022,QB,14
13,Joe Burrow,CIN,18,33,54.5,239,7.2,2,1,1,6,10,0,0,1,17.6,17.6,92.1%,2022,QB,14
14,Deshaun Watson,CLE,26,42,61.9,276,6.6,1,1,2,6,33,0,0,1,17.3,17.3,14.6%,2022,QB,14
15,Dak Prescott,DAL,24,39,61.5,284,7.3,1,2,1,6,23,0,0,1,15.7,15.7,37.8%,2022,QB,14
16,Baker Mayfield,TB,22,35,62.9,230,6.6,1,0,4,4,10,0,0,1,14.2,14.2,86.5%,2022,QB,14
17,Tua Tagovailoa,MIA,10,28,35.7,145,5.2,1,0,2,3,28,0,0,1,12.6,12.6,62.5%,2022,QB,14
18,Tom Brady,FA,34,55,61.8,253,4.6,1,2,0,2,0,0,0,1,12.1,12.1,5.3%,2022,QB,14
19,Mitchell Trubisky,BUF,22,30,73.3,276,9.2,1,3,1,0,0,0,0,1,12.0,12.0,0.7%,2022,QB,14
20,Sam Darnold,MIN,14,24,58.3,120,5.0,1,0,2,4,30,0,0,1,11.8,11.8,77.4%,2022,QB,14
21,Colt McCoy,FA,27,40,67.5,246,6.2,0,1,6,5,24,0,0,1,11.2,11.2,0.0%,2022,QB,14
22,Mike White,BUF,27,44,61.4,268,6.1,0,0,3,0,0,0,0,1,10.7,10.7,1.0%,2022,QB,14
23,Tyrod Taylor,NYJ,5,5,100.0,47,9.4,1,0,3,2,40,0,1,1,9.9,9.9,5.4%,2022,QB,14
24,Jeff Driskel,WAS,4,6,66.7,38,6.3,1,0,0,7,36,0,0,1,9.1,9.1,0.0%,2022,QB,14
25,Mac Jones,JAC,24,35,68.6,235,6.7,0,1,1,5,-1,0,0,1,8.3,8.3,5.6%,2022,QB,14
26,Tyler Huntley,MIA,8,12,66.7,88,7.3,0,0,1,9,31,0,0,1,6.6,6.6,1.8%,2022,QB,14
27,Davis Mills,HOU,16,21,76.2,175,8.3,0,1,0,1,2,0,0,1,6.2,6.2,0.1%,2022,QB,14
28,Derek Carr,NO,11,20,55.0,137,6.9,0,2,0,4,11,0,0,1,4.6,4.6,20.5%,2022,QB,14
29,Brett Rypien,MIN,4,8,50.0,16,2.0,1,1,0,1,0,0,0,1,3.6,3.6,0.0%,2022,QB,14
30,Kenny Pickett,PHI,0,1,0.0,0,0.0,0,0,1,2,16,0,0,1,1.6,1.6,4.2%,2022,QB,14
31,Josh Johnson,BAL,1,2,50.0,10,5.0,0,0,0,2,3,0,0,1,0.7,0.7,0.1%,2022,QB,14
32,Kyler Murray,ARI,1,1,100.0,9,9.0,0,0,0,1,3,0,0,1,0.7,0.7,84.0%,2022,QB,14
33,Anthony Brown Jr.,FA,3,5,60.0,16,3.2,0,0,1,3,-5,0,0,1,0.1,0.1,0.0%,2022,QB,14
34,Matt Corral,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,QB,14
35,Jacoby Brissett,NE,0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.9%,2022,QB,14
36,Gardner Minshew II,FA,0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,6.2%,2022,QB,14
37,Joe Flacco,IND,1,3,33.3,1,0.3,0,0,1,0,0,0,1,1,-2.0,-2.0,8.4%,2022,QB,14
