Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Jamaal Williams,FA,16,72,4.5,13,0,2,0,0,0,0,0,0,1,19.2,19.2,2.5%,2022,RB,18
2,Nick Chubb,CLE,12,77,6.4,15,0,0,5,6,45,9.0,1,0,1,18.2,18.2,55.1%,2022,RB,18
3,Zack Moss,CIN,18,114,6.3,34,1,1,3,3,7,2.3,0,0,1,18.1,18.1,33.5%,2022,RB,18
4,Alexander Mattison,LV,10,54,5.4,11,0,2,1,1,6,6.0,0,0,1,18.0,18.0,44.8%,2022,RB,18
5,Latavius Murray,FA,15,103,6.9,25,2,1,1,1,15,15.0,0,0,1,17.8,17.8,0.0%,2022,RB,18
6,Elijah Mitchell,SF,5,55,11.0,37,1,2,0,0,0,0,0,0,1,17.5,17.5,5.5%,2022,RB,18
7,Kenyan Drake,FA,16,60,3.8,18,0,1,2,5,19,9.5,0,0,1,13.9,13.9,1.1%,2022,RB,18
8,Christian McCaffrey,SF,10,45,4.5,19,0,0,3,3,34,11.3,1,0,1,13.9,13.9,66.6%,2022,RB,18
9,Tyler Allgeier,ATL,24,135,5.6,28,1,0,0,0,0,0,0,0,1,13.5,13.5,36.7%,2022,RB,18
10,Najee Harris,PIT,23,80,3.5,11,0,1,1,1,10,10.0,0,1,1,13.0,13.0,85.5%,2022,RB,18
11,Cam Akers,MIN,21,104,5.0,32,1,0,3,3,24,8.0,0,0,1,12.8,12.8,14.2%,2022,RB,18
12,Joe Mixon,HOU,11,27,2.5,8,0,1,5,5,41,8.2,0,0,1,12.8,12.8,93.9%,2022,RB,18
13,Derrick Henry,BAL,30,109,3.6,14,0,0,1,1,19,19.0,0,0,1,12.8,12.8,97.5%,2022,RB,18
14,Isiah Pacheco,KC,8,64,8.0,31,1,1,0,0,0,0,0,0,1,12.4,12.4,84.8%,2022,RB,18
15,Kenneth Walker III,SEA,29,114,3.9,20,1,0,1,1,10,10.0,0,0,1,12.4,12.4,81.7%,2022,RB,18
16,Nyheim Hines,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,12.0,0.1%,2022,RB,18
17,Boston Scott,FA,9,54,6.0,21,1,1,0,0,0,0,0,0,1,11.4,11.4,0.0%,2022,RB,18
18,Alvin Kamara,NO,23,107,4.7,22,1,0,1,2,3,3.0,0,0,1,11.0,11.0,87.9%,2022,RB,18
19,Deon Jackson,FA,8,35,4.4,13,0,0,6,8,75,12.5,0,0,1,11.0,11.0,0.0%,2022,RB,18
20,Corey Clement,FA,8,23,2.9,5,0,1,3,4,25,8.3,0,0,1,10.8,10.8,0.0%,2022,RB,18
21,Ronald Jones II,FA,10,45,4.5,13,0,1,0,0,0,0,0,0,1,10.5,10.5,0.0%,2022,RB,18
22,D'Andre Swift,CHI,6,25,4.2,11,0,0,7,7,61,8.7,0,0,1,8.6,8.6,83.1%,2022,RB,18
23,Tyler Badie,DEN,1,0,0.0,0,0,0,1,1,24,24.0,1,0,1,8.4,8.4,0.7%,2022,RB,18
24,Rhamondre Stevenson,NE,6,54,9.0,18,0,0,5,6,28,5.6,0,0,1,8.2,8.2,80.6%,2022,RB,18
25,Cordarrelle Patterson,PIT,5,18,3.6,8,0,1,2,3,1,0.5,0,0,1,7.9,7.9,1.6%,2022,RB,18
26,Jaret Patterson,LAC,17,78,4.6,14,0,0,0,1,0,0,0,0,1,7.8,7.8,0.0%,2022,RB,18
27,Jeff Wilson Jr.,MIA,16,72,4.5,16,0,0,2,2,2,1.0,0,0,1,7.4,7.4,0.6%,2022,RB,18
28,Chuba Hubbard,CAR,21,69,3.3,8,0,0,0,1,0,0,0,0,1,6.9,6.9,73.0%,2022,RB,18
29,D'Onta Foreman,CLE,12,68,5.7,21,1,0,0,0,0,0,0,0,1,6.8,6.8,3.4%,2022,RB,18
30,Jerick McKinnon,FA,2,6,3.0,7,0,0,2,3,0,0.0,1,0,1,6.6,6.6,0.0%,2022,RB,18
31,Gary Brightwell,CIN,11,60,5.5,25,1,0,1,3,3,3.0,0,0,1,6.3,6.3,0.0%,2022,RB,18
32,Derek Watt,FA,1,1,1.0,1,0,1,0,0,0,0,0,0,1,6.1,6.1,0.0%,2022,RB,18
33,Raheem Mostert,FA,11,71,6.5,21,1,0,2,2,-10,-5.0,0,0,1,6.1,6.1,42.9%,2022,RB,18
34,Damien Harris,FA,13,48,3.7,19,0,0,1,4,4,4.0,0,0,1,5.2,5.2,9.0%,2022,RB,18
35,James Cook,BUF,9,45,5.0,10,0,0,2,2,6,3.0,0,0,1,5.1,5.1,93.1%,2022,RB,18
36,Austin Ekeler,WAS,11,34,3.1,12,0,0,4,4,36,9.0,0,1,1,5.0,5.0,51.4%,2022,RB,18
37,Josh Jacobs,GB,17,45,2.6,12,0,0,2,3,5,2.5,0,0,1,5.0,5.0,96.3%,2022,RB,18
38,Khalil Herbert,CIN,10,50,5.0,13,0,0,1,2,-1,-1.0,0,0,1,4.9,4.9,11.3%,2022,RB,18
39,Aaron Jones Sr.,MIN,12,48,4.0,17,0,0,3,4,20,6.7,0,1,1,4.8,4.8,91.4%,2022,RB,18
40,C.J. Ham,MIN,0,0,0,0,0,0,4,4,47,11.8,0,0,1,4.7,4.7,0.6%,2022,RB,18
41,Chase Edmonds,TB,9,45,5.0,23,1,0,0,0,0,0,0,0,1,4.5,4.5,0.1%,2022,RB,18
42,Jaylen Warren,PIT,6,36,6.0,22,1,0,3,4,7,2.3,0,0,1,4.3,4.3,68.2%,2022,RB,18
43,Kenneth Gainwell,PHI,5,35,7.0,11,0,0,1,1,7,7.0,0,0,1,4.2,4.2,11.7%,2022,RB,18
44,Jonathan Williams,FA,14,32,2.3,9,0,0,2,2,9,4.5,0,0,1,4.1,4.1,0.0%,2022,RB,18
45,Matt Breida,FA,4,28,7.0,16,0,0,7,8,12,1.7,0,0,1,4.0,4.0,0.0%,2022,RB,18
46,Dare Ogunbowale,HOU,11,33,3.0,11,0,0,5,6,5,1.0,0,0,1,3.8,3.8,1.0%,2022,RB,18
