Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Sam LaPorta,DET,86,120,889,10.3,48,8,10,1,4,0,0,17,153.3,9.0,93.3%,2023,TE,Full
2,George Kittle,SF,65,90,"1,020",15.7,66,18,6,1,2,0,0,16,138.2,8.6,91.9%,2023,TE,Full
3,Travis Kelce,KC,93,121,984,10.6,53,12,5,0,0,0,1,15,126.4,8.4,94.1%,2023,TE,Full
4,T.J. Hockenson,MIN,95,127,960,10.1,29,13,5,0,0,0,1,15,124.0,8.3,83.0%,2023,TE,Full
5,David Njoku,CLE,81,123,882,10.9,43,12,6,0,0,0,2,16,120.2,7.5,74.6%,2023,TE,Full
6,Evan Engram,JAC,114,143,963,8.4,34,9,4,0,0,0,2,17,116.3,6.8,57.4%,2023,TE,Full
7,Taysom Hill,NO,33,40,291,8.8,36,2,2,81,401,4,1,16,110.5,6.9,27.7%,2023,TE,Full
8,Cole Kmet,CHI,73,90,719,9.8,53,9,6,3,2,0,0,17,108.1,6.4,42.7%,2023,TE,Full
9,Jake Ferguson,DAL,71,102,761,10.7,40,8,5,0,0,0,0,17,106.1,6.2,67.5%,2023,TE,Full
10,Trey McBride,ARI,81,106,825,10.2,38,9,3,0,0,0,0,17,100.5,5.9,91.9%,2023,TE,Full
11,Dalton Schultz,HOU,59,88,635,10.8,31,7,5,0,0,0,1,15,91.5,6.1,54.4%,2023,TE,Full
12,Mark Andrews,BAL,45,61,544,12.1,38,8,6,1,0,0,0,10,90.4,9.0,89.5%,2023,TE,Full
13,Kyle Pitts,ATL,53,90,667,12.6,39,7,3,1,-4,0,0,17,84.3,5.0,73.0%,2023,TE,Full
14,Hunter Henry,NE,42,61,419,10.0,24,2,6,0,0,0,0,14,77.9,5.6,53.6%,2023,TE,Full
15,Dalton Kincaid,BUF,73,91,673,9.2,51,5,2,0,0,0,1,16,77.3,4.8,78.8%,2023,TE,Full
16,Dallas Goedert,PHI,59,83,592,10.0,49,6,3,1,1,0,0,14,77.3,5.5,57.2%,2023,TE,Full
17,Jonnu Smith,MIA,50,70,582,11.6,60,4,3,1,0,0,1,17,74.2,4.4,77.6%,2023,TE,Full
18,Logan Thomas,FA,55,78,496,9.0,29,3,4,1,2,0,2,16,71.8,4.5,0.0%,2023,TE,Full
19,Isaiah Likely,BAL,30,40,411,13.7,54,6,5,0,0,0,0,17,71.1,4.2,34.2%,2023,TE,Full
20,Cade Otton,TB,47,67,455,9.7,27,6,4,0,0,0,1,17,69.5,4.1,57.8%,2023,TE,Full
21,Tyler Conklin,NYJ,61,87,621,10.2,37,7,0,1,0,0,0,17,62.1,3.7,19.2%,2023,TE,Full
22,Tyler Higbee,LAR,47,70,495,10.5,33,6,2,0,0,0,0,15,61.5,4.1,9.2%,2023,TE,Full
23,Darren Waller,FA,52,74,552,10.6,29,8,1,0,0,0,0,12,61.2,5.1,1.1%,2023,TE,Full
24,Juwan Johnson,NO,37,59,368,9.9,32,7,4,0,0,0,0,13,60.8,4.7,19.4%,2023,TE,Full
25,Gerald Everett,FA,51,70,411,8.1,31,4,3,3,10,0,0,15,60.1,4.0,1.4%,2023,TE,Full
26,Chig Okonkwo,TEN,54,77,528,9.8,39,6,1,2,6,0,0,17,59.4,3.5,34.6%,2023,TE,Full
27,Donald Parham Jr.,PIT,27,41,285,10.6,24,2,4,0,0,0,0,14,52.5,3.8,1.9%,2023,TE,Full
28,Tucker Kraft,GB,31,40,355,11.5,43,5,2,0,0,0,0,17,47.5,2.8,63.4%,2023,TE,Full
29,Pat Freiermuth,PIT,32,47,308,9.6,29,3,2,0,0,0,0,12,44.8,3.7,63.9%,2023,TE,Full
30,Michael Mayer,LV,27,40,304,11.3,32,2,2,0,0,0,0,14,44.4,3.2,13.6%,2023,TE,Full
31,Kylen Granson,IND,30,50,368,12.3,46,5,1,1,2,0,0,15,43.0,2.9,1.2%,2023,TE,Full
32,Noah Gray,KC,28,41,305,10.9,34,4,2,1,1,0,0,17,42.6,2.5,22.5%,2023,TE,Full
33,Noah Fant,SEA,32,43,414,12.9,51,7,0,0,0,0,0,17,41.4,2.4,21.1%,2023,TE,Full
34,Tanner Hudson,CIN,39,50,352,9.0,26,3,1,0,0,0,0,12,41.2,3.4,1.1%,2023,TE,Full
35,Luke Musgrave,GB,34,46,352,10.4,37,5,1,0,0,0,0,11,41.2,3.7,18.1%,2023,TE,Full
36,Adam Trautman,DEN,22,35,204,9.3,24,2,3,0,0,0,0,17,38.4,2.3,1.1%,2023,TE,Full
37,Tommy Tremble,CAR,23,32,194,8.4,30,2,3,0,0,0,0,16,37.4,2.3,1.4%,2023,TE,Full
38,Colby Parkinson,LAR,25,34,247,9.9,27,5,2,0,0,0,0,17,36.7,2.2,9.6%,2023,TE,Full
39,Durham Smythe,FA,35,43,366,10.5,22,3,0,0,0,0,0,16,36.6,2.3,0.1%,2023,TE,Full
40,Mike Gesicki,CIN,29,45,244,8.4,18,0,2,0,0,0,0,17,36.4,2.1,29.2%,2023,TE,Full
41,Mo Alie-Cox,IND,13,22,161,12.4,35,2,3,0,0,0,0,17,36.1,2.1,0.6%,2023,TE,Full
42,Brevin Jordan,HOU,17,21,219,12.9,27,3,2,0,0,0,0,13,33.9,2.6,0.7%,2023,TE,Full
43,Dawson Knox,BUF,22,36,186,8.5,17,0,2,0,0,0,0,12,32.6,2.7,11.4%,2023,TE,Full
44,Josh Oliver,MIN,22,28,213,9.7,33,3,2,0,0,0,1,17,31.3,1.8,1.4%,2023,TE,Full
45,Drew Sample,CIN,22,27,163,7.4,22,1,2,0,0,0,0,17,28.3,1.7,0.9%,2023,TE,Full
46,Jimmy Graham,FA,6,7,39,6.5,12,0,4,0,0,0,0,13,27.9,2.1,0.1%,2023,TE,Full
