Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Damien Harris,FA,18,103,5.7,31,1,3,0,0,0,0,0,0,1,28.3,28.3,9.0%,2021,RB,16
2,Rex Burkhead,FA,22,149,6.8,36,2,2,2,2,0,0.0,0,0,1,26.9,26.9,10.0%,2021,RB,16
3,Justin Jackson,FA,11,64,5.8,17,0,2,8,9,98,12.3,0,1,1,26.2,26.2,0.0%,2021,RB,16
4,Joe Mixon,HOU,18,65,3.6,19,0,1,6,6,70,11.7,1,0,1,25.5,25.5,93.9%,2021,RB,16
5,Nick Chubb,CLE,17,126,7.4,27,1,1,3,4,58,19.3,0,0,1,24.4,24.4,55.1%,2021,RB,16
6,Rashaad Penny,FA,17,135,7.9,32,3,1,0,1,0,0,0,0,1,19.5,19.5,0.0%,2021,RB,16
7,Sony Michel,FA,27,131,4.9,16,0,1,1,4,4,4.0,0,0,1,19.5,19.5,0.0%,2021,RB,16
8,Chase Edmonds,TB,16,56,3.5,11,0,1,8,9,71,8.9,0,0,1,18.7,18.7,0.1%,2021,RB,16
9,David Montgomery,DET,21,45,2.1,11,0,1,7,9,61,8.7,0,0,1,16.6,16.6,75.4%,2021,RB,16
10,Ezekiel Elliott,FA,9,37,4.1,11,0,1,1,1,5,5.0,1,0,1,16.2,16.2,20.4%,2021,RB,16
11,Ronald Jones II,FA,20,65,3.3,16,0,1,2,3,16,8.0,0,0,1,14.1,14.1,0.0%,2021,RB,16
12,Devin Singletary,NYG,12,39,3.3,7,0,1,5,6,39,7.8,0,0,1,13.8,13.8,43.6%,2021,RB,16
13,Dare Ogunbowale,HOU,17,57,3.4,9,0,1,2,4,15,7.5,0,0,1,13.2,13.2,1.0%,2021,RB,16
14,Alexander Mattison,LV,13,41,3.2,18,0,1,3,4,29,9.7,0,0,1,13.0,13.0,44.8%,2021,RB,16
15,Ke'Shawn Vaughn,FA,7,70,10.0,55,1,1,0,1,0,0,0,0,1,13.0,13.0,0.1%,2021,RB,16
16,Michael Carter,ARI,16,118,7.4,38,1,0,2,3,6,3.0,0,0,1,12.4,12.4,14.7%,2021,RB,16
17,Antonio Gibson,NE,6,29,4.8,15,0,0,2,4,29,14.5,1,0,1,11.8,11.8,22.5%,2021,RB,16
18,Jeff Wilson Jr.,MIA,14,45,3.2,9,0,1,3,3,12,4.0,0,0,1,11.7,11.7,0.6%,2021,RB,16
19,Najee Harris,PIT,19,93,4.9,21,1,0,5,7,17,3.4,0,0,1,11.0,11.0,85.5%,2021,RB,16
20,Jonathan Taylor,IND,27,108,4.0,43,1,0,0,2,0,0,0,0,1,10.8,10.8,92.9%,2021,RB,16
21,Josh Jacobs,GB,27,129,4.8,19,0,0,1,3,-5,-5.0,0,1,1,10.4,10.4,96.3%,2021,RB,16
22,Derrick Gore,FA,12,43,3.6,10,0,0,3,3,61,20.3,0,0,1,10.4,10.4,0.0%,2021,RB,16
23,Boston Scott,FA,12,41,3.4,9,0,1,0,0,0,0,0,0,1,10.1,10.1,0.0%,2021,RB,16
24,Clyde Edwards-Helaire,NO,9,27,3.0,7,0,1,1,1,4,4.0,0,0,1,9.1,9.1,7.2%,2021,RB,16
25,Khalil Herbert,CIN,2,21,10.5,20,1,1,1,1,7,7.0,0,0,1,8.8,8.8,11.3%,2021,RB,16
