Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Ezekiel Elliott,FA,17,95,5.6,13,0,2,3,3,21,7.0,0,0,1,23.6,23.6,20.4%,2021,RB,3
2,Kareem Hunt,KC,10,81,8.1,29,1,1,6,7,74,12.3,0,0,1,21.5,21.5,48.5%,2021,RB,3
3,Peyton Barber,FA,23,111,4.8,27,1,1,3,5,31,10.3,0,0,1,20.2,20.2,1.0%,2021,RB,3
4,James Robinson,FA,15,88,5.9,21,1,1,6,6,46,7.7,0,0,1,19.4,19.4,0.0%,2021,RB,3
5,Alvin Kamara,NO,24,89,3.7,11,0,0,3,4,29,9.7,1,0,1,17.8,17.8,87.9%,2021,RB,3
6,James Conner,ARI,11,43,3.9,11,0,2,1,1,10,10.0,0,0,1,17.3,17.3,82.6%,2021,RB,3
7,Alexander Mattison,LV,26,112,4.3,24,1,0,6,8,59,9.8,0,0,1,17.1,17.1,44.8%,2021,RB,3
8,D'Andre Swift,CHI,14,47,3.4,14,0,1,7,7,60,8.6,0,0,1,16.7,16.7,83.1%,2021,RB,3
9,Austin Ekeler,WAS,11,55,5.0,11,0,0,6,6,52,8.7,1,0,1,16.7,16.7,51.4%,2021,RB,3
10,Antonio Gibson,NE,12,31,2.6,7,0,0,1,2,73,73.0,1,0,1,16.4,16.4,22.5%,2021,RB,3
11,Derrick Henry,BAL,28,113,4.0,19,0,0,3,3,31,10.3,0,0,1,16.4,16.4,97.5%,2021,RB,3
12,Aaron Jones Sr.,MIN,19,82,4.3,12,0,1,2,2,14,7.0,0,0,1,15.6,15.6,91.4%,2021,RB,3
13,Saquon Barkley,PHI,16,51,3.2,15,0,1,6,7,43,7.2,0,0,1,15.4,15.4,97.8%,2021,RB,3
14,Zack Moss,CIN,13,60,4.6,9,0,0,3,3,31,10.3,1,0,1,15.1,15.1,33.5%,2021,RB,3
15,Clyde Edwards-Helaire,NO,17,100,5.9,14,0,0,2,2,9,4.5,1,1,1,14.9,14.9,7.2%,2021,RB,3
