Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,George Kittle,SF,6,9,98,16.3,34,1,1,0,0,0,0,1,15.8,15.8,91.9%,2022,TE,7
2,Juwan Johnson,NO,5,5,32,6.4,17,0,2,0,0,0,0,1,15.2,15.2,19.4%,2022,TE,7
3,Travis Kelce,KC,6,8,98,16.3,27,2,0,0,0,0,0,1,9.8,9.8,94.1%,2022,TE,7
4,Taysom Hill,NO,1,1,3,3.0,3,0,1,3,9,0,0,1,9.1,9.1,27.7%,2022,TE,7
5,Tommy Tremble,CAR,1,1,29,29.0,29,1,1,0,0,0,0,1,8.9,8.9,1.4%,2022,TE,7
6,Pat Freiermuth,PIT,8,9,75,9.4,21,1,0,0,0,0,0,1,7.5,7.5,63.9%,2022,TE,7
7,David Njoku,CLE,7,7,71,10.1,22,1,0,0,0,0,0,1,7.1,7.1,74.6%,2022,TE,7
8,Jordan Akins,CLE,3,4,68,22.7,39,1,0,0,0,0,0,1,6.8,6.8,1.2%,2022,TE,7
9,Evan Engram,JAC,4,7,67,16.8,28,1,0,0,0,0,0,1,6.7,6.7,57.4%,2022,TE,7
10,Peyton Hendershot,KC,2,2,5,2.5,3,0,1,0,0,0,0,1,6.5,6.5,0.1%,2022,TE,7
11,Cade Otton,TB,4,5,64,16.0,35,1,0,0,0,0,0,1,6.4,6.4,57.8%,2022,TE,7
12,Gerald Everett,FA,5,9,63,12.6,24,1,0,0,0,0,0,1,6.3,6.3,1.4%,2022,TE,7
13,Brock Wright,DET,4,4,57,14.3,23,1,0,0,0,0,0,1,5.7,5.7,1.9%,2022,TE,7
14,Austin Hooper,NE,3,3,56,18.7,23,1,0,0,0,0,0,1,5.6,5.6,1.9%,2022,TE,7
15,Greg Dulcich,NYG,6,9,51,8.5,16,0,0,0,0,0,0,1,5.1,5.1,4.7%,2022,TE,7
16,Dalton Schultz,HOU,5,5,49,9.8,15,0,0,0,0,0,0,1,4.9,4.9,54.4%,2022,TE,7
17,Hayden Hurst,LAC,6,8,48,8.0,14,0,0,0,0,0,0,1,4.8,4.8,2.7%,2022,TE,7
18,T.J. Hockenson,MIN,4,5,48,12.0,16,0,0,0,0,0,0,1,4.8,4.8,83.0%,2022,TE,7
19,Will Dissly,LAC,4,4,45,11.3,16,0,0,0,0,0,0,1,4.5,4.5,22.8%,2022,TE,7
20,Zach Ertz,WAS,2,4,21,10.5,15,0,0,0,0,0,0,1,4.1,4.1,57.5%,2022,TE,7
21,Robert Tonyan,FA,3,4,32,10.7,19,0,0,0,0,0,0,1,3.2,3.2,0.0%,2022,TE,7
22,Cole Kmet,CHI,2,3,32,16.0,26,1,0,0,0,0,0,1,3.2,3.2,42.7%,2022,TE,7
